# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_f593a138eda0cc5899ea"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "12C(2P1/2)^+"
# neutral: "Ar"
# gas_temperature_K: 310.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 310 K"
# group_comment: "Ground State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "ground state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 12, M = 39.948, &alpha; = 1.6425."
# updated: "2021-12-19 21:00:53"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_1382_neutral_8_37/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "ba7e84ba74bf019fcdccca440eca10a073b739fb2a60f4425950da4288cb77ce"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,2.577000000000e+20
1.500000000000e-01,2.577000000000e+20
6.000000000000e-01,2.577000000000e+20
1.040000000000e+00,2.578000000000e+20
1.830000000000e+00,2.582000000000e+20
2.560000000000e+00,2.586000000000e+20
3.580000000000e+00,2.595000000000e+20
4.300000000000e+00,2.603000000000e+20
5.160000000000e+00,2.614000000000e+20
5.930000000000e+00,2.626000000000e+20
6.820000000000e+00,2.642000000000e+20
7.850000000000e+00,2.663000000000e+20
9.030000000000e+00,2.691000000000e+20
9.930000000000e+00,2.714000000000e+20
1.093000000000e+01,2.743000000000e+20
1.148000000000e+01,2.760000000000e+20
1.206000000000e+01,2.778000000000e+20
1.266000000000e+01,2.798000000000e+20
1.330000000000e+01,2.820000000000e+20
1.397000000000e+01,2.845000000000e+20
1.468000000000e+01,2.872000000000e+20
1.542000000000e+01,2.901000000000e+20
1.620000000000e+01,2.933000000000e+20
1.702000000000e+01,2.969000000000e+20
1.788000000000e+01,3.008000000000e+20
1.878000000000e+01,3.050000000000e+20
1.917000000000e+01,3.069000000000e+20
1.955000000000e+01,3.088000000000e+20
1.995000000000e+01,3.108000000000e+20
2.036000000000e+01,3.128000000000e+20
2.077000000000e+01,3.149000000000e+20
2.119000000000e+01,3.172000000000e+20
2.163000000000e+01,3.195000000000e+20
2.207000000000e+01,3.218000000000e+20
2.252000000000e+01,3.243000000000e+20
2.298000000000e+01,3.269000000000e+20
2.345000000000e+01,3.295000000000e+20
2.393000000000e+01,3.323000000000e+20
2.441000000000e+01,3.351000000000e+20
2.491000000000e+01,3.381000000000e+20
2.543000000000e+01,3.412000000000e+20
2.595000000000e+01,3.444000000000e+20
2.648000000000e+01,3.477000000000e+20
2.702000000000e+01,3.511000000000e+20
2.758000000000e+01,3.547000000000e+20
2.815000000000e+01,3.583000000000e+20
2.873000000000e+01,3.622000000000e+20
2.932000000000e+01,3.661000000000e+20
2.993000000000e+01,3.702000000000e+20
3.055000000000e+01,3.745000000000e+20
3.118000000000e+01,3.789000000000e+20
3.183000000000e+01,3.834000000000e+20
3.249000000000e+01,3.882000000000e+20
3.317000000000e+01,3.931000000000e+20
3.386000000000e+01,3.982000000000e+20
3.456000000000e+01,4.034000000000e+20
3.529000000000e+01,4.089000000000e+20
3.602000000000e+01,4.146000000000e+20
3.678000000000e+01,4.204000000000e+20
3.755000000000e+01,4.265000000000e+20
3.834000000000e+01,4.334000000000e+20
3.915000000000e+01,4.400000000000e+20
3.997000000000e+01,4.469000000000e+20
4.082000000000e+01,4.540000000000e+20
4.168000000000e+01,4.613000000000e+20
4.256000000000e+01,4.690000000000e+20
4.347000000000e+01,4.769000000000e+20
4.439000000000e+01,4.852000000000e+20
4.534000000000e+01,4.937000000000e+20
4.631000000000e+01,5.026000000000e+20
4.730000000000e+01,5.107000000000e+20
4.831000000000e+01,5.206000000000e+20
4.935000000000e+01,5.306000000000e+20
5.042000000000e+01,5.410000000000e+20
5.152000000000e+01,5.518000000000e+20
5.264000000000e+01,5.630000000000e+20
5.378000000000e+01,5.746000000000e+20
5.494000000000e+01,5.865000000000e+20
5.613000000000e+01,5.991000000000e+20
5.735000000000e+01,6.125000000000e+20
5.860000000000e+01,6.265000000000e+20
5.986000000000e+01,6.406000000000e+20
6.117000000000e+01,6.561000000000e+20
6.251000000000e+01,6.728000000000e+20
6.389000000000e+01,6.903000000000e+20
6.530000000000e+01,7.082000000000e+20
6.674000000000e+01,7.340000000000e+20
6.821000000000e+01,7.391000000000e+20
6.972000000000e+01,7.596000000000e+20
7.126000000000e+01,7.815000000000e+20
7.285000000000e+01,8.047000000000e+20
7.446000000000e+01,8.298000000000e+20
7.612000000000e+01,8.566000000000e+20
7.782000000000e+01,8.858000000000e+20
7.956000000000e+01,9.172000000000e+20
8.133000000000e+01,9.517000000000e+20
8.314000000000e+01,9.890000000000e+20
8.500000000000e+01,1.029900000000e+21
8.689000000000e+01,1.076500000000e+21
8.882000000000e+01,1.127100000000e+21
9.080000000000e+01,1.183900000000e+21
9.281000000000e+01,1.247600000000e+21
9.486000000000e+01,1.558200000000e+21
9.696000000000e+01,1.738700000000e+21
1.059100000000e+02,1.874500000000e+21
1.080300000000e+02,2.074800000000e+21
1.103900000000e+02,2.292400000000e+21
1.151500000000e+02,2.885900000000e+21
1.175100000000e+02,3.260300000000e+21
1.198800000000e+02,3.695000000000e+21
1.222300000000e+02,4.256700000000e+21
1.245300000000e+02,4.812500000000e+21
1.268100000000e+02,5.583300000000e+21
1.289600000000e+02,6.207000000000e+21
2.262500000000e+02,1.920160000000e+22
2.286500000000e+02,1.972770000000e+22
2.311500000000e+02,2.030890000000e+22
2.337600000000e+02,2.113970000000e+22
2.364900000000e+02,2.192590000000e+22
2.393100000000e+02,2.273300000000e+22
2.423000000000e+02,2.358310000000e+22
2.453600000000e+02,2.445980000000e+22
2.485600000000e+02,2.540620000000e+22
2.519100000000e+02,2.634310000000e+22
2.554200000000e+02,2.733730000000e+22
2.590800000000e+02,2.831620000000e+22
2.629000000000e+02,2.931170000000e+22
2.668700000000e+02,3.048450000000e+22
2.710100000000e+02,3.154350000000e+22
2.753200000000e+02,3.257590000000e+22
2.798300000000e+02,3.366740000000e+22
2.845700000000e+02,3.473520000000e+22
2.893500000000e+02,3.584740000000e+22
2.945900000000e+02,3.687700000000e+22
2.999600000000e+02,3.776180000000e+22
3.053400000000e+02,3.880600000000e+22
3.110100000000e+02,4.016590000000e+22
3.169400000000e+02,4.138120000000e+22
3.230000000000e+02,4.263580000000e+22
3.293100000000e+02,4.382930000000e+22
3.358900000000e+02,4.505580000000e+22
3.425900000000e+02,4.626190000000e+22
3.496500000000e+02,4.765880000000e+22
3.570100000000e+02,4.903440000000e+22
3.645600000000e+02,5.051330000000e+22
3.722800000000e+02,5.203340000000e+22
3.803700000000e+02,5.353880000000e+22
3.885900000000e+02,5.491710000000e+22
3.972700000000e+02,5.655600000000e+22
4.061400000000e+02,5.819220000000e+22
4.152000000000e+02,5.981730000000e+22
4.247000000000e+02,6.148310000000e+22
4.345600000000e+02,6.319620000000e+22
4.446300000000e+02,6.490750000000e+22
4.550900000000e+02,6.663420000000e+22
4.658000000000e+02,6.838140000000e+22
