# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_352c83c63b7edda2dff3"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "12C(2P3/2)^+"
# neutral: "Ar"
# gas_temperature_K: 310.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 310 K"
# group_comment: "Excited State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "excited state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 12, M = 39.948, &alpha; = 1.6425."
# updated: "2021-12-19 21:03:35"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_1383_neutral_8_37/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "c1d2fec8814fb4879fd998fef84cc94a295f31332325d6e53a98a519a38a3b42"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,2.704000000000e+20
1.400000000000e-01,2.704000000000e+20
5.700000000000e-01,2.704000000000e+20
9.900000000000e-01,2.706000000000e+20
1.740000000000e+00,2.710000000000e+20
2.440000000000e+00,2.716000000000e+20
3.410000000000e+00,2.727000000000e+20
4.090000000000e+00,2.737000000000e+20
4.910000000000e+00,2.752000000000e+20
5.640000000000e+00,2.763000000000e+20
7.460000000000e+00,2.816000000000e+20
8.580000000000e+00,2.852000000000e+20
9.430000000000e+00,2.883000000000e+20
1.037000000000e+01,2.922000000000e+20
1.089000000000e+01,2.944000000000e+20
1.143000000000e+01,2.969000000000e+20
1.200000000000e+01,2.997000000000e+20
1.259000000000e+01,3.027000000000e+20
1.322000000000e+01,3.061000000000e+20
1.388000000000e+01,3.099000000000e+20
1.456000000000e+01,3.140000000000e+20
1.529000000000e+01,3.186000000000e+20
1.604000000000e+01,3.237000000000e+20
1.684000000000e+01,3.293000000000e+20
1.767000000000e+01,3.355000000000e+20
1.802000000000e+01,3.382000000000e+20
1.837000000000e+01,3.410000000000e+20
1.874000000000e+01,3.440000000000e+20
1.911000000000e+01,3.471000000000e+20
1.948000000000e+01,3.503000000000e+20
1.987000000000e+01,3.536000000000e+20
2.026000000000e+01,3.571000000000e+20
2.066000000000e+01,3.608000000000e+20
2.106000000000e+01,3.645000000000e+20
2.148000000000e+01,3.685000000000e+20
2.190000000000e+01,3.726000000000e+20
2.233000000000e+01,3.769000000000e+20
2.276000000000e+01,3.814000000000e+20
2.321000000000e+01,3.861000000000e+20
2.366000000000e+01,3.910000000000e+20
2.413000000000e+01,3.960000000000e+20
2.460000000000e+01,4.013000000000e+20
2.508000000000e+01,4.069000000000e+20
2.557000000000e+01,4.126000000000e+20
2.607000000000e+01,4.186000000000e+20
2.657000000000e+01,4.248000000000e+20
2.709000000000e+01,4.313000000000e+20
2.762000000000e+01,4.381000000000e+20
2.815000000000e+01,4.452000000000e+20
2.870000000000e+01,4.525000000000e+20
2.925000000000e+01,4.602000000000e+20
2.982000000000e+01,4.681000000000e+20
3.040000000000e+01,4.763000000000e+20
3.281000000000e+01,5.096000000000e+20
3.344000000000e+01,5.193000000000e+20
3.408000000000e+01,5.293000000000e+20
3.473000000000e+01,5.398000000000e+20
3.539000000000e+01,5.508000000000e+20
3.607000000000e+01,5.619000000000e+20
3.676000000000e+01,5.735000000000e+20
3.746000000000e+01,5.855000000000e+20
3.817000000000e+01,5.980000000000e+20
3.963000000000e+01,6.244000000000e+20
4.351000000000e+01,7.049000000000e+20
4.434000000000e+01,7.218000000000e+20
4.517000000000e+01,7.388000000000e+20
4.602000000000e+01,7.561000000000e+20
4.689000000000e+01,7.741000000000e+20
4.777000000000e+01,7.926000000000e+20
4.867000000000e+01,8.117000000000e+20
4.958000000000e+01,8.312000000000e+20
5.051000000000e+01,8.519000000000e+20
5.146000000000e+01,8.729000000000e+20
5.342000000000e+01,9.178000000000e+20
5.442000000000e+01,9.411000000000e+20
5.545000000000e+01,9.657000000000e+20
5.649000000000e+01,9.915000000000e+20
5.756000000000e+01,1.017900000000e+21
6.317000000000e+01,1.171400000000e+21
6.684000000000e+01,1.283400000000e+21
6.812000000000e+01,1.325400000000e+21
7.211000000000e+01,1.466700000000e+21
7.350000000000e+01,1.520900000000e+21
7.491000000000e+01,1.578800000000e+21
7.636000000000e+01,1.640800000000e+21
7.784000000000e+01,1.706000000000e+21
7.935000000000e+01,1.778800000000e+21
8.089000000000e+01,1.855400000000e+21
8.246000000000e+01,1.938400000000e+21
8.406000000000e+01,2.027400000000e+21
8.569000000000e+01,2.120800000000e+21
8.737000000000e+01,2.224700000000e+21
9.079000000000e+01,2.449200000000e+21
9.613000000000e+01,2.844300000000e+21
9.798000000000e+01,2.992400000000e+21
9.986000000000e+01,3.147500000000e+21
1.017400000000e+02,3.310000000000e+21
1.056300000000e+02,3.656100000000e+21
1.075700000000e+02,3.835200000000e+21
1.095700000000e+02,4.021500000000e+21
1.239700000000e+02,5.379300000000e+21
1.283000000000e+02,5.794800000000e+21
1.418200000000e+02,7.074600000000e+21
1.441200000000e+02,7.284900000000e+21
1.464600000000e+02,7.505800000000e+21
1.488400000000e+02,7.729000000000e+21
1.536600000000e+02,8.186600000000e+21
1.561500000000e+02,8.426600000000e+21
1.586500000000e+02,8.669600000000e+21
1.663900000000e+02,9.442100000000e+21
1.690900000000e+02,9.721300000000e+21
1.718000000000e+02,1.000850000000e+22
1.745800000000e+02,1.030080000000e+22
1.803100000000e+02,1.093130000000e+22
1.832400000000e+02,1.126150000000e+22
1.862500000000e+02,1.160670000000e+22
1.893300000000e+02,1.196550000000e+22
1.925000000000e+02,1.234270000000e+22
1.957500000000e+02,1.273740000000e+22
1.990700000000e+02,1.314440000000e+22
2.025200000000e+02,1.358420000000e+22
2.170700000000e+02,1.544780000000e+22
2.291200000000e+02,1.704530000000e+22
2.333500000000e+02,1.763810000000e+22
2.376800000000e+02,1.824660000000e+22
2.564100000000e+02,2.097490000000e+22
2.664500000000e+02,2.245180000000e+22
2.770500000000e+02,2.402780000000e+22
2.825300000000e+02,2.486730000000e+22
2.882600000000e+02,2.572750000000e+22
3.062200000000e+02,2.854520000000e+22
3.125200000000e+02,2.958500000000e+22
3.324400000000e+02,3.291080000000e+22
3.538200000000e+02,3.663630000000e+22
3.847600000000e+02,4.223390000000e+22
3.929500000000e+02,4.374160000000e+22
4.013300000000e+02,4.526850000000e+22
