# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_d2a9e19589301ac4896b"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "13C(2P)^+"
# neutral: "Ar"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "Statistical State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "statistical state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 13.0034, M = 39.948, &alpha; = 1.6425."
# updated: "2021-12-19 21:16:04"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13995_neutral_37_38_39/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "c37b2d2d080b8cf7acb9a1913505c3c4db2489b96c5d69e95af0e8128600afe8"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,1.657000000000e+20
1.200000000000e-01,1.657000000000e+20
4.800000000000e-01,1.657000000000e+20
8.400000000000e-01,1.658000000000e+20
1.470000000000e+00,1.660000000000e+20
2.060000000000e+00,1.663000000000e+20
2.880000000000e+00,1.670000000000e+20
3.460000000000e+00,1.676000000000e+20
4.150000000000e+00,1.684000000000e+20
4.770000000000e+00,1.692000000000e+20
5.490000000000e+00,1.704000000000e+20
6.310000000000e+00,1.719000000000e+20
7.260000000000e+00,1.739000000000e+20
7.990000000000e+00,1.757000000000e+20
8.790000000000e+00,1.778000000000e+20
9.230000000000e+00,1.790000000000e+20
9.690000000000e+00,1.804000000000e+20
1.018000000000e+01,1.819000000000e+20
1.068000000000e+01,1.836000000000e+20
1.122000000000e+01,1.854000000000e+20
1.178000000000e+01,1.874000000000e+20
1.237000000000e+01,1.897000000000e+20
1.299000000000e+01,1.922000000000e+20
1.364000000000e+01,1.949000000000e+20
1.432000000000e+01,1.980000000000e+20
1.504000000000e+01,2.013000000000e+20
1.534000000000e+01,2.028000000000e+20
1.565000000000e+01,2.043000000000e+20
1.596000000000e+01,2.059000000000e+20
1.628000000000e+01,2.076000000000e+20
1.661000000000e+01,2.093000000000e+20
1.694000000000e+01,2.111000000000e+20
1.728000000000e+01,2.130000000000e+20
1.763000000000e+01,2.149000000000e+20
1.798000000000e+01,2.170000000000e+20
1.834000000000e+01,2.191000000000e+20
1.871000000000e+01,2.213000000000e+20
1.908000000000e+01,2.236000000000e+20
1.946000000000e+01,2.260000000000e+20
1.985000000000e+01,2.285000000000e+20
2.025000000000e+01,2.311000000000e+20
2.066000000000e+01,2.338000000000e+20
2.107000000000e+01,2.367000000000e+20
2.149000000000e+01,2.397000000000e+20
2.192000000000e+01,2.428000000000e+20
2.236000000000e+01,2.460000000000e+20
2.281000000000e+01,2.493000000000e+20
2.326000000000e+01,2.529000000000e+20
2.373000000000e+01,2.565000000000e+20
2.420000000000e+01,2.603000000000e+20
2.469000000000e+01,2.643000000000e+20
2.518000000000e+01,2.684000000000e+20
2.568000000000e+01,2.728000000000e+20
2.620000000000e+01,2.773000000000e+20
2.672000000000e+01,2.820000000000e+20
2.725000000000e+01,2.869000000000e+20
2.779000000000e+01,2.919000000000e+20
2.835000000000e+01,2.973000000000e+20
2.891000000000e+01,3.028000000000e+20
2.949000000000e+01,3.085000000000e+20
3.007000000000e+01,3.145000000000e+20
3.067000000000e+01,3.207000000000e+20
3.128000000000e+01,3.272000000000e+20
3.190000000000e+01,3.339000000000e+20
3.254000000000e+01,3.409000000000e+20
3.318000000000e+01,3.482000000000e+20
3.384000000000e+01,3.557000000000e+20
3.451000000000e+01,3.635000000000e+20
3.519000000000e+01,3.716000000000e+20
3.589000000000e+01,3.800000000000e+20
3.805000000000e+01,4.070000000000e+20
3.880000000000e+01,4.168000000000e+20
4.034000000000e+01,4.371000000000e+20
4.114000000000e+01,4.478000000000e+20
4.195000000000e+01,4.588000000000e+20
4.277000000000e+01,4.701000000000e+20
4.361000000000e+01,4.819000000000e+20
5.092000000000e+01,5.901000000000e+20
5.396000000000e+01,6.380000000000e+20
5.502000000000e+01,6.550000000000e+20
5.946000000000e+01,7.295000000000e+20
6.063000000000e+01,7.499000000000e+20
6.182000000000e+01,7.714000000000e+20
6.304000000000e+01,7.936000000000e+20
6.429000000000e+01,8.170000000000e+20
6.556000000000e+01,8.418000000000e+20
6.686000000000e+01,8.671000000000e+20
6.818000000000e+01,8.952000000000e+20
6.954000000000e+01,9.239000000000e+20
7.093000000000e+01,9.547000000000e+20
7.234000000000e+01,9.877000000000e+20
7.379000000000e+01,1.022900000000e+21
7.528000000000e+01,1.060700000000e+21
7.679000000000e+01,1.101400000000e+21
7.834000000000e+01,1.145400000000e+21
7.993000000000e+01,1.193000000000e+21
8.155000000000e+01,1.244700000000e+21
8.320000000000e+01,1.301300000000e+21
9.023000000000e+01,1.586600000000e+21
9.206000000000e+01,1.679100000000e+21
9.395000000000e+01,1.779100000000e+21
9.594000000000e+01,1.895000000000e+21
9.776000000000e+01,2.005200000000e+21
9.976000000000e+01,2.135200000000e+21
1.058700000000e+02,2.646700000000e+21
1.079900000000e+02,2.848900000000e+21
1.100600000000e+02,3.055800000000e+21
1.121900000000e+02,3.296000000000e+21
1.143300000000e+02,3.533500000000e+21
1.164700000000e+02,3.793600000000e+21
1.186600000000e+02,4.060100000000e+21
1.208400000000e+02,4.334100000000e+21
1.229900000000e+02,4.598200000000e+21
1.251700000000e+02,4.875100000000e+21
1.273200000000e+02,5.147400000000e+21
1.382200000000e+02,6.475900000000e+21
1.426200000000e+02,6.953600000000e+21
1.780300000000e+02,1.036890000000e+22
1.804900000000e+02,1.063910000000e+22
1.829700000000e+02,1.084990000000e+22
1.854600000000e+02,1.109930000000e+22
1.931700000000e+02,1.195660000000e+22
1.984600000000e+02,1.257390000000e+22
2.039400000000e+02,1.322580000000e+22
2.067700000000e+02,1.353520000000e+22
2.096300000000e+02,1.395280000000e+22
2.125900000000e+02,1.434940000000e+22
2.188000000000e+02,1.529300000000e+22
2.219700000000e+02,1.575970000000e+22
2.253000000000e+02,1.626430000000e+22
2.287000000000e+02,1.679460000000e+22
2.322400000000e+02,1.735270000000e+22
2.358600000000e+02,1.792320000000e+22
2.396100000000e+02,1.852590000000e+22
2.435000000000e+02,1.912620000000e+22
2.475300000000e+02,1.980400000000e+22
2.515900000000e+02,2.050790000000e+22
2.557500000000e+02,2.119950000000e+22
2.601300000000e+02,2.188000000000e+22
2.646300000000e+02,2.260560000000e+22
2.692700000000e+02,2.337520000000e+22
2.740600000000e+02,2.415980000000e+22
2.790100000000e+02,2.497260000000e+22
2.841100000000e+02,2.581390000000e+22
2.893600000000e+02,2.667570000000e+22
3.122500000000e+02,3.048130000000e+22
3.183200000000e+02,3.150780000000e+22
3.245500000000e+02,3.254400000000e+22
3.309800000000e+02,3.362500000000e+22
3.375800000000e+02,3.473640000000e+22
3.444400000000e+02,3.590760000000e+22
3.514300000000e+02,3.709850000000e+22
3.586500000000e+02,3.834260000000e+22
3.660500000000e+02,3.962640000000e+22
3.736500000000e+02,4.095070000000e+22
3.814700000000e+02,4.232760000000e+22
3.895100000000e+02,4.371350000000e+22
3.976800000000e+02,4.518270000000e+22
4.061400000000e+02,4.668090000000e+22
4.148900000000e+02,4.822670000000e+22
4.237400000000e+02,4.990160000000e+22
4.329500000000e+02,5.156520000000e+22
