# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_d4cc0b6aa04366142cb8"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "13C(2P)^+"
# neutral: "Ar"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "Statistical State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "statistical state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 13.0034, M = 39.948, &alpha; = 1.6425."
# updated: "2021-12-19 21:16:04"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13995_neutral_37_38_39/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "5981444507b236140618bc929da2c56d7ee3b8177cfe11bd42612a5f650eef0f"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,9.487323525294e+21
1.200000000000e-01,9.487323525294e+21
4.800000000000e-01,9.487323525294e+21
8.400000000000e-01,9.487323525294e+21
1.470000000000e+00,9.487058360713e+21
2.060000000000e+00,9.487058360713e+21
2.880000000000e+00,9.486793196133e+21
3.460000000000e+00,9.486528031552e+21
4.150000000000e+00,9.485997702391e+21
4.770000000000e+00,9.485732537811e+21
5.490000000000e+00,9.485202208650e+21
6.310000000000e+00,9.484671879489e+21
7.260000000000e+00,9.483876385747e+21
7.990000000000e+00,9.483080892006e+21
8.790000000000e+00,9.482285398264e+21
9.230000000000e+00,9.482020233684e+21
9.690000000000e+00,9.481489904523e+21
1.018000000000e+01,9.480959575362e+21
1.068000000000e+01,9.480694410781e+21
1.122000000000e+01,9.480164081620e+21
1.178000000000e+01,9.479633752459e+21
1.237000000000e+01,9.479103423298e+21
1.299000000000e+01,9.478573094137e+21
1.364000000000e+01,9.478042764976e+21
1.432000000000e+01,9.477777600396e+21
1.504000000000e+01,9.477247271235e+21
1.534000000000e+01,9.477247271235e+21
1.565000000000e+01,9.476982106654e+21
1.596000000000e+01,9.476982106654e+21
1.628000000000e+01,9.476716942074e+21
1.661000000000e+01,9.476716942074e+21
1.694000000000e+01,9.476716942074e+21
1.728000000000e+01,9.476716942074e+21
1.763000000000e+01,9.476716942074e+21
1.798000000000e+01,9.476716942074e+21
1.834000000000e+01,9.476982106654e+21
1.871000000000e+01,9.476982106654e+21
1.908000000000e+01,9.476982106654e+21
1.946000000000e+01,9.477247271235e+21
1.985000000000e+01,9.477512435815e+21
2.025000000000e+01,9.477777600396e+21
2.066000000000e+01,9.478042764976e+21
2.107000000000e+01,9.478307929557e+21
2.149000000000e+01,9.478838258718e+21
2.192000000000e+01,9.479103423298e+21
2.236000000000e+01,9.479633752459e+21
2.281000000000e+01,9.480429246201e+21
2.326000000000e+01,9.480959575362e+21
2.373000000000e+01,9.481755069103e+21
2.420000000000e+01,9.482550562845e+21
2.469000000000e+01,9.483611221167e+21
2.518000000000e+01,9.484671879489e+21
2.568000000000e+01,9.485732537811e+21
2.620000000000e+01,9.487058360713e+21
2.672000000000e+01,9.488384183615e+21
2.725000000000e+01,9.489710006518e+21
2.779000000000e+01,9.491035829420e+21
2.835000000000e+01,9.492626816903e+21
2.891000000000e+01,9.494217804386e+21
2.949000000000e+01,9.495808791869e+21
3.007000000000e+01,9.497664943933e+21
3.067000000000e+01,9.499521095996e+21
3.128000000000e+01,9.501377248059e+21
3.190000000000e+01,9.503498564703e+21
3.254000000000e+01,9.505354716767e+21
3.318000000000e+01,9.507476033411e+21
3.384000000000e+01,9.509597350055e+21
3.451000000000e+01,9.511983831279e+21
3.519000000000e+01,9.514105147923e+21
3.589000000000e+01,9.516491629147e+21
3.805000000000e+01,9.523385908240e+21
3.880000000000e+01,9.525507224884e+21
4.034000000000e+01,9.529749858172e+21
4.114000000000e+01,9.531871174816e+21
4.195000000000e+01,9.533727326879e+21
4.277000000000e+01,9.535318314362e+21
4.361000000000e+01,9.536644137264e+21
5.092000000000e+01,9.547250720484e+21
5.396000000000e+01,9.549372037128e+21
5.502000000000e+01,9.549637201708e+21
5.946000000000e+01,9.549637201708e+21
6.063000000000e+01,9.549372037128e+21
6.182000000000e+01,9.549372037128e+21
6.304000000000e+01,9.548841707967e+21
6.429000000000e+01,9.548841707967e+21
6.556000000000e+01,9.549106872547e+21
6.686000000000e+01,9.548576543386e+21
6.818000000000e+01,9.549372037128e+21
6.954000000000e+01,9.549372037128e+21
7.093000000000e+01,9.550432695450e+21
7.234000000000e+01,9.551493353772e+21
7.379000000000e+01,9.553349505835e+21
7.528000000000e+01,9.554940493318e+21
7.679000000000e+01,9.557857303703e+21
7.834000000000e+01,9.561834772411e+21
7.993000000000e+01,9.565812241118e+21
