# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_131c3f3f32cfd7fa987c"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "16O^+(4S3/2)"
# neutral: "Ar"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Compiled Ko Data of Ellis et al., At. Data Nucl. Data Tables 17 (1976) 177."
# source_family: "compiled ko data of ellis et al., at. data nucl. data tables 17 (1976) 177."
# comment: ""
# updated: "2011-12-13 14:06:46"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_029_7989_7989/001_mobility.txt"
# source_file_sha256: "19a8b542db569b53fee17470c3258b997a4dee8e7208c90bee7c1232aa531b9b"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e+00,9.095145110751e+21
6.000000000000e+00,9.068628652702e+21
7.000000000000e+00,9.068628652702e+21
8.000000000000e+00,9.068628652702e+21
1.000000000000e+01,9.042112194654e+21
1.200000000000e+01,9.015595736605e+21
1.500000000000e+01,8.989079278556e+21
2.000000000000e+01,8.962562820507e+21
2.500000000000e+01,8.909529904409e+21
3.000000000000e+01,8.856496988312e+21
4.000000000000e+01,8.750431156116e+21
5.000000000000e+01,8.644365323921e+21
6.000000000000e+01,8.538299491726e+21
8.000000000000e+01,8.458750117579e+21
1.000000000000e+02,8.405717201481e+21
1.200000000000e+02,8.538299491726e+21
1.500000000000e+02,8.856496988312e+21
2.000000000000e+02,9.598957813679e+21
2.500000000000e+02,1.012928697466e+22
