# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_b9b29b21360d0a7f9c24"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "70Ge^+(2P1/2)"
# neutral: "Ar"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 69.9242, M = 39.948, &alpha; = 1.6425."
# updated: "2022-01-01 15:59:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14055_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "522feb610bfd5cc5fdca4775da9a7d9707320cbb76d1367d0f8683fbfc18d3f7"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,9.900000000000e+19
2.000000000000e-01,9.900000000000e+19
8.000000000000e-01,9.900000000000e+19
3.450000000000e+00,9.950000000000e+19
4.830000000000e+00,9.990000000000e+19
5.790000000000e+00,1.003000000000e+20
6.950000000000e+00,1.009000000000e+20
7.990000000000e+00,1.015000000000e+20
9.190000000000e+00,1.024000000000e+20
1.058000000000e+01,1.034000000000e+20
1.216000000000e+01,1.049000000000e+20
1.338000000000e+01,1.061000000000e+20
1.473000000000e+01,1.076000000000e+20
1.547000000000e+01,1.084000000000e+20
1.624000000000e+01,1.094000000000e+20
1.706000000000e+01,1.104000000000e+20
1.792000000000e+01,1.116000000000e+20
1.882000000000e+01,1.129000000000e+20
1.976000000000e+01,1.143000000000e+20
2.076000000000e+01,1.158000000000e+20
2.180000000000e+01,1.175000000000e+20
2.290000000000e+01,1.194000000000e+20
2.406000000000e+01,1.214000000000e+20
2.527000000000e+01,1.237000000000e+20
2.578000000000e+01,1.247000000000e+20
2.630000000000e+01,1.257000000000e+20
2.683000000000e+01,1.268000000000e+20
2.738000000000e+01,1.279000000000e+20
2.793000000000e+01,1.290000000000e+20
2.849000000000e+01,1.302000000000e+20
2.907000000000e+01,1.314000000000e+20
2.966000000000e+01,1.327000000000e+20
3.026000000000e+01,1.340000000000e+20
3.279000000000e+01,1.399000000000e+20
3.346000000000e+01,1.415000000000e+20
3.414000000000e+01,1.432000000000e+20
3.483000000000e+01,1.450000000000e+20
3.554000000000e+01,1.468000000000e+20
3.626000000000e+01,1.487000000000e+20
3.700000000000e+01,1.507000000000e+20
3.775000000000e+01,1.527000000000e+20
3.852000000000e+01,1.549000000000e+20
3.931000000000e+01,1.571000000000e+20
4.011000000000e+01,1.594000000000e+20
4.093000000000e+01,1.618000000000e+20
4.176000000000e+01,1.643000000000e+20
4.349000000000e+01,1.697000000000e+20
4.438000000000e+01,1.725000000000e+20
4.528000000000e+01,1.755000000000e+20
4.621000000000e+01,1.786000000000e+20
4.716000000000e+01,1.819000000000e+20
4.812000000000e+01,1.853000000000e+20
4.911000000000e+01,1.889000000000e+20
5.012000000000e+01,1.926000000000e+20
5.115000000000e+01,1.965000000000e+20
5.220000000000e+01,2.006000000000e+20
5.327000000000e+01,2.049000000000e+20
5.436000000000e+01,2.090000000000e+20
5.548000000000e+01,2.137000000000e+20
5.662000000000e+01,2.186000000000e+20
5.779000000000e+01,2.238000000000e+20
5.897000000000e+01,2.294000000000e+20
6.019000000000e+01,2.352000000000e+20
6.143000000000e+01,2.414000000000e+20
6.269000000000e+01,2.479000000000e+20
6.398000000000e+01,2.549000000000e+20
6.529000000000e+01,2.623000000000e+20
6.663000000000e+01,2.702000000000e+20
6.800000000000e+01,2.786000000000e+20
6.939000000000e+01,2.875000000000e+20
7.082000000000e+01,2.973000000000e+20
7.226000000000e+01,3.076000000000e+20
7.374000000000e+01,3.188000000000e+20
7.524000000000e+01,3.307000000000e+20
7.677000000000e+01,3.439000000000e+20
7.833000000000e+01,3.580000000000e+20
7.991000000000e+01,3.734000000000e+20
8.152000000000e+01,3.901000000000e+20
8.316000000000e+01,4.084000000000e+20
8.483000000000e+01,4.284000000000e+20
8.652000000000e+01,4.503000000000e+20
8.824000000000e+01,4.743000000000e+20
8.998000000000e+01,5.008000000000e+20
9.174000000000e+01,5.294000000000e+20
9.352000000000e+01,5.609000000000e+20
9.532000000000e+01,5.962000000000e+20
1.045400000000e+02,8.153000000000e+20
1.064200000000e+02,8.687000000000e+20
1.120700000000e+02,1.039600000000e+21
1.158900000000e+02,1.159400000000e+21
1.364700000000e+02,1.789000000000e+21
1.684600000000e+02,2.492200000000e+21
2.330900000000e+02,4.409200000000e+21
2.415800000000e+02,4.697900000000e+21
2.460800000000e+02,4.819600000000e+21
2.507500000000e+02,4.921800000000e+21
2.556100000000e+02,5.026400000000e+21
2.606500000000e+02,5.137800000000e+21
2.658900000000e+02,5.236000000000e+21
2.713300000000e+02,5.340300000000e+21
2.828500000000e+02,5.541500000000e+21
2.889500000000e+02,5.661100000000e+21
3.729200000000e+02,6.981300000000e+21
3.822900000000e+02,7.151700000000e+21
3.919900000000e+02,7.305600000000e+21
4.020300000000e+02,7.465100000000e+21
4.697300000000e+02,8.600400000000e+21
4.823300000000e+02,8.841300000000e+21
4.953400000000e+02,9.048700000000e+21
5.087900000000e+02,9.286600000000e+21
5.226400000000e+02,9.599600000000e+21
5.517700000000e+02,1.006270000000e+22
5.668900000000e+02,1.030460000000e+22
5.825600000000e+02,1.058580000000e+22
5.987200000000e+02,1.088710000000e+22
6.153600000000e+02,1.118220000000e+22
6.325100000000e+02,1.152050000000e+22
6.501600000000e+02,1.181930000000e+22
6.869700000000e+02,1.251030000000e+22
7.062900000000e+02,1.286400000000e+22
7.261500000000e+02,1.325420000000e+22
7.465700000000e+02,1.366580000000e+22
7.675700000000e+02,1.408050000000e+22
7.891700000000e+02,1.450900000000e+22
8.114000000000e+02,1.495220000000e+22
8.342400000000e+02,1.540820000000e+22
8.577400000000e+02,1.592570000000e+22
8.818700000000e+02,1.639790000000e+22
9.067300000000e+02,1.692270000000e+22
9.322500000000e+02,1.746290000000e+22
9.584800000000e+02,1.803790000000e+22
9.854200000000e+02,1.862240000000e+22
1.013110000000e+03,1.923230000000e+22
1.041550000000e+03,1.986410000000e+22
1.070750000000e+03,2.053090000000e+22
1.100750000000e+03,2.117210000000e+22
1.131570000000e+03,2.194510000000e+22
1.163170000000e+03,2.263880000000e+22
1.195610000000e+03,2.337560000000e+22
1.228980000000e+03,2.421180000000e+22
1.263110000000e+03,2.503430000000e+22
1.298200000000e+03,2.586620000000e+22
1.334230000000e+03,2.677020000000e+22
1.371140000000e+03,2.773790000000e+22
1.408980000000e+03,2.870900000000e+22
1.447820000000e+03,2.972350000000e+22
1.487640000000e+03,3.078040000000e+22
1.528470000000e+03,3.187890000000e+22
1.570330000000e+03,3.302600000000e+22
1.613230000000e+03,3.423350000000e+22
1.657210000000e+03,3.546110000000e+22
1.702270000000e+03,3.675900000000e+22
1.748440000000e+03,3.810890000000e+22
1.795730000000e+03,3.951380000000e+22
1.844170000000e+03,4.098710000000e+22
1.893780000000e+03,4.252100000000e+22
1.944600000000e+03,4.412240000000e+22
1.996620000000e+03,4.579340000000e+22
2.049860000000e+03,4.753900000000e+22
2.104360000000e+03,4.936230000000e+22
2.160130000000e+03,5.126880000000e+22
2.217190000000e+03,5.326010000000e+22
2.275560000000e+03,5.534370000000e+22
2.335270000000e+03,5.752610000000e+22
2.396330000000e+03,5.980730000000e+22
2.458760000000e+03,6.219450000000e+22
2.522580000000e+03,6.470260000000e+22
2.587810000000e+03,6.732600000000e+22
2.654460000000e+03,7.008500000000e+22
2.722560000000e+03,7.298260000000e+22
