# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_3a7898acb40713037f86"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "70Ge^+(2P3/2)"
# neutral: "Ar"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 69.9242, M = 39.948, &alpha; = 1.6425."
# updated: "2022-01-20 22:04:57"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14056_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "c1eeee5f327a2570eb943563b1a97e63aa22b6647bb57e9437abedbbcb3beb77"
reduced_electric_field_Td,reduced_transport_SI
7.000000000000e-02,2.115000000000e+20
2.700000000000e-01,2.115000000000e+20
3.260000000000e+00,2.119000000000e+20
6.390000000000e+00,2.136000000000e+20
7.660000000000e+00,2.146000000000e+20
1.057000000000e+01,2.174000000000e+20
1.216000000000e+01,2.194000000000e+20
1.398000000000e+01,2.219000000000e+20
1.607000000000e+01,2.253000000000e+20
1.943000000000e+01,2.318000000000e+20
2.141000000000e+01,2.362000000000e+20
2.360000000000e+01,2.415000000000e+20
2.600000000000e+01,2.481000000000e+20
2.729000000000e+01,2.518000000000e+20
2.865000000000e+01,2.560000000000e+20
3.007000000000e+01,2.606000000000e+20
3.156000000000e+01,2.657000000000e+20
3.312000000000e+01,2.713000000000e+20
3.377000000000e+01,2.737000000000e+20
3.444000000000e+01,2.763000000000e+20
3.512000000000e+01,2.790000000000e+20
3.582000000000e+01,2.817000000000e+20
3.653000000000e+01,2.846000000000e+20
3.725000000000e+01,2.876000000000e+20
3.798000000000e+01,2.907000000000e+20
3.873000000000e+01,2.939000000000e+20
4.354000000000e+01,3.165000000000e+20
4.440000000000e+01,3.207000000000e+20
4.527000000000e+01,3.252000000000e+20
4.616000000000e+01,3.299000000000e+20
4.707000000000e+01,3.347000000000e+20
4.800000000000e+01,3.398000000000e+20
4.894000000000e+01,3.451000000000e+20
4.990000000000e+01,3.506000000000e+20
5.088000000000e+01,3.563000000000e+20
5.187000000000e+01,3.625000000000e+20
5.289000000000e+01,3.688000000000e+20
5.715000000000e+01,3.966000000000e+20
5.827000000000e+01,4.044000000000e+20
6.294000000000e+01,4.379000000000e+20
6.417000000000e+01,4.475000000000e+20
6.541000000000e+01,4.574000000000e+20
6.669000000000e+01,4.679000000000e+20
6.798000000000e+01,4.787000000000e+20
