# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_da73e7af27aa66c37420"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "72Ge^+(2P1/2)"
# neutral: "Ar"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 39.948, &alpha; = 1.6425."
# updated: "2022-01-01 15:59:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14061_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "b5217417dc6ed8bc045fb3075b3511ce2a279f5691a3747db4c8dfabc8829214"
reduced_electric_field_Td,reduced_transport_SI
7.000000000000e-02,5.502430209714e+21
2.900000000000e-01,5.502430209714e+21
1.170000000000e+00,5.502430209714e+21
2.050000000000e+00,5.502430209714e+21
7.030000000000e+00,5.501634715973e+21
8.440000000000e+00,5.501369551392e+21
1.339000000000e+01,5.500043728490e+21
1.540000000000e+01,5.499248234748e+21
1.772000000000e+01,5.498187576426e+21
1.949000000000e+01,5.497392082685e+21
2.144000000000e+01,5.496596588943e+21
2.252000000000e+01,5.496066259783e+21
2.364000000000e+01,5.495535930622e+21
2.483000000000e+01,5.495005601461e+21
2.607000000000e+01,5.494475272300e+21
2.738000000000e+01,5.493944943139e+21
3.171000000000e+01,5.492088791075e+21
3.330000000000e+01,5.491558461914e+21
3.497000000000e+01,5.491028132753e+21
3.746000000000e+01,5.490497803592e+21
3.976000000000e+01,5.490232639012e+21
4.056000000000e+01,5.490232639012e+21
4.304000000000e+01,5.490497803592e+21
4.390000000000e+01,5.490762968173e+21
5.145000000000e+01,5.493679778558e+21
5.248000000000e+01,5.494475272300e+21
5.353000000000e+01,5.495535930622e+21
5.568000000000e+01,5.498452741007e+21
5.679000000000e+01,5.500043728490e+21
5.792000000000e+01,5.501634715973e+21
5.907000000000e+01,5.503225703456e+21
6.144000000000e+01,5.507733501324e+21
6.265000000000e+01,5.510650311709e+21
6.389000000000e+01,5.513567122095e+21
6.907000000000e+01,5.527355680280e+21
7.042000000000e+01,5.532393807309e+21
7.180000000000e+01,5.537166769758e+21
7.319000000000e+01,5.542470061368e+21
7.462000000000e+01,5.548038517558e+21
7.606000000000e+01,5.554402467490e+21
7.753000000000e+01,5.561296746583e+21
7.902000000000e+01,5.568721354836e+21
8.054000000000e+01,5.576411127670e+21
8.207000000000e+01,5.584631229666e+21
8.362000000000e+01,5.593646825402e+21
8.520000000000e+01,5.603457914880e+21
8.680000000000e+01,5.613799333519e+21
8.841000000000e+01,5.624671081319e+21
9.005000000000e+01,5.636073158280e+21
9.171000000000e+01,5.648270728983e+21
9.338000000000e+01,5.661528958007e+21
9.506000000000e+01,5.675317516193e+21
9.677000000000e+01,5.689636403539e+21
9.849000000000e+01,5.705015949207e+21
1.002200000000e+02,5.719865165715e+21
1.019800000000e+02,5.735775040544e+21
1.055400000000e+02,5.769185777686e+21
1.073000000000e+02,5.786421475417e+21
1.091000000000e+02,5.803922337730e+21
1.109100000000e+02,5.821688364622e+21
1.127400000000e+02,5.840515049837e+21
1.145700000000e+02,5.857485582988e+21
1.164200000000e+02,5.875251609881e+21
1.182800000000e+02,5.894078295096e+21
1.201400000000e+02,5.911844321988e+21
1.220300000000e+02,5.930405842622e+21
1.239100000000e+02,5.948171869515e+21
1.258300000000e+02,5.965937896408e+21
1.277500000000e+02,5.982908429559e+21
1.396700000000e+02,6.097459528330e+21
1.416500000000e+02,6.117612036447e+21
1.436900000000e+02,6.136703886242e+21
1.457800000000e+02,6.159773204745e+21
1.563700000000e+02,6.282014076350e+21
1.608900000000e+02,6.333456004965e+21
1.799900000000e+02,6.572369291985e+21
1.906000000000e+02,6.700974113522e+21
1.935100000000e+02,6.738097154790e+21
1.964200000000e+02,6.766469764902e+21
1.994500000000e+02,6.796963691658e+21
2.025600000000e+02,6.821358833063e+21
2.357500000000e+02,7.047013891059e+21
3.072100000000e+02,7.123646454820e+21
3.142400000000e+02,7.115161188245e+21
3.215200000000e+02,7.101902959220e+21
3.290600000000e+02,7.085462755230e+21
3.368700000000e+02,7.068757386659e+21
3.449500000000e+02,7.047544220220e+21
3.709800000000e+02,6.986556366708e+21
3.802700000000e+02,6.958714085756e+21
3.898700000000e+02,6.931136969386e+21
3.998100000000e+02,6.900377878049e+21
4.667500000000e+02,6.693019176107e+21
5.054200000000e+02,6.572899621146e+21
5.191400000000e+02,6.531268782009e+21
5.332700000000e+02,6.489372778292e+21
5.478600000000e+02,6.445620622511e+21
5.784600000000e+02,6.358911804692e+21
5.943800000000e+02,6.314894484331e+21
6.108400000000e+02,6.269816505648e+21
6.277900000000e+02,6.224738526965e+21
6.452500000000e+02,6.180190877443e+21
6.817700000000e+02,6.088974261755e+21
7.008200000000e+02,6.043896283071e+21
7.204700000000e+02,5.997757646067e+21
7.406700000000e+02,5.952149338223e+21
7.614000000000e+02,5.905745536637e+21
8.047700000000e+02,5.816385073012e+21
8.274200000000e+02,5.771837423490e+21
8.507300000000e+02,5.726494280227e+21
8.993000000000e+02,5.637929310344e+21
9.245000000000e+02,5.594177154563e+21
9.504800000000e+02,5.550424998783e+21
9.771700000000e+02,5.507468336744e+21
