# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_92869dc58048f1a05007"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "73Ge^+(2P)"
# neutral: "Ar"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 72.9235, M = 39.948, &alpha; = 1.6425."
# updated: "2022-03-03 22:10:05"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14067_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "914c6f22585431581db8bed96ae3aff8c33a2b72c26ef2087fbf61a68b9ee730"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,5.788807956642e+21
2.000000000000e-01,5.788807956642e+21
7.900000000000e-01,5.788807956642e+21
1.380000000000e+00,5.788807956642e+21
2.410000000000e+00,5.788807956642e+21
3.370000000000e+00,5.788807956642e+21
4.720000000000e+00,5.788807956642e+21
5.670000000000e+00,5.788807956642e+21
6.800000000000e+00,5.788542792061e+21
7.820000000000e+00,5.788542792061e+21
9.000000000000e+00,5.788542792061e+21
1.035000000000e+01,5.788542792061e+21
1.190000000000e+01,5.788542792061e+21
1.309000000000e+01,5.788277627481e+21
1.440000000000e+01,5.788277627481e+21
1.512000000000e+01,5.788277627481e+21
1.587000000000e+01,5.788277627481e+21
1.667000000000e+01,5.788277627481e+21
1.750000000000e+01,5.788277627481e+21
1.838000000000e+01,5.788542792061e+21
1.930000000000e+01,5.788542792061e+21
2.026000000000e+01,5.788542792061e+21
2.234000000000e+01,5.788807956642e+21
2.345000000000e+01,5.789073121222e+21
2.463000000000e+01,5.789338285803e+21
2.562000000000e+01,5.789603450383e+21
2.773000000000e+01,5.790133779544e+21
2.943000000000e+01,5.790664108705e+21
3.001000000000e+01,5.790929273286e+21
3.061000000000e+01,5.791194437866e+21
3.122000000000e+01,5.791459602447e+21
3.516000000000e+01,5.793315754510e+21
3.586000000000e+01,5.793846083671e+21
3.657000000000e+01,5.794376412832e+21
3.804000000000e+01,5.795702235734e+21
3.957000000000e+01,5.797028058637e+21
4.116000000000e+01,5.798353881539e+21
4.632000000000e+01,5.803392008569e+21
4.724000000000e+01,5.804452666890e+21
4.818000000000e+01,5.805513325212e+21
5.211000000000e+01,5.810286287661e+21
5.314000000000e+01,5.811877275144e+21
5.419000000000e+01,5.813203098047e+21
