# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_a86b05b9b0d3009c3050"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "73Ge^+(2P)"
# neutral: "Ar"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 72.9235, M = 39.948, &alpha; = 1.6425."
# updated: "2022-03-03 22:10:05"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14067_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "914c6f22585431581db8bed96ae3aff8c33a2b72c26ef2087fbf61a68b9ee730"
reduced_electric_field_Td,reduced_transport_SI
7.000000000000e-02,5.824870339588e+21
2.800000000000e-01,5.824870339588e+21
1.110000000000e+00,5.824870339588e+21
1.940000000000e+00,5.824870339588e+21
3.390000000000e+00,5.824870339588e+21
4.740000000000e+00,5.825135504169e+21
6.640000000000e+00,5.825400668749e+21
7.970000000000e+00,5.825665833330e+21
9.560000000000e+00,5.825930997910e+21
1.099000000000e+01,5.826461327071e+21
1.264000000000e+01,5.826991656232e+21
1.454000000000e+01,5.827787149973e+21
1.671000000000e+01,5.828582643715e+21
1.838000000000e+01,5.829378137456e+21
2.022000000000e+01,5.830438795778e+21
2.123000000000e+01,5.830969124939e+21
2.229000000000e+01,5.831764618681e+21
2.340000000000e+01,5.832560112422e+21
2.456000000000e+01,5.833355606164e+21
2.579000000000e+01,5.834151099905e+21
2.707000000000e+01,5.835211758227e+21
2.842000000000e+01,5.836272416549e+21
2.984000000000e+01,5.837598239452e+21
3.132000000000e+01,5.838924062354e+21
3.288000000000e+01,5.840249885256e+21
3.521000000000e+01,5.842636366481e+21
3.591000000000e+01,5.843431860222e+21
3.662000000000e+01,5.844227353964e+21
3.962000000000e+01,5.847674493510e+21
4.121000000000e+01,5.849795810154e+21
4.202000000000e+01,5.850856468476e+21
4.546000000000e+01,5.855629430925e+21
4.635000000000e+01,5.857485582988e+21
4.727000000000e+01,5.859076570471e+21
4.916000000000e+01,5.862258545437e+21
5.013000000000e+01,5.864114697500e+21
5.112000000000e+01,5.865705684983e+21
5.213000000000e+01,5.867561837047e+21
5.315000000000e+01,5.869683153691e+21
5.527000000000e+01,5.873925786978e+21
5.636000000000e+01,5.876312268203e+21
6.332000000000e+01,5.893282801354e+21
6.455000000000e+01,5.896729940900e+21
6.582000000000e+01,5.900442245027e+21
6.841000000000e+01,5.908132017861e+21
6.974000000000e+01,5.912374651149e+21
7.109000000000e+01,5.917147613598e+21
7.246000000000e+01,5.921655411466e+21
7.387000000000e+01,5.926693538496e+21
7.529000000000e+01,5.931731665525e+21
7.674000000000e+01,5.937300121715e+21
7.822000000000e+01,5.943398907066e+21
7.972000000000e+01,5.949232527837e+21
8.124000000000e+01,5.955596477769e+21
8.279000000000e+01,5.962490756862e+21
8.437000000000e+01,5.969650200535e+21
8.597000000000e+01,5.977074808788e+21
8.759000000000e+01,5.984764581623e+21
8.925000000000e+01,5.992984683618e+21
9.092000000000e+01,6.001469950193e+21
9.263000000000e+01,6.010220381349e+21
9.436000000000e+01,6.019501141667e+21
9.611000000000e+01,6.028781901984e+21
9.789000000000e+01,6.038592991462e+21
1.015300000000e+02,6.059275828740e+21
1.110500000000e+02,6.116021048964e+21
1.130300000000e+02,6.127688290506e+21
1.150400000000e+02,6.139355532047e+21
1.170800000000e+02,6.151287938169e+21
1.191300000000e+02,6.163750673452e+21
1.212200000000e+02,6.175683079574e+21
1.233300000000e+02,6.188410979438e+21
1.254700000000e+02,6.201138879301e+21
1.298300000000e+02,6.226594679028e+21
1.320400000000e+02,6.241178730955e+21
1.412200000000e+02,6.291029672087e+21
1.435800000000e+02,6.304287901111e+21
1.484100000000e+02,6.332925675804e+21
1.666200000000e+02,6.428384924780e+21
1.694300000000e+02,6.441112824643e+21
1.722800000000e+02,6.454371053667e+21
1.812200000000e+02,6.498388374029e+21
1.843400000000e+02,6.511911767633e+21
1.875300000000e+02,6.524904832077e+21
2.335400000000e+02,6.649001855746e+21
2.381700000000e+02,6.653774818195e+21
2.429600000000e+02,6.657221957741e+21
2.479100000000e+02,6.659873603546e+21
2.530200000000e+02,6.661199426448e+21
2.582900000000e+02,6.660934261868e+21
2.637500000000e+02,6.660138768126e+21
2.693900000000e+02,6.656956793161e+21
2.752200000000e+02,6.652183830712e+21
2.812400000000e+02,6.646085045361e+21
2.874700000000e+02,6.638660437107e+21
2.939100000000e+02,6.629644841370e+21
3.005700000000e+02,6.619303422731e+21
3.074500000000e+02,6.607636181190e+21
3.145600000000e+02,6.594908281326e+21
3.219200000000e+02,6.579528735658e+21
3.295100000000e+02,6.563088531668e+21
3.373600000000e+02,6.545322504775e+21
3.454800000000e+02,6.526760984141e+21
3.538600000000e+02,6.503956830219e+21
3.625100000000e+02,6.481948170038e+21
3.714600000000e+02,6.458348522375e+21
3.806900000000e+02,6.433423051809e+21
3.902200000000e+02,6.407171758341e+21
4.102100000000e+02,6.352813019340e+21
4.206900000000e+02,6.322849421745e+21
4.315100000000e+02,6.291825165828e+21
4.426400000000e+02,6.260270580750e+21
4.541300000000e+02,6.227920501930e+21
4.659800000000e+02,6.194774929369e+21
4.781900000000e+02,6.161099027647e+21
4.907700000000e+02,6.126627632184e+21
5.037400000000e+02,6.091360742979e+21
5.308500000000e+02,6.019766306247e+21
5.595900000000e+02,5.946580882032e+21
5.746100000000e+02,5.909192676183e+21
5.900500000000e+02,5.873660622398e+21
6.391100000000e+02,5.759109523627e+21
6.741500000000e+02,5.682742124446e+21
6.924200000000e+02,5.644558424856e+21
7.111800000000e+02,5.606639889846e+21
7.304700000000e+02,5.568986519417e+21
7.502700000000e+02,5.531333148987e+21
7.706200000000e+02,5.493944943139e+21
7.915200000000e+02,5.456291572709e+21
8.129600000000e+02,5.419168531441e+21
8.349900000000e+02,5.380454502690e+21
8.806800000000e+02,5.309920724280e+21
9.539900000000e+02,5.198551600475e+21
9.797100000000e+02,5.167527344557e+21
1.033080000000e+03,5.098584553630e+21
1.060810000000e+03,5.064643487328e+21
1.148130000000e+03,4.965206769645e+21
1.178690000000e+03,4.932856690825e+21
1.242090000000e+03,4.870808178991e+21
1.275060000000e+03,4.838192935591e+21
1.308640000000e+03,4.807964173415e+21
1.343130000000e+03,4.777735411240e+21
1.378460000000e+03,4.747771813644e+21
1.414640000000e+03,4.718603709791e+21
1.489650000000e+03,4.661062995825e+21
1.609010000000e+03,4.578331646712e+21
1.737110000000e+03,4.497456449663e+21
2.021640000000e+03,4.350024942912e+21
2.179390000000e+03,4.281612481146e+21
2.234150000000e+03,4.259338656385e+21
2.290370000000e+03,4.237595160785e+21
2.347850000000e+03,4.214525842282e+21
2.406610000000e+03,4.194903663326e+21
2.466710000000e+03,4.173955661467e+21
2.528140000000e+03,4.153803153350e+21
2.787890000000e+03,4.077966083331e+21
3.220430000000e+03,3.972430580296e+21
3.297910000000e+03,3.956520705467e+21
3.376910000000e+03,3.940875995218e+21
3.457530000000e+03,3.925761614130e+21
3.623650000000e+03,3.896593510277e+21
3.709190000000e+03,3.882539787511e+21
3.796380000000e+03,3.868751229325e+21
3.885270000000e+03,3.854697506559e+21
4.068230000000e+03,3.827915883930e+21
4.162450000000e+03,3.814657654906e+21
4.258640000000e+03,3.801664590462e+21
