# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_8d84c17ee8bc85a092ba"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "74Ge^+(2P1/2)"
# neutral: "Ar"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 39.948, &alpha; = 1.6425."
# updated: "2022-01-01 15:59:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14074_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "76b19dbf758b9f1a15843d8fe5a618db9809be099904257f2762c00501d5cb3c"
reduced_electric_field_Td,reduced_transport_SI
7.000000000000e-02,5.475913751665e+21
2.900000000000e-01,5.475913751665e+21
1.180000000000e+00,5.475913751665e+21
2.060000000000e+00,5.475913751665e+21
3.600000000000e+00,5.475648587085e+21
5.050000000000e+00,5.475648587085e+21
7.060000000000e+00,5.474853093343e+21
8.480000000000e+00,5.474587928763e+21
1.017000000000e+01,5.474322764182e+21
1.170000000000e+01,5.473792435021e+21
1.346000000000e+01,5.473262105861e+21
1.548000000000e+01,5.472731776700e+21
1.780000000000e+01,5.471671118378e+21
1.958000000000e+01,5.470875624636e+21
2.155000000000e+01,5.470080130895e+21
2.263000000000e+01,5.469549801734e+21
2.376000000000e+01,5.469019472573e+21
2.495000000000e+01,5.468489143412e+21
2.620000000000e+01,5.467958814251e+21
2.751000000000e+01,5.467163320509e+21
2.889000000000e+01,5.466632991348e+21
3.034000000000e+01,5.466367826768e+21
3.186000000000e+01,5.465572333026e+21
3.346000000000e+01,5.465042003865e+21
3.514000000000e+01,5.464511674704e+21
3.690000000000e+01,5.463981345543e+21
3.764000000000e+01,5.463981345543e+21
3.840000000000e+01,5.463981345543e+21
3.917000000000e+01,5.463716180963e+21
3.995000000000e+01,5.463716180963e+21
4.075000000000e+01,5.463716180963e+21
4.157000000000e+01,5.463716180963e+21
4.240000000000e+01,5.463716180963e+21
4.325000000000e+01,5.463716180963e+21
4.412000000000e+01,5.464246510124e+21
4.501000000000e+01,5.462920687221e+21
4.593000000000e+01,5.461329699739e+21
4.686000000000e+01,5.461064535158e+21
4.777000000000e+01,5.464246510124e+21
4.872000000000e+01,5.464776839285e+21
4.970000000000e+01,5.465572333026e+21
