# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_7e328a2750236b0b2356"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "74Ge^+(2P3/2)"
# neutral: "Ar"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 39.948, &alpha; = 1.6425."
# updated: "2022-01-20 22:04:08"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14075_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "13aa0ffdb521161942e042332d3adcc77a65963d70f7088a50de57dcb3ee21c4"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,1.552000000000e+20
2.400000000000e-01,1.552000000000e+20
9.400000000000e-01,1.552000000000e+20
1.650000000000e+00,1.553000000000e+20
2.880000000000e+00,1.556000000000e+20
4.040000000000e+00,1.560000000000e+20
5.650000000000e+00,1.568000000000e+20
6.780000000000e+00,1.574000000000e+20
8.140000000000e+00,1.585000000000e+20
9.360000000000e+00,1.596000000000e+20
1.076000000000e+01,1.610000000000e+20
1.237000000000e+01,1.629000000000e+20
1.422000000000e+01,1.654000000000e+20
1.564000000000e+01,1.676000000000e+20
1.720000000000e+01,1.702000000000e+20
1.805000000000e+01,1.717000000000e+20
1.895000000000e+01,1.734000000000e+20
1.990000000000e+01,1.753000000000e+20
2.089000000000e+01,1.774000000000e+20
2.192000000000e+01,1.797000000000e+20
2.301000000000e+01,1.823000000000e+20
2.416000000000e+01,1.851000000000e+20
2.536000000000e+01,1.882000000000e+20
2.661000000000e+01,1.916000000000e+20
2.793000000000e+01,1.954000000000e+20
2.932000000000e+01,1.996000000000e+20
2.990000000000e+01,2.014000000000e+20
3.049000000000e+01,2.033000000000e+20
3.109000000000e+01,2.053000000000e+20
3.171000000000e+01,2.074000000000e+20
3.233000000000e+01,2.095000000000e+20
3.297000000000e+01,2.117000000000e+20
3.362000000000e+01,2.140000000000e+20
3.429000000000e+01,2.165000000000e+20
3.496000000000e+01,2.190000000000e+20
3.565000000000e+01,2.216000000000e+20
3.636000000000e+01,2.244000000000e+20
3.855000000000e+01,2.333000000000e+20
3.930000000000e+01,2.365000000000e+20
4.008000000000e+01,2.398000000000e+20
4.086000000000e+01,2.433000000000e+20
4.167000000000e+01,2.469000000000e+20
4.248000000000e+01,2.507000000000e+20
4.332000000000e+01,2.546000000000e+20
4.417000000000e+01,2.588000000000e+20
4.503000000000e+01,2.631000000000e+20
4.591000000000e+01,2.675000000000e+20
4.681000000000e+01,2.722000000000e+20
4.772000000000e+01,2.770000000000e+20
4.866000000000e+01,2.820000000000e+20
4.961000000000e+01,2.873000000000e+20
5.057000000000e+01,2.927000000000e+20
5.156000000000e+01,2.984000000000e+20
5.358000000000e+01,3.100000000000e+20
5.463000000000e+01,3.164000000000e+20
5.570000000000e+01,3.231000000000e+20
5.788000000000e+01,3.371000000000e+20
5.900000000000e+01,3.446000000000e+20
6.015000000000e+01,3.525000000000e+20
6.131000000000e+01,3.606000000000e+20
6.250000000000e+01,3.692000000000e+20
6.371000000000e+01,3.780000000000e+20
6.494000000000e+01,3.872000000000e+20
6.620000000000e+01,3.969000000000e+20
6.747000000000e+01,4.070000000000e+20
6.878000000000e+01,4.179000000000e+20
7.010000000000e+01,4.286000000000e+20
7.145000000000e+01,4.402000000000e+20
7.283000000000e+01,4.522000000000e+20
7.423000000000e+01,4.649000000000e+20
7.566000000000e+01,4.781000000000e+20
7.712000000000e+01,4.920000000000e+20
7.859000000000e+01,5.065000000000e+20
8.010000000000e+01,5.217000000000e+20
8.164000000000e+01,5.377000000000e+20
8.320000000000e+01,5.544000000000e+20
8.479000000000e+01,5.720000000000e+20
8.642000000000e+01,5.905000000000e+20
8.807000000000e+01,6.098000000000e+20
8.975000000000e+01,6.299000000000e+20
9.146000000000e+01,6.508000000000e+20
9.320000000000e+01,6.732000000000e+20
9.497000000000e+01,6.963000000000e+20
9.677000000000e+01,7.213000000000e+20
9.860000000000e+01,7.475000000000e+20
1.042900000000e+02,8.289000000000e+20
1.062500000000e+02,8.597000000000e+20
1.082400000000e+02,8.893000000000e+20
1.102500000000e+02,9.211000000000e+20
1.123100000000e+02,9.541000000000e+20
1.144000000000e+02,9.882000000000e+20
1.165200000000e+02,1.023100000000e+21
1.208700000000e+02,1.096500000000e+21
1.230900000000e+02,1.134000000000e+21
1.253400000000e+02,1.172200000000e+21
1.323800000000e+02,1.324500000000e+21
1.347400000000e+02,1.334200000000e+21
1.396500000000e+02,1.426200000000e+21
1.421800000000e+02,1.466000000000e+21
1.447300000000e+02,1.510500000000e+21
1.473400000000e+02,1.556100000000e+21
1.499800000000e+02,1.605700000000e+21
1.526800000000e+02,1.654000000000e+21
1.639600000000e+02,1.848800000000e+21
1.669200000000e+02,1.911000000000e+21
1.699400000000e+02,1.925700000000e+21
1.761800000000e+02,2.065200000000e+21
1.794000000000e+02,2.142500000000e+21
1.860800000000e+02,2.278100000000e+21
1.895400000000e+02,2.349100000000e+21
1.967300000000e+02,2.596400000000e+21
2.043000000000e+02,2.415000000000e+21
2.082400000000e+02,2.534300000000e+21
2.123000000000e+02,2.622300000000e+21
2.164700000000e+02,2.701900000000e+21
2.207600000000e+02,2.778200000000e+21
2.251800000000e+02,2.856500000000e+21
2.297400000000e+02,2.923700000000e+21
2.344300000000e+02,3.002000000000e+21
2.392700000000e+02,3.078900000000e+21
2.442700000000e+02,3.150700000000e+21
2.494200000000e+02,3.234800000000e+21
2.547300000000e+02,3.314200000000e+21
2.602100000000e+02,3.396000000000e+21
2.658700000000e+02,3.478400000000e+21
2.717200000000e+02,3.562600000000e+21
2.777500000000e+02,3.649500000000e+21
2.839800000000e+02,3.729800000000e+21
2.904200000000e+02,3.826500000000e+21
2.970600000000e+02,3.919800000000e+21
3.039300000000e+02,4.010300000000e+21
3.110100000000e+02,4.105700000000e+21
3.183400000000e+02,4.205700000000e+21
3.258900000000e+02,4.307700000000e+21
3.336900000000e+02,4.410700000000e+21
3.417400000000e+02,4.523700000000e+21
3.500600000000e+02,4.636500000000e+21
3.586400000000e+02,4.751700000000e+21
3.674900000000e+02,4.870000000000e+21
3.766300000000e+02,4.992400000000e+21
3.860600000000e+02,5.118600000000e+21
3.957900000000e+02,5.249700000000e+21
4.058200000000e+02,5.385300000000e+21
4.161500000000e+02,5.527000000000e+21
4.268200000000e+02,5.672000000000e+21
4.491400000000e+02,5.974800000000e+21
4.608100000000e+02,6.144400000000e+21
4.728300000000e+02,6.312900000000e+21
4.852100000000e+02,6.489000000000e+21
4.979600000000e+02,6.671900000000e+21
5.110900000000e+02,6.862300000000e+21
5.246000000000e+02,7.059100000000e+21
5.385100000000e+02,7.264700000000e+21
5.528200000000e+02,7.478800000000e+21
5.675400000000e+02,7.696900000000e+21
5.826800000000e+02,7.927300000000e+21
5.982600000000e+02,8.170500000000e+21
6.142700000000e+02,8.427600000000e+21
6.307200000000e+02,8.706000000000e+21
6.476200000000e+02,8.991500000000e+21
6.649800000000e+02,9.265000000000e+21
6.828100000000e+02,9.558400000000e+21
7.011300000000e+02,9.855700000000e+21
7.199500000000e+02,1.017320000000e+22
7.392700000000e+02,1.050780000000e+22
7.590900000000e+02,1.085670000000e+22
7.794400000000e+02,1.122070000000e+22
8.003200000000e+02,1.160000000000e+22
8.217300000000e+02,1.199260000000e+22
8.437000000000e+02,1.240690000000e+22
8.662300000000e+02,1.283280000000e+22
8.893300000000e+02,1.327800000000e+22
9.130100000000e+02,1.374210000000e+22
9.372900000000e+02,1.420900000000e+22
9.874200000000e+02,1.520350000000e+22
1.013710000000e+03,1.571020000000e+22
1.067900000000e+03,1.697270000000e+22
1.095880000000e+03,1.760490000000e+22
1.124640000000e+03,1.821110000000e+22
1.154080000000e+03,1.885590000000e+22
1.184260000000e+03,1.959400000000e+22
1.215100000000e+03,1.994890000000e+22
1.278960000000e+03,2.203400000000e+22
1.312090000000e+03,2.190610000000e+22
1.345900000000e+03,2.346310000000e+22
1.380520000000e+03,2.464000000000e+22
1.416000000000e+03,2.655600000000e+22
1.489330000000e+03,2.727700000000e+22
1.527250000000e+03,2.819690000000e+22
1.566130000000e+03,2.930850000000e+22
1.605860000000e+03,3.037020000000e+22
1.646510000000e+03,3.153960000000e+22
1.730610000000e+03,3.391340000000e+22
1.774160000000e+03,3.479180000000e+22
1.818730000000e+03,3.531900000000e+22
1.910940000000e+03,3.899720000000e+22
1.958440000000e+03,4.085460000000e+22
2.007110000000e+03,4.259340000000e+22
2.056950000000e+03,4.418410000000e+22
2.107970000000e+03,4.588980000000e+22
2.160060000000e+03,4.773550000000e+22
2.213370000000e+03,4.941560000000e+22
2.267840000000e+03,5.140460000000e+22
2.323560000000e+03,5.338800000000e+22
2.380530000000e+03,5.547970000000e+22
2.438760000000e+03,5.764460000000e+22
2.498280000000e+03,5.991010000000e+22
2.559090000000e+03,6.231980000000e+22
2.621270000000e+03,6.481490000000e+22
2.684820000000e+03,6.739200000000e+22
