# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_0fffbe03be0641aa9896"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "76Ge^+(2P)"
# neutral: "Ar"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 75.9214, M = 39.948, &alpha; = 1.6425."
# updated: "2022-03-05 15:24:58"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14079_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "e4a2add3f406bc0c6a19b0981da55754b6e02745ef9b2e31d2b154a9f5cb0de4"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,5.748237775827e+21
2.000000000000e-01,5.748237775827e+21
7.900000000000e-01,5.748237775827e+21
1.390000000000e+00,5.748237775827e+21
2.430000000000e+00,5.748237775827e+21
3.400000000000e+00,5.748237775827e+21
4.760000000000e+00,5.748237775827e+21
5.710000000000e+00,5.747972611246e+21
6.850000000000e+00,5.747972611246e+21
7.880000000000e+00,5.747972611246e+21
9.060000000000e+00,5.747972611246e+21
1.042000000000e+01,5.747972611246e+21
1.198000000000e+01,5.747707446666e+21
1.318000000000e+01,5.747707446666e+21
1.523000000000e+01,5.747707446666e+21
1.599000000000e+01,5.747707446666e+21
1.679000000000e+01,5.747707446666e+21
1.763000000000e+01,5.747707446666e+21
1.851000000000e+01,5.747972611246e+21
1.943000000000e+01,5.747972611246e+21
2.142000000000e+01,5.747972611246e+21
2.249000000000e+01,5.748237775827e+21
2.362000000000e+01,5.748502940407e+21
2.632000000000e+01,5.749033269568e+21
2.738000000000e+01,5.749298434149e+21
2.905000000000e+01,5.749828763310e+21
2.963000000000e+01,5.750093927890e+21
3.023000000000e+01,5.750359092471e+21
3.083000000000e+01,5.750624257051e+21
3.144000000000e+01,5.750889421632e+21
3.207000000000e+01,5.751154586212e+21
3.271000000000e+01,5.751419750793e+21
3.337000000000e+01,5.751684915373e+21
3.756000000000e+01,5.754336561178e+21
3.831000000000e+01,5.754866890339e+21
3.907000000000e+01,5.755397219500e+21
4.065000000000e+01,5.756723042403e+21
4.145000000000e+01,5.757518536144e+21
4.228000000000e+01,5.758048865305e+21
4.312000000000e+01,5.758844359046e+21
4.665000000000e+01,5.762291498593e+21
4.758000000000e+01,5.763352156915e+21
4.852000000000e+01,5.764412815237e+21
5.046000000000e+01,5.766799296461e+21
5.248000000000e+01,5.769185777686e+21
5.352000000000e+01,5.770511600588e+21
5.566000000000e+01,5.773428410973e+21
5.676000000000e+01,5.775019398456e+21
5.902000000000e+01,5.778466538003e+21
6.137000000000e+01,5.782444006710e+21
6.258000000000e+01,5.784565323354e+21
6.381000000000e+01,5.786951804578e+21
6.506000000000e+01,5.789338285803e+21
6.634000000000e+01,5.791989931608e+21
6.764000000000e+01,5.794641577412e+21
6.897000000000e+01,5.797558387798e+21
7.032000000000e+01,5.800740362764e+21
7.169000000000e+01,5.803922337730e+21
7.309000000000e+01,5.807369477276e+21
7.452000000000e+01,5.811346945983e+21
7.597000000000e+01,5.815324414691e+21
7.745000000000e+01,5.819832212559e+21
8.049000000000e+01,5.829643302037e+21
8.364000000000e+01,5.840249885256e+21
8.525000000000e+01,5.846348670608e+21
8.689000000000e+01,5.853242949700e+21
8.856000000000e+01,5.860137228793e+21
9.025000000000e+01,5.867296672466e+21
9.198000000000e+01,5.875251609881e+21
9.372000000000e+01,5.884002041037e+21
9.731000000000e+01,5.901502903349e+21
9.914000000000e+01,5.911048828247e+21
1.028800000000e+02,5.931996830105e+21
1.067100000000e+02,5.954005490286e+21
1.126900000000e+02,5.990067873232e+21
1.167500000000e+02,6.014197850057e+21
1.208900000000e+02,6.036471674818e+21
1.251600000000e+02,6.061131980803e+21
1.295100000000e+02,6.084466463886e+21
1.361500000000e+02,6.121059175994e+21
1.408500000000e+02,6.145984646560e+21
1.431900000000e+02,6.157917052681e+21
1.455700000000e+02,6.170644952545e+21
1.553700000000e+02,6.224473362384e+21
1.653900000000e+02,6.276445620160e+21
2.164300000000e+02,6.535246250716e+21
2.203900000000e+02,6.547708985999e+21
2.375500000000e+02,6.588014002234e+21
2.519700000000e+02,6.606575522868e+21
2.571100000000e+02,6.610818156156e+21
2.624300000000e+02,6.612409143639e+21
