# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_f232c87fea35957420f7"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "76Ge^+(2P1/2)"
# neutral: "Ar"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 75.9214, M = 39.948, &alpha; = 1.6425."
# updated: "2022-01-01 15:59:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14080_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "62fee653e74aa8d0e62e63715a1a4191a591b96e731f0609e3adbd4de9601421"
reduced_electric_field_Td,reduced_transport_SI
7.000000000000e-02,1.903000000000e+20
3.000000000000e-01,1.903000000000e+20
1.180000000000e+00,1.904000000000e+20
2.070000000000e+00,1.905000000000e+20
3.620000000000e+00,1.908000000000e+20
5.070000000000e+00,1.913000000000e+20
7.100000000000e+00,1.922000000000e+20
8.520000000000e+00,1.930000000000e+20
1.352000000000e+01,1.970000000000e+20
1.555000000000e+01,1.991000000000e+20
1.788000000000e+01,2.019000000000e+20
1.968000000000e+01,2.043000000000e+20
2.273000000000e+01,2.090000000000e+20
2.387000000000e+01,2.110000000000e+20
2.507000000000e+01,2.131000000000e+20
2.632000000000e+01,2.154000000000e+20
2.764000000000e+01,2.180000000000e+20
2.903000000000e+01,2.209000000000e+20
3.201000000000e+01,2.276000000000e+20
3.362000000000e+01,2.315000000000e+20
3.530000000000e+01,2.358000000000e+20
3.782000000000e+01,2.428000000000e+20
4.014000000000e+01,2.496000000000e+20
4.094000000000e+01,2.521000000000e+20
4.176000000000e+01,2.547000000000e+20
4.260000000000e+01,2.575000000000e+20
4.895000000000e+01,2.805000000000e+20
4.993000000000e+01,2.845000000000e+20
5.093000000000e+01,2.887000000000e+20
5.195000000000e+01,2.930000000000e+20
5.511000000000e+01,3.075000000000e+20
5.621000000000e+01,3.129000000000e+20
5.733000000000e+01,3.184000000000e+20
5.847000000000e+01,3.243000000000e+20
5.963000000000e+01,3.306000000000e+20
6.325000000000e+01,3.519000000000e+20
6.839000000000e+01,3.865000000000e+20
6.973000000000e+01,3.966000000000e+20
7.110000000000e+01,4.073000000000e+20
7.249000000000e+01,4.188000000000e+20
7.390000000000e+01,4.310000000000e+20
7.534000000000e+01,4.441000000000e+20
7.680000000000e+01,4.581000000000e+20
7.829000000000e+01,4.733000000000e+20
7.979000000000e+01,4.892000000000e+20
8.132000000000e+01,5.064000000000e+20
8.287000000000e+01,5.249000000000e+20
8.445000000000e+01,5.447000000000e+20
8.604000000000e+01,5.660000000000e+20
8.765000000000e+01,5.888000000000e+20
8.929000000000e+01,6.133000000000e+20
9.094000000000e+01,6.396000000000e+20
9.262000000000e+01,6.678000000000e+20
9.431000000000e+01,6.979000000000e+20
9.602000000000e+01,7.301000000000e+20
9.775000000000e+01,7.653000000000e+20
9.949000000000e+01,8.009000000000e+20
1.012500000000e+02,8.398000000000e+20
1.030200000000e+02,8.832000000000e+20
1.048000000000e+02,9.231000000000e+20
1.066000000000e+02,9.686000000000e+20
1.084100000000e+02,1.016200000000e+21
1.250100000000e+02,1.468800000000e+21
1.407700000000e+02,1.904600000000e+21
1.514300000000e+02,2.191300000000e+21
1.580500000000e+02,2.365100000000e+21
1.742900000000e+02,2.865100000000e+21
2.181300000000e+02,4.109200000000e+21
2.218200000000e+02,4.200300000000e+21
2.336900000000e+02,4.468400000000e+21
2.379400000000e+02,4.592600000000e+21
2.423400000000e+02,4.708100000000e+21
2.469000000000e+02,4.819500000000e+21
2.516400000000e+02,4.924800000000e+21
2.565500000000e+02,5.029300000000e+21
2.616500000000e+02,5.133300000000e+21
2.669300000000e+02,5.237200000000e+21
2.724200000000e+02,5.337800000000e+21
2.781100000000e+02,5.452100000000e+21
2.840000000000e+02,5.550300000000e+21
2.901200000000e+02,5.653300000000e+21
2.964700000000e+02,5.759200000000e+21
3.169500000000e+02,6.055900000000e+21
3.242800000000e+02,6.206200000000e+21
3.478900000000e+02,6.595200000000e+21
3.563200000000e+02,6.719400000000e+21
3.650600000000e+02,6.865900000000e+21
3.741100000000e+02,6.991400000000e+21
3.834400000000e+02,7.147300000000e+21
3.931400000000e+02,7.290500000000e+21
4.135000000000e+02,7.582900000000e+21
4.352500000000e+02,7.950600000000e+21
4.584200000000e+02,8.332800000000e+21
4.706200000000e+02,8.541200000000e+21
4.832100000000e+02,8.740900000000e+21
5.233500000000e+02,9.426900000000e+21
5.376300000000e+02,9.661900000000e+21
5.831400000000e+02,1.047980000000e+22
5.991800000000e+02,1.075550000000e+22
6.504700000000e+02,1.163660000000e+22
6.686000000000e+02,1.194800000000e+22
6.873100000000e+02,1.231820000000e+22
7.466900000000e+02,1.345930000000e+22
7.677900000000e+02,1.388110000000e+22
7.891200000000e+02,1.420420000000e+22
8.114500000000e+02,1.464070000000e+22
8.342500000000e+02,1.508100000000e+22
8.577100000000e+02,1.553810000000e+22
8.818200000000e+02,1.607960000000e+22
9.065700000000e+02,1.651350000000e+22
9.320600000000e+02,1.705670000000e+22
9.582400000000e+02,1.759040000000e+22
9.852400000000e+02,1.816150000000e+22
1.070430000000e+03,2.003610000000e+22
1.100360000000e+03,2.071000000000e+22
1.195190000000e+03,2.297650000000e+22
1.262620000000e+03,2.437420000000e+22
1.449080000000e+03,2.879320000000e+22
1.487410000000e+03,2.971230000000e+22
1.528120000000e+03,3.099690000000e+22
1.569990000000e+03,3.210090000000e+22
1.612930000000e+03,3.330830000000e+22
1.656950000000e+03,3.442440000000e+22
1.702060000000e+03,3.570880000000e+22
1.748260000000e+03,3.712010000000e+22
1.893870000000e+03,4.124920000000e+22
2.104970000000e+03,4.728710000000e+22
2.218020000000e+03,5.108580000000e+22
2.336330000000e+03,5.566780000000e+22
2.397550000000e+03,5.787350000000e+22
2.460150000000e+03,6.015940000000e+22
2.524150000000e+03,6.264220000000e+22
2.589600000000e+03,6.510130000000e+22
2.656480000000e+03,6.771950000000e+22
2.724820000000e+03,7.049900000000e+22
2.794640000000e+03,7.340510000000e+22
2.865960000000e+03,7.650630000000e+22
2.938790000000e+03,7.956690000000e+22
3.013250000000e+03,8.320310000000e+22
3.089080000000e+03,8.657050000000e+22
