# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_a41fa86870522e3bef4f"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "79Br^-"
# neutral: "Ar"
# gas_temperature_K: 297.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 297 K"
# group_comment: ""
# source_family: ""
# comment: "Mobility Data of Dotan and Albritton, J. Chem. Phys. 66 (1977) 5238."
# updated: "2011-12-12 11:14:06"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_022_149_149/002_mobility.txt"
# source_file_sha256: "b9fc90378d73524ab7291a46e9b45b48dbb7abea9eee3790e3fd0d0c43b33d20"
reduced_electric_field_Td,reduced_transport_SI
5.500000000000e+00,5.992719519037e+21
8.250000000000e+00,6.019235977086e+21
1.100000000000e+01,6.151818267330e+21
1.375000000000e+01,6.151818267330e+21
1.650000000000e+01,6.178334725379e+21
1.925000000000e+01,6.151818267330e+21
2.200000000000e+01,6.231367641477e+21
2.475000000000e+01,6.231367641477e+21
2.750000000000e+01,6.284400557574e+21
3.300000000000e+01,6.470015763916e+21
3.438000000000e+01,6.390466389770e+21
4.125000000000e+01,6.443499305867e+21
4.400000000000e+01,6.655630970258e+21
4.812000000000e+01,6.602598054160e+21
5.500000000000e+01,6.682147428307e+21
6.188000000000e+01,6.761696802454e+21
6.601000000000e+01,6.973828466844e+21
6.876000000000e+01,6.973828466844e+21
7.563000000000e+01,6.947312008795e+21
7.701000000000e+01,7.079894299040e+21
8.251000000000e+01,7.000344924893e+21
8.801000000000e+01,7.159443673186e+21
8.938000000000e+01,7.026861382942e+21
9.826000000000e+01,7.106410757088e+21
9.901000000000e+01,7.185960131235e+21
1.031300000000e+02,7.106410757088e+21
1.100000000000e+02,7.185960131235e+21
1.168800000000e+02,7.106410757088e+21
1.210100000000e+02,7.132927215137e+21
1.237600000000e+02,7.079894299040e+21
1.283400000000e+02,7.185960131235e+21
1.306400000000e+02,7.079894299040e+21
1.320100000000e+02,7.079894299040e+21
1.375100000000e+02,7.026861382942e+21
1.430100000000e+02,7.000344924893e+21
1.466700000000e+02,7.026861382942e+21
1.540100000000e+02,6.894279092698e+21
1.650100000000e+02,6.841246176600e+21
1.760100000000e+02,6.735180344405e+21
1.833500000000e+02,6.788213260502e+21
1.870100000000e+02,6.682147428307e+21
1.980200000000e+02,6.629114512209e+21
2.016800000000e+02,6.682147428307e+21
2.090200000000e+02,6.523048680014e+21
2.200200000000e+02,6.443499305867e+21
2.566900000000e+02,6.310917015623e+21
2.750200000000e+02,6.151818267330e+21
2.933600000000e+02,6.098785351233e+21
3.116900000000e+02,5.992719519037e+21
3.300300000000e+02,5.913170144891e+21
3.483600000000e+02,5.780587854647e+21
3.667000000000e+02,5.674522022451e+21
3.850300000000e+02,5.621489106354e+21
4.033700000000e+02,5.568456190256e+21
4.217000000000e+02,5.541939732207e+21
4.400400000000e+02,5.462390358060e+21
