# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_d6c325f9a29c60657d3c"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "CO^+"
# neutral: "Ar"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Compiled Ko of Ellis et al., At. Data Nucl. Data Tables 31 (1984) 113."
# source_family: "compiled ko of ellis et al., at. data nucl. data tables 31 (1984) 113."
# comment: ""
# updated: "2010-05-14 15:04:20"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_028_225_225/003_mobility.txt"
# source_file_sha256: "11d3adea1e942c6301a7949b1ded04df1235cf36ad6ef6522305e1b7fa98bbe0"
reduced_electric_field_Td,reduced_transport_SI
8.000000000000e+00,7.557190543919e+21
1.000000000000e+01,5.939686602940e+21
2.000000000000e+01,5.939686602940e+21
4.000000000000e+01,5.966203060988e+21
6.000000000000e+01,5.992719519037e+21
8.000000000000e+01,6.019235977086e+21
1.000000000000e+02,6.072268893184e+21
1.200000000000e+02,6.151818267330e+21
1.500000000000e+02,6.257884099526e+21
2.000000000000e+02,6.337433473672e+21
2.500000000000e+02,6.337433473672e+21
3.000000000000e+02,6.310917015623e+21
