# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_d95b5358dfd1bf4da90e"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "39K^+"
# neutral: "CO"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "Compiled NDL of Ellis et al., At. Data Nucl. Data Tables 22 (1978) 179."
# source_family: "compiled ndl of ellis et al., at. data nucl. data tables 22 (1978) 179."
# comment: ""
# updated: "2011-12-12 11:44:37"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_017_107_107/001_diffusion_x_gas_density.txt"
# source_file_sha256: "d6ae486954fc504cf3b8e5f46114ca2678a2e040d51e6ca2ae87914b6e12a202"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e+00,1.580000000000e+20
5.000000000000e+00,1.580000000000e+20
6.000000000000e+00,1.590000000000e+20
8.000000000000e+00,1.600000000000e+20
1.000000000000e+01,1.610000000000e+20
1.200000000000e+01,1.630000000000e+20
1.500000000000e+01,1.670000000000e+20
2.000000000000e+01,1.740000000000e+20
2.500000000000e+01,1.820000000000e+20
3.000000000000e+01,1.910000000000e+20
4.000000000000e+01,2.130000000000e+20
5.000000000000e+01,2.460000000000e+20
6.000000000000e+01,2.980000000000e+20
8.000000000000e+01,4.320000000000e+20
1.000000000000e+02,6.200000000000e+20
1.200000000000e+02,9.000000000000e+20
1.500000000000e+02,1.380000000000e+21
2.000000000000e+02,2.280000000000e+21
2.500000000000e+02,3.110000000000e+21
3.000000000000e+02,3.910000000000e+21
4.000000000000e+02,5.640000000000e+21
5.000000000000e+02,7.620000000000e+21
6.000000000000e+02,1.010000000000e+22
