# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_5da39fd1c8be617e3193"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "7Li^+(1S0)"
# neutral: "D2"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Compiled Ko Data of Ellis et al., At. Data Nucl. Data Tables 17 (1976) 177."
# source_family: "compiled ko data of ellis et al., at. data nucl. data tables 17 (1976) 177."
# comment: ""
# updated: "2011-12-12 12:30:47"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_014_7959_7959/003_mobility.txt"
# source_file_sha256: "693260b5f3b21526b01030aa8379732af8e823ce23642a1377809fd766d07e0b"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e+00,2.545579972688e+22
4.000000000000e+00,2.545579972688e+22
6.000000000000e+00,2.545579972688e+22
8.000000000000e+00,2.545579972688e+22
1.000000000000e+01,2.545579972688e+22
1.200000000000e+01,2.545579972688e+22
1.500000000000e+01,2.545579972688e+22
2.000000000000e+01,2.545579972688e+22
2.500000000000e+01,2.545579972688e+22
3.000000000000e+01,2.572096430737e+22
4.000000000000e+01,2.625129346835e+22
5.000000000000e+01,2.731195179030e+22
6.000000000000e+01,2.863777469274e+22
8.000000000000e+01,3.420623088300e+22
1.000000000000e+02,3.977468707326e+22
1.200000000000e+02,4.348699120009e+22
1.500000000000e+02,4.613863700498e+22
2.000000000000e+02,4.719929532693e+22
2.500000000000e+02,4.401732036107e+22
3.000000000000e+02,3.844886417081e+22
