# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_a1281fb1a12db890b1b3"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "1H^+"
# neutral: "H2"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Compiled Ko Data of Ellis et al., At. Data Nucl. Data Tables 17 (1976) 177."
# source_family: "compiled ko data of ellis et al., at. data nucl. data tables 17 (1976) 177."
# comment: ""
# updated: "2011-12-12 11:33:49"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_035_71_71/002_mobility.txt"
# source_file_sha256: "07608763234705b050f51b9102d75cce7c4e55b8a4d8a907521e06adc92e6b0a"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e+00,4.242633287814e+22
5.000000000000e+00,4.242633287814e+22
6.000000000000e+00,4.242633287814e+22
8.000000000000e+00,4.242633287814e+22
1.000000000000e+01,4.242633287814e+22
1.200000000000e+01,4.242633287814e+22
1.500000000000e+01,4.216116829765e+22
2.000000000000e+01,4.189600371716e+22
2.500000000000e+01,4.163083913667e+22
3.000000000000e+01,4.110050997570e+22
4.000000000000e+01,4.030501623423e+22
5.000000000000e+01,3.950952249277e+22
6.000000000000e+01,3.844886417081e+22
8.000000000000e+01,3.685787668788e+22
1.000000000000e+02,3.553205378544e+22
1.200000000000e+02,3.500172462447e+22
1.500000000000e+02,3.473656004398e+22
2.000000000000e+02,3.473656004398e+22
2.500000000000e+02,3.500172462447e+22
3.000000000000e+02,3.526688920495e+22
4.000000000000e+02,3.632754752691e+22
