# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_24ee5a6e57df68d7ebce"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "12C(2P1/2)^+"
# neutral: "He"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "Ground State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland and T. G. Wright, Mol. Phys. 113 (2015) 3767-3782."
# source_family: "ground state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland and t. g. wright, mol. phys. 113 (2015) 3767-3782."
# comment: "Mi = 12, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-12-19 20:59:53"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_1382_neutral_8_37/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "ba7e84ba74bf019fcdccca440eca10a073b739fb2a60f4425950da4288cb77ce"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,9.086000000000e+20
7.000000000000e-02,9.086000000000e+20
2.800000000000e-01,9.089000000000e+20
4.800000000000e-01,9.095000000000e+20
8.500000000000e-01,9.115000000000e+20
1.190000000000e+00,9.143000000000e+20
1.660000000000e+00,9.199000000000e+20
1.990000000000e+00,9.249000000000e+20
2.390000000000e+00,9.321000000000e+20
2.740000000000e+00,9.398000000000e+20
3.150000000000e+00,9.500000000000e+20
3.620000000000e+00,9.637000000000e+20
4.160000000000e+00,9.820000000000e+20
4.570000000000e+00,9.980000000000e+20
5.020000000000e+00,1.017500000000e+21
5.270000000000e+00,1.029200000000e+21
5.530000000000e+00,1.042200000000e+21
5.800000000000e+00,1.056500000000e+21
6.080000000000e+00,1.072800000000e+21
6.380000000000e+00,1.090800000000e+21
6.690000000000e+00,1.110700000000e+21
7.020000000000e+00,1.133500000000e+21
7.360000000000e+00,1.158700000000e+21
7.710000000000e+00,1.187100000000e+21
8.080000000000e+00,1.219000000000e+21
8.470000000000e+00,1.254900000000e+21
8.630000000000e+00,1.270600000000e+21
8.790000000000e+00,1.287300000000e+21
8.960000000000e+00,1.304800000000e+21
9.130000000000e+00,1.323200000000e+21
9.300000000000e+00,1.342600000000e+21
9.470000000000e+00,1.362700000000e+21
9.650000000000e+00,1.384100000000e+21
9.830000000000e+00,1.406700000000e+21
1.002000000000e+01,1.430400000000e+21
1.020000000000e+01,1.455500000000e+21
1.039000000000e+01,1.481900000000e+21
1.059000000000e+01,1.509700000000e+21
1.078000000000e+01,1.539100000000e+21
1.098000000000e+01,1.570100000000e+21
1.118000000000e+01,1.602800000000e+21
1.139000000000e+01,1.637300000000e+21
1.159000000000e+01,1.673800000000e+21
1.181000000000e+01,1.712100000000e+21
1.202000000000e+01,1.752800000000e+21
1.224000000000e+01,1.795800000000e+21
1.245000000000e+01,1.841200000000e+21
1.268000000000e+01,1.889200000000e+21
1.290000000000e+01,1.939700000000e+21
1.313000000000e+01,1.993100000000e+21
1.336000000000e+01,2.053400000000e+21
1.359000000000e+01,2.113800000000e+21
1.382000000000e+01,2.177800000000e+21
1.404000000000e+01,2.251600000000e+21
1.430000000000e+01,2.330300000000e+21
1.454000000000e+01,2.406700000000e+21
1.479000000000e+01,2.489000000000e+21
1.504000000000e+01,2.573700000000e+21
1.529000000000e+01,2.664500000000e+21
1.554000000000e+01,2.760200000000e+21
1.579000000000e+01,2.859100000000e+21
1.605000000000e+01,2.964000000000e+21
1.631000000000e+01,3.074100000000e+21
1.657000000000e+01,3.190200000000e+21
1.683000000000e+01,3.309000000000e+21
1.710000000000e+01,3.435200000000e+21
1.737000000000e+01,3.567400000000e+21
1.764000000000e+01,3.700000000000e+21
1.791000000000e+01,3.840000000000e+21
1.818000000000e+01,3.984500000000e+21
1.846000000000e+01,4.132800000000e+21
1.875000000000e+01,4.290200000000e+21
1.902000000000e+01,4.447600000000e+21
1.930000000000e+01,4.609300000000e+21
1.959000000000e+01,4.791000000000e+21
1.987000000000e+01,4.947800000000e+21
2.016000000000e+01,5.122500000000e+21
2.045000000000e+01,5.301800000000e+21
2.075000000000e+01,5.485200000000e+21
2.105000000000e+01,5.673100000000e+21
2.135000000000e+01,5.864200000000e+21
2.165000000000e+01,6.067900000000e+21
2.196000000000e+01,6.256400000000e+21
2.227000000000e+01,6.464800000000e+21
2.258000000000e+01,6.674600000000e+21
2.290000000000e+01,6.889000000000e+21
2.322000000000e+01,7.109700000000e+21
2.354000000000e+01,7.336400000000e+21
2.387000000000e+01,7.563100000000e+21
2.420000000000e+01,7.797700000000e+21
2.454000000000e+01,8.038900000000e+21
2.488000000000e+01,8.286200000000e+21
2.523000000000e+01,8.538400000000e+21
2.559000000000e+01,8.797700000000e+21
2.594000000000e+01,9.062300000000e+21
2.631000000000e+01,9.333000000000e+21
2.668000000000e+01,9.611800000000e+21
2.706000000000e+01,9.896300000000e+21
2.745000000000e+01,1.018510000000e+22
2.785000000000e+01,1.048230000000e+22
2.825000000000e+01,1.079220000000e+22
2.867000000000e+01,1.110580000000e+22
2.909000000000e+01,1.143970000000e+22
3.455000000000e+01,1.418580000000e+22
3.514000000000e+01,1.444400000000e+22
3.575000000000e+01,1.489300000000e+22
3.638000000000e+01,1.520990000000e+22
3.703000000000e+01,1.547330000000e+22
3.770000000000e+01,1.579990000000e+22
3.840000000000e+01,1.613560000000e+22
3.911000000000e+01,1.656070000000e+22
3.985000000000e+01,1.691720000000e+22
4.062000000000e+01,1.715710000000e+22
4.141000000000e+01,1.745670000000e+22
4.577000000000e+01,1.910490000000e+22
4.772000000000e+01,1.990730000000e+22
4.874000000000e+01,2.027490000000e+22
5.200000000000e+01,2.178910000000e+22
5.946000000000e+01,2.518190000000e+22
6.083000000000e+01,2.574410000000e+22
6.519000000000e+01,2.798260000000e+22
6.672000000000e+01,2.872650000000e+22
6.829000000000e+01,2.957390000000e+22
6.991000000000e+01,3.047020000000e+22
7.156000000000e+01,3.136440000000e+22
7.327000000000e+01,3.231140000000e+22
7.501000000000e+01,3.329610000000e+22
7.680000000000e+01,3.434100000000e+22
7.863000000000e+01,3.545440000000e+22
8.051000000000e+01,3.660440000000e+22
8.244000000000e+01,3.780950000000e+22
8.441000000000e+01,3.907950000000e+22
8.643000000000e+01,4.041430000000e+22
8.850000000000e+01,4.181670000000e+22
9.061000000000e+01,4.328570000000e+22
9.277000000000e+01,4.482960000000e+22
9.956000000000e+01,4.990520000000e+22
1.019300000000e+02,5.175090000000e+22
1.043500000000e+02,5.363140000000e+22
1.068100000000e+02,5.588800000000e+22
1.093400000000e+02,5.793270000000e+22
1.119100000000e+02,6.018750000000e+22
1.145400000000e+02,6.253540000000e+22
1.172200000000e+02,6.509160000000e+22
1.199600000000e+02,6.752950000000e+22
1.227600000000e+02,7.024430000000e+22
1.256100000000e+02,7.312130000000e+22
1.285200000000e+02,7.607950000000e+22
1.314900000000e+02,7.917980000000e+22
1.345100000000e+02,8.236750000000e+22
1.376000000000e+02,8.576440000000e+22
1.407400000000e+02,8.926350000000e+22
1.439500000000e+02,9.280000000000e+22
1.472200000000e+02,9.669430000000e+22
1.505600000000e+02,1.007650000000e+23
1.539600000000e+02,1.048790000000e+23
1.574200000000e+02,1.092140000000e+23
1.609600000000e+02,1.138160000000e+23
1.645600000000e+02,1.184460000000e+23
1.682300000000e+02,1.233450000000e+23
1.719700000000e+02,1.281840000000e+23
1.757800000000e+02,1.338550000000e+23
1.796700000000e+02,1.392690000000e+23
1.836300000000e+02,1.450340000000e+23
1.876700000000e+02,1.510230000000e+23
1.917900000000e+02,1.572620000000e+23
1.959800000000e+02,1.637900000000e+23
2.002600000000e+02,1.705190000000e+23
2.046300000000e+02,1.775720000000e+23
2.090700000000e+02,1.848980000000e+23
2.136100000000e+02,1.925430000000e+23
2.182300000000e+02,2.005210000000e+23
2.229500000000e+02,2.088140000000e+23
2.277500000000e+02,2.174810000000e+23
2.326600000000e+02,2.265150000000e+23
2.376500000000e+02,2.359300000000e+23
2.427500000000e+02,2.457550000000e+23
2.479500000000e+02,2.560090000000e+23
2.532500000000e+02,2.667120000000e+23
2.586500000000e+02,2.778910000000e+23
2.641600000000e+02,2.895480000000e+23
2.697700000000e+02,3.017460000000e+23
2.755000000000e+02,3.144930000000e+23
