# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_39bfb946e30f47468a44"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "12C(2P1/2)^+"
# neutral: "He"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 100 K"
# group_comment: "Ground State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland and T. G. Wright, Mol. Phys. 113 (2015) 3767-3782."
# source_family: "ground state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland and t. g. wright, mol. phys. 113 (2015) 3767-3782."
# comment: "Mi = 12, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-12-19 20:59:53"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_1382_neutral_8_37/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "b6022bacaf9b088078722ce15d5f0811f08d36dd56a68342d07e51a02083dc56"
reduced_electric_field_Td,reduced_transport_SI
1.000000000000e-02,4.869747520669e+22
5.000000000000e-02,4.869747520669e+22
2.100000000000e-01,4.869747520669e+22
3.700000000000e-01,4.869747520669e+22
6.400000000000e-01,4.870012685249e+22
9.000000000000e-01,4.870012685249e+22
1.250000000000e+00,4.870543014410e+22
1.510000000000e+00,4.870808178991e+22
1.810000000000e+00,4.871338508152e+22
2.080000000000e+00,4.871868837313e+22
2.390000000000e+00,4.872399166474e+22
2.750000000000e+00,4.873194660215e+22
3.160000000000e+00,4.874520483118e+22
3.470000000000e+00,4.875581141440e+22
3.820000000000e+00,4.876906964342e+22
4.010000000000e+00,4.877702458084e+22
4.210000000000e+00,4.878763116406e+22
4.420000000000e+00,4.879558610147e+22
4.640000000000e+00,4.880884433049e+22
4.870000000000e+00,4.882210255952e+22
5.110000000000e+00,4.883536078854e+22
5.360000000000e+00,4.885392230918e+22
5.630000000000e+00,4.887248382981e+22
5.910000000000e+00,4.889369699625e+22
6.200000000000e+00,4.891756180850e+22
6.510000000000e+00,4.894672991235e+22
6.640000000000e+00,4.895733649557e+22
6.770000000000e+00,4.897059472459e+22
6.900000000000e+00,4.898385295362e+22
7.180000000000e+00,4.900771776586e+22
7.320000000000e+00,4.902627928650e+22
7.460000000000e+00,4.904484080713e+22
7.610000000000e+00,4.906075068196e+22
7.760000000000e+00,4.908196384840e+22
7.910000000000e+00,4.910052536903e+22
8.070000000000e+00,4.912173853547e+22
8.230000000000e+00,4.914560334772e+22
8.390000000000e+00,4.917211980576e+22
8.550000000000e+00,4.919863626381e+22
8.720000000000e+00,4.921984943025e+22
8.890000000000e+00,4.925166917991e+22
9.060000000000e+00,4.927818563796e+22
9.240000000000e+00,4.931265703342e+22
9.420000000000e+00,4.934447678308e+22
9.600000000000e+00,4.937894817854e+22
9.980000000000e+00,4.946114919850e+22
1.017000000000e+01,4.950357553137e+22
1.036000000000e+01,4.955130515586e+22
1.056000000000e+01,4.959903478035e+22
1.097000000000e+01,4.968919073772e+22
1.118000000000e+01,4.976078517445e+22
1.139000000000e+01,4.982177302796e+22
1.161000000000e+01,4.988806417308e+22
1.183000000000e+01,4.995700696401e+22
1.205000000000e+01,5.003125304655e+22
1.227000000000e+01,5.010815077489e+22
1.249000000000e+01,5.019565508645e+22
