# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_8d3f2d3aa978bbc32a24"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "12C(2P1/2)^+"
# neutral: "He"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Ground State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland and T. G. Wright, Mol. Phys. 113 (2015) 3767-3782."
# source_family: "ground state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland and t. g. wright, mol. phys. 113 (2015) 3767-3782."
# comment: "Mi = 12, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-12-19 20:59:53"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_1382_neutral_8_37/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "b6022bacaf9b088078722ce15d5f0811f08d36dd56a68342d07e51a02083dc56"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,5.677173668256e+22
8.000000000000e-02,5.677173668256e+22
3.100000000000e-01,5.676908503676e+22
5.400000000000e-01,5.677703997417e+22
9.500000000000e-01,5.678764655739e+22
1.330000000000e+00,5.680355643222e+22
1.860000000000e+00,5.683802782768e+22
2.230000000000e+00,5.686984757734e+22
2.680000000000e+00,5.691492555602e+22
3.080000000000e+00,5.696000353471e+22
3.540000000000e+00,5.702099138822e+22
4.060000000000e+00,5.710054076237e+22
4.660000000000e+00,5.720660659456e+22
5.120000000000e+00,5.729941419773e+22
5.620000000000e+00,5.740813167573e+22
5.900000000000e+00,5.747442282085e+22
6.190000000000e+00,5.754601725759e+22
6.490000000000e+00,5.762556663173e+22
6.800000000000e+00,5.771041929749e+22
7.130000000000e+00,5.780853019227e+22
7.470000000000e+00,5.791194437866e+22
7.830000000000e+00,5.802861679408e+22
8.210000000000e+00,5.815589579271e+22
8.600000000000e+00,5.829643302037e+22
9.000000000000e+00,5.845022847705e+22
9.430000000000e+00,5.861993380856e+22
9.600000000000e+00,5.869417989110e+22
9.780000000000e+00,5.876842597364e+22
9.970000000000e+00,5.884797534778e+22
1.015000000000e+01,5.893017636774e+22
1.034000000000e+01,5.901502903349e+22
1.053000000000e+01,5.910253334505e+22
1.073000000000e+01,5.919534094822e+22
1.093000000000e+01,5.928814855140e+22
1.113000000000e+01,5.938360780037e+22
1.133000000000e+01,5.948967363257e+22
1.154000000000e+01,5.959573946476e+22
1.175000000000e+01,5.969915365115e+22
1.196000000000e+01,5.981582606657e+22
1.218000000000e+01,5.993249848198e+22
1.240000000000e+01,6.005182254320e+22
1.262000000000e+01,6.017379825023e+22
1.284000000000e+01,6.030903218628e+22
1.307000000000e+01,6.044426612232e+22
1.330000000000e+01,6.058215170418e+22
1.354000000000e+01,6.072799222345e+22
1.378000000000e+01,6.087383274272e+22
1.402000000000e+01,6.102762819940e+22
1.426000000000e+01,6.118407530189e+22
1.451000000000e+01,6.134582569599e+22
1.476000000000e+01,6.151022773589e+22
1.501000000000e+01,6.168258471321e+22
1.526000000000e+01,6.185759333633e+22
1.552000000000e+01,6.203525360525e+22
1.578000000000e+01,6.222086881160e+22
1.605000000000e+01,6.240913566374e+22
1.630000000000e+01,6.256823441204e+22
1.659000000000e+01,6.278832101384e+22
1.686000000000e+01,6.298719444921e+22
1.714000000000e+01,6.317811294716e+22
1.742000000000e+01,6.339819954897e+22
1.770000000000e+01,6.361033121336e+22
1.799000000000e+01,6.382776616936e+22
1.828000000000e+01,6.404785277116e+22
1.857000000000e+01,6.427059101877e+22
1.887000000000e+01,6.449863255799e+22
1.917000000000e+01,6.472402245141e+22
1.947000000000e+01,6.496532221965e+22
1.978000000000e+01,6.520397034209e+22
2.009000000000e+01,6.544261846453e+22
2.041000000000e+01,6.568656987858e+22
2.072000000000e+01,6.593317293843e+22
2.105000000000e+01,6.618507928990e+22
2.137000000000e+01,6.643698564136e+22
2.171000000000e+01,6.669154363863e+22
2.204000000000e+01,6.695140492751e+22
2.238000000000e+01,6.722452444541e+22
2.274000000000e+01,6.744461104722e+22
2.308000000000e+01,6.773894373156e+22
2.343000000000e+01,6.800410831205e+22
2.380000000000e+01,6.830374428800e+22
2.416000000000e+01,6.853708911883e+22
2.454000000000e+01,6.880755699093e+22
2.492000000000e+01,6.907802486303e+22
2.531000000000e+01,6.934849273512e+22
2.570000000000e+01,6.961630896142e+22
2.610000000000e+01,6.988677683352e+22
2.651000000000e+01,7.015459305981e+22
2.693000000000e+01,7.040384776547e+22
2.735000000000e+01,7.068227057498e+22
2.778000000000e+01,7.093152528064e+22
2.823000000000e+01,7.127358758947e+22
2.868000000000e+01,7.145124785840e+22
3.389000000000e+01,7.375022477123e+22
3.851000000000e+01,7.481353473899e+22
3.925000000000e+01,7.491429727958e+22
4.002000000000e+01,7.499649829953e+22
4.163000000000e+01,7.512642894397e+22
4.247000000000e+01,7.517415856845e+22
4.333000000000e+01,7.520332667231e+22
4.609000000000e+01,7.518211350587e+22
4.707000000000e+01,7.513438388138e+22
4.808000000000e+01,7.514233881880e+22
5.019000000000e+01,7.494346538343e+22
5.129000000000e+01,7.484800613445e+22
5.243000000000e+01,7.473928865645e+22
5.359000000000e+01,7.461466130362e+22
5.480000000000e+01,7.447942736757e+22
5.604000000000e+01,7.433093520250e+22
5.731000000000e+01,7.416918480840e+22
5.862000000000e+01,7.400213112270e+22
5.997000000000e+01,7.381916756216e+22
6.135000000000e+01,7.362559741840e+22
6.277000000000e+01,7.342142069143e+22
6.424000000000e+01,7.321194067284e+22
6.574000000000e+01,7.299715736264e+22
6.728000000000e+01,7.277707076084e+22
6.886000000000e+01,7.254107428420e+22
7.215000000000e+01,7.206642968513e+22
7.386000000000e+01,7.182247827108e+22
7.562000000000e+01,7.157322356542e+22
7.741000000000e+01,7.132131721396e+22
7.926000000000e+01,7.106941086249e+22
8.114000000000e+01,7.081220121942e+22
8.308000000000e+01,7.055764322215e+22
8.506000000000e+01,7.029513028747e+22
8.708000000000e+01,7.005117887342e+22
8.916000000000e+01,6.978071100132e+22
9.128000000000e+01,6.952350135825e+22
9.345000000000e+01,6.926894336098e+22
9.567000000000e+01,6.901438536371e+22
9.794000000000e+01,6.875982736644e+22
1.002700000000e+02,6.851057266078e+22
1.026400000000e+02,6.826396960093e+22
1.050600000000e+02,6.801736654107e+22
1.075400000000e+02,6.777606677283e+22
1.100700000000e+02,6.753741865039e+22
1.126500000000e+02,6.730407381956e+22
1.152900000000e+02,6.707603228034e+22
1.179800000000e+02,6.684799074112e+22
1.207300000000e+02,6.663320743092e+22
1.235400000000e+02,6.640781753751e+22
1.264000000000e+02,6.619568587312e+22
1.293100000000e+02,6.598620585453e+22
1.322900000000e+02,6.578202912756e+22
1.353300000000e+02,6.558315569219e+22
1.384300000000e+02,6.538693390263e+22
1.415800000000e+02,6.520131869629e+22
1.448000000000e+02,6.501305184414e+22
1.480900000000e+02,6.483539157521e+22
1.514300000000e+02,6.465773130628e+22
1.548400000000e+02,6.448537432897e+22
1.583200000000e+02,6.432097228906e+22
1.618700000000e+02,6.415922189497e+22
1.654800000000e+02,6.400277479248e+22
1.691600000000e+02,6.384897933580e+22
1.729200000000e+02,6.370048717072e+22
1.767500000000e+02,6.355994994306e+22
1.806500000000e+02,6.342206436121e+22
1.846300000000e+02,6.328417877936e+22
1.886800000000e+02,6.315424813492e+22
1.928200000000e+02,6.302696913628e+22
1.970300000000e+02,6.290234178345e+22
2.013300000000e+02,6.278301772223e+22
2.057100000000e+02,6.266899695262e+22
2.101800000000e+02,6.255762782882e+22
2.147300000000e+02,6.244891035082e+22
2.193800000000e+02,6.234284451862e+22
2.241100000000e+02,6.224208197804e+22
2.289400000000e+02,6.214397108326e+22
2.338600000000e+02,6.204851183428e+22
2.388800000000e+02,6.195570423111e+22
2.440000000000e+02,6.186554827374e+22
2.492200000000e+02,6.177804396218e+22
2.545400000000e+02,6.169584294223e+22
2.599700000000e+02,6.161364192228e+22
2.655000000000e+02,6.153409254813e+22
2.711400000000e+02,6.145984646560e+22
2.768900000000e+02,6.138560038306e+22
