# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_c776e0d4252a031a7282"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "12C(2P3/2)^+"
# neutral: "He"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "Excited State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland and T. G. Wright, Mol. Phys. 113 (2015) 3767-3782."
# source_family: "excited state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland and t. g. wright, mol. phys. 113 (2015) 3767-3782."
# comment: "Mi = 12, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-12-19 21:02:47"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_1383_neutral_8_37/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "c1d2fec8814fb4879fd998fef84cc94a295f31332325d6e53a98a519a38a3b42"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,1.002900000000e+21
6.000000000000e-02,1.003000000000e+21
2.500000000000e-01,1.003300000000e+21
4.400000000000e-01,1.003900000000e+21
7.700000000000e-01,1.006000000000e+21
1.070000000000e+00,1.008800000000e+21
1.500000000000e+00,1.014600000000e+21
1.800000000000e+00,1.019500000000e+21
2.160000000000e+00,1.027200000000e+21
2.490000000000e+00,1.035100000000e+21
2.860000000000e+00,1.045600000000e+21
3.290000000000e+00,1.058800000000e+21
3.770000000000e+00,1.078200000000e+21
4.150000000000e+00,1.094300000000e+21
4.560000000000e+00,1.114000000000e+21
4.780000000000e+00,1.125600000000e+21
5.020000000000e+00,1.138500000000e+21
5.270000000000e+00,1.152800000000e+21
5.530000000000e+00,1.168700000000e+21
5.800000000000e+00,1.186300000000e+21
6.080000000000e+00,1.205800000000e+21
6.380000000000e+00,1.227400000000e+21
6.690000000000e+00,1.251500000000e+21
7.020000000000e+00,1.278200000000e+21
7.360000000000e+00,1.307900000000e+21
7.710000000000e+00,1.341000000000e+21
7.860000000000e+00,1.355400000000e+21
8.020000000000e+00,1.370400000000e+21
8.170000000000e+00,1.386200000000e+21
8.330000000000e+00,1.402600000000e+21
8.490000000000e+00,1.419800000000e+21
8.650000000000e+00,1.437800000000e+21
8.820000000000e+00,1.456500000000e+21
8.990000000000e+00,1.476100000000e+21
9.160000000000e+00,1.496600000000e+21
9.330000000000e+00,1.517900000000e+21
9.510000000000e+00,1.539900000000e+21
9.690000000000e+00,1.563200000000e+21
9.880000000000e+00,1.587500000000e+21
1.006000000000e+01,1.613000000000e+21
1.026000000000e+01,1.639600000000e+21
1.045000000000e+01,1.667100000000e+21
1.064000000000e+01,1.695900000000e+21
1.085000000000e+01,1.726000000000e+21
1.105000000000e+01,1.757500000000e+21
1.126000000000e+01,1.790400000000e+21
1.147000000000e+01,1.824300000000e+21
1.168000000000e+01,1.860300000000e+21
1.190000000000e+01,1.897700000000e+21
1.212000000000e+01,1.936500000000e+21
1.234000000000e+01,1.977600000000e+21
1.257000000000e+01,2.019400000000e+21
1.281000000000e+01,2.063500000000e+21
1.305000000000e+01,2.111100000000e+21
1.328000000000e+01,2.157500000000e+21
1.354000000000e+01,2.210400000000e+21
1.377000000000e+01,2.258400000000e+21
1.402000000000e+01,2.312000000000e+21
1.428000000000e+01,2.367800000000e+21
1.454000000000e+01,2.425800000000e+21
1.480000000000e+01,2.485800000000e+21
1.507000000000e+01,2.549700000000e+21
1.534000000000e+01,2.614400000000e+21
1.562000000000e+01,2.681400000000e+21
1.590000000000e+01,2.750800000000e+21
1.619000000000e+01,2.822500000000e+21
1.648000000000e+01,2.896500000000e+21
1.677000000000e+01,2.973100000000e+21
1.707000000000e+01,3.051900000000e+21
1.737000000000e+01,3.133200000000e+21
1.768000000000e+01,3.216400000000e+21
1.800000000000e+01,3.303100000000e+21
1.832000000000e+01,3.391700000000e+21
1.864000000000e+01,3.481900000000e+21
1.897000000000e+01,3.575000000000e+21
1.930000000000e+01,3.651900000000e+21
1.965000000000e+01,3.743600000000e+21
2.000000000000e+01,3.841600000000e+21
2.036000000000e+01,3.941900000000e+21
2.072000000000e+01,4.044500000000e+21
2.109000000000e+01,4.150200000000e+21
2.146000000000e+01,4.257200000000e+21
2.184000000000e+01,4.367800000000e+21
2.223000000000e+01,4.482300000000e+21
2.263000000000e+01,4.619100000000e+21
2.304000000000e+01,4.716700000000e+21
2.346000000000e+01,4.829200000000e+21
2.388000000000e+01,4.932800000000e+21
2.431000000000e+01,5.068300000000e+21
2.476000000000e+01,5.186300000000e+21
2.521000000000e+01,5.257900000000e+21
2.568000000000e+01,5.430800000000e+21
2.616000000000e+01,5.584300000000e+21
2.664000000000e+01,5.699000000000e+21
2.715000000000e+01,5.828500000000e+21
2.766000000000e+01,5.968800000000e+21
2.819000000000e+01,6.122100000000e+21
3.105000000000e+01,6.829100000000e+21
3.231000000000e+01,7.123700000000e+21
3.738000000000e+01,8.073700000000e+21
4.269000000000e+01,8.978100000000e+21
4.368000000000e+01,9.160300000000e+21
4.469000000000e+01,9.348800000000e+21
4.575000000000e+01,9.556500000000e+21
4.683000000000e+01,9.741400000000e+21
4.795000000000e+01,9.965500000000e+21
4.910000000000e+01,1.016400000000e+22
5.029000000000e+01,1.036880000000e+22
5.152000000000e+01,1.060280000000e+22
5.279000000000e+01,1.084280000000e+22
5.410000000000e+01,1.108570000000e+22
5.683000000000e+01,1.159830000000e+22
5.827000000000e+01,1.186890000000e+22
6.283000000000e+01,1.264740000000e+22
6.445000000000e+01,1.294030000000e+22
