# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_6f8c6bbc4a0ee14d6daa"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "13C(2P3/2)^+"
# neutral: "He"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 100 K"
# group_comment: "Excited State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland and T. G. Wright, Mol. Phys. 113 (2015) 3767-3782."
# source_family: "excited state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland and t. g. wright, mol. phys. 113 (2015) 3767-3782."
# comment: "Mi = 13.0034, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-12-19 21:21:39"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13997_neutral_8_37/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "2a52061572d0de8930f2106367b825aeaf045949efdfa73913384c5dee34527b"
reduced_electric_field_Td,reduced_transport_SI
1.000000000000e-02,4.591000000000e+20
5.000000000000e-02,4.592000000000e+20
1.900000000000e-01,4.593000000000e+20
3.400000000000e-01,4.597000000000e+20
5.900000000000e-01,4.606000000000e+20
8.300000000000e-01,4.619000000000e+20
1.160000000000e+00,4.642000000000e+20
1.390000000000e+00,4.667000000000e+20
1.670000000000e+00,4.700000000000e+20
1.920000000000e+00,4.735000000000e+20
2.210000000000e+00,4.782000000000e+20
2.540000000000e+00,4.844000000000e+20
2.920000000000e+00,4.926000000000e+20
3.210000000000e+00,4.997000000000e+20
3.530000000000e+00,5.083000000000e+20
3.700000000000e+00,5.135000000000e+20
3.880000000000e+00,5.191000000000e+20
4.080000000000e+00,5.254000000000e+20
4.280000000000e+00,5.324000000000e+20
4.490000000000e+00,5.401000000000e+20
4.710000000000e+00,5.487000000000e+20
4.940000000000e+00,5.582000000000e+20
5.190000000000e+00,5.687000000000e+20
5.440000000000e+00,5.804000000000e+20
5.710000000000e+00,5.934000000000e+20
5.990000000000e+00,6.079000000000e+20
6.110000000000e+00,6.142000000000e+20
6.220000000000e+00,6.208000000000e+20
6.350000000000e+00,6.277000000000e+20
6.470000000000e+00,6.349000000000e+20
6.600000000000e+00,6.424000000000e+20
6.860000000000e+00,6.587000000000e+20
6.990000000000e+00,6.674000000000e+20
7.120000000000e+00,6.763000000000e+20
7.260000000000e+00,6.857000000000e+20
7.400000000000e+00,6.954000000000e+20
7.540000000000e+00,7.058000000000e+20
7.690000000000e+00,7.166000000000e+20
7.840000000000e+00,7.279000000000e+20
7.990000000000e+00,7.397000000000e+20
8.140000000000e+00,7.521000000000e+20
8.300000000000e+00,7.651000000000e+20
8.460000000000e+00,7.787000000000e+20
8.620000000000e+00,7.930000000000e+20
8.780000000000e+00,8.080000000000e+20
8.950000000000e+00,8.237000000000e+20
9.120000000000e+00,8.401000000000e+20
9.290000000000e+00,8.574000000000e+20
1.002000000000e+01,9.351000000000e+20
1.020000000000e+01,9.571000000000e+20
1.039000000000e+01,9.801000000000e+20
1.059000000000e+01,1.004200000000e+21
1.079000000000e+01,1.029600000000e+21
1.099000000000e+01,1.056500000000e+21
1.119000000000e+01,1.084300000000e+21
1.140000000000e+01,1.113700000000e+21
1.161000000000e+01,1.144600000000e+21
1.182000000000e+01,1.177000000000e+21
1.203000000000e+01,1.211000000000e+21
1.225000000000e+01,1.246700000000e+21
1.248000000000e+01,1.284200000000e+21
1.270000000000e+01,1.323600000000e+21
1.293000000000e+01,1.364700000000e+21
1.316000000000e+01,1.407900000000e+21
1.340000000000e+01,1.454400000000e+21
1.364000000000e+01,1.500400000000e+21
1.388000000000e+01,1.550600000000e+21
1.412000000000e+01,1.602800000000e+21
1.437000000000e+01,1.657400000000e+21
1.461000000000e+01,1.719600000000e+21
1.488000000000e+01,1.783500000000e+21
1.514000000000e+01,1.845900000000e+21
1.540000000000e+01,1.911100000000e+21
1.566000000000e+01,1.978900000000e+21
1.593000000000e+01,2.049400000000e+21
1.620000000000e+01,2.122300000000e+21
1.648000000000e+01,2.197900000000e+21
1.676000000000e+01,2.278700000000e+21
1.704000000000e+01,2.356500000000e+21
1.733000000000e+01,2.440000000000e+21
1.762000000000e+01,2.525900000000e+21
1.791000000000e+01,2.612600000000e+21
1.821000000000e+01,2.704700000000e+21
1.851000000000e+01,2.798200000000e+21
1.881000000000e+01,2.892900000000e+21
1.912000000000e+01,2.990800000000e+21
