# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_9e1f88cfbc026648d8c9"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "13C(2P3/2)^+"
# neutral: "He"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "Excited State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland and T. G. Wright, Mol. Phys. 113 (2015) 3767-3782."
# source_family: "excited state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland and t. g. wright, mol. phys. 113 (2015) 3767-3782."
# comment: "Mi = 13.0034, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-12-19 21:21:39"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13997_neutral_8_37/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "73ac943f981349caba052dd07dbd7b3fa491756f9de310732b4b9f369c2ec329"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,6.230041818574e+22
8.000000000000e-02,6.230041818574e+22
3.300000000000e-01,6.230306983155e+22
5.700000000000e-01,6.230306983155e+22
1.000000000000e+00,6.230837312316e+22
1.400000000000e+00,6.231632806057e+22
1.960000000000e+00,6.233223793540e+22
2.350000000000e+00,6.234814781023e+22
2.820000000000e+00,6.236670933087e+22
3.240000000000e+00,6.238792249730e+22
3.730000000000e+00,6.241443895535e+22
4.290000000000e+00,6.245156199662e+22
4.920000000000e+00,6.249663997530e+22
5.410000000000e+00,6.253641466238e+22
5.950000000000e+00,6.258414428687e+22
6.250000000000e+00,6.261066074491e+22
6.550000000000e+00,6.264248049457e+22
6.880000000000e+00,6.267430024423e+22
7.220000000000e+00,6.270877163970e+22
7.580000000000e+00,6.274854632677e+22
7.950000000000e+00,6.278832101384e+22
8.340000000000e+00,6.283339899252e+22
8.750000000000e+00,6.288378026282e+22
9.180000000000e+00,6.293150988731e+22
9.630000000000e+00,6.298189115760e+22
1.010000000000e+01,6.304818230272e+22
1.030000000000e+01,6.307469876077e+22
1.050000000000e+01,6.309856357301e+22
1.071000000000e+01,6.312773167687e+22
1.092000000000e+01,6.315689978072e+22
1.113000000000e+01,6.318341623877e+22
1.135000000000e+01,6.320993269682e+22
1.157000000000e+01,6.323644915487e+22
1.179000000000e+01,6.327092055033e+22
1.202000000000e+01,6.330274029999e+22
1.226000000000e+01,6.333456004965e+22
1.249000000000e+01,6.336637979931e+22
1.274000000000e+01,6.339819954897e+22
1.298000000000e+01,6.343267094443e+22
1.324000000000e+01,6.346449069409e+22
1.349000000000e+01,6.349365879794e+22
1.376000000000e+01,6.352282690179e+22
1.402000000000e+01,6.356790488048e+22
1.429000000000e+01,6.359972463014e+22
1.457000000000e+01,6.363419602560e+22
1.486000000000e+01,6.366071248365e+22
1.514000000000e+01,6.371109375394e+22
1.544000000000e+01,6.371639704555e+22
1.573000000000e+01,6.378533983648e+22
1.604000000000e+01,6.381981123194e+22
1.635000000000e+01,6.385693427321e+22
1.666000000000e+01,6.389140566867e+22
1.699000000000e+01,6.392852870994e+22
1.732000000000e+01,6.396300010541e+22
1.765000000000e+01,6.399747150087e+22
1.799000000000e+01,6.403194289633e+22
1.834000000000e+01,6.406641429180e+22
1.870000000000e+01,6.409823404145e+22
1.906000000000e+01,6.413005379111e+22
1.943000000000e+01,6.416187354077e+22
1.981000000000e+01,6.419104164463e+22
2.019000000000e+01,6.421755810267e+22
2.059000000000e+01,6.424407456072e+22
2.099000000000e+01,6.426793937297e+22
2.140000000000e+01,6.429180418521e+22
2.182000000000e+01,6.431036570585e+22
2.224000000000e+01,6.432892722648e+22
2.268000000000e+01,6.434483710131e+22
2.313000000000e+01,6.436074697614e+22
