# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_87c0e43fac0f70691e26"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "13C(4P1/2)^+"
# neutral: "He"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 500 K"
# group_comment: "4P1/2 State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland and T. G. Wright, Mol. Phys. 113 (2015) 3767-3782."
# source_family: "4p1/2 state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland and t. g. wright, mol. phys. 113 (2015) 3767-3782."
# comment: "Mi = 13.0034, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-12-19 21:23:39"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_011_14000_14000/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "7a02338f600be06e845dcf40e15cd119f0ac43425f3db6d1bac2b517b4698de2"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,1.752200000000e+21
1.400000000000e-01,1.752200000000e+21
5.700000000000e-01,1.752600000000e+21
9.900000000000e-01,1.753400000000e+21
1.740000000000e+00,1.756100000000e+21
2.430000000000e+00,1.759900000000e+21
3.410000000000e+00,1.767300000000e+21
4.090000000000e+00,1.774000000000e+21
4.910000000000e+00,1.783500000000e+21
5.650000000000e+00,1.793500000000e+21
6.500000000000e+00,1.806700000000e+21
7.480000000000e+00,1.824000000000e+21
8.610000000000e+00,1.846800000000e+21
9.480000000000e+00,1.866200000000e+21
1.044000000000e+01,1.889400000000e+21
1.097000000000e+01,1.903100000000e+21
1.153000000000e+01,1.918000000000e+21
1.211000000000e+01,1.934400000000e+21
1.273000000000e+01,1.952400000000e+21
1.337000000000e+01,1.972000000000e+21
1.406000000000e+01,1.993600000000e+21
1.478000000000e+01,2.017100000000e+21
1.553000000000e+01,2.042800000000e+21
1.633000000000e+01,2.070900000000e+21
1.717000000000e+01,2.101600000000e+21
1.806000000000e+01,2.135300000000e+21
1.844000000000e+01,2.149900000000e+21
1.882000000000e+01,2.164600000000e+21
1.921000000000e+01,2.180100000000e+21
1.960000000000e+01,2.196000000000e+21
2.001000000000e+01,2.212600000000e+21
2.043000000000e+01,2.229800000000e+21
2.085000000000e+01,2.247600000000e+21
2.129000000000e+01,2.266000000000e+21
2.174000000000e+01,2.285100000000e+21
2.219000000000e+01,2.304800000000e+21
2.266000000000e+01,2.325300000000e+21
2.314000000000e+01,2.346700000000e+21
2.362000000000e+01,2.368300000000e+21
2.412000000000e+01,2.391000000000e+21
2.463000000000e+01,2.414700000000e+21
2.515000000000e+01,2.438700000000e+21
2.568000000000e+01,2.463500000000e+21
2.623000000000e+01,2.489500000000e+21
2.678000000000e+01,2.516200000000e+21
2.735000000000e+01,2.543900000000e+21
2.794000000000e+01,2.572500000000e+21
2.854000000000e+01,2.602100000000e+21
2.915000000000e+01,2.632700000000e+21
2.978000000000e+01,2.664400000000e+21
3.042000000000e+01,2.697100000000e+21
3.107000000000e+01,2.730900000000e+21
3.175000000000e+01,2.765800000000e+21
3.243000000000e+01,2.801900000000e+21
3.314000000000e+01,2.839600000000e+21
3.386000000000e+01,2.877900000000e+21
3.460000000000e+01,2.917800000000e+21
3.536000000000e+01,2.959100000000e+21
3.613000000000e+01,3.001700000000e+21
3.693000000000e+01,3.045800000000e+21
3.774000000000e+01,3.091400000000e+21
3.858000000000e+01,3.138600000000e+21
3.943000000000e+01,3.187300000000e+21
4.031000000000e+01,3.237600000000e+21
4.121000000000e+01,3.289800000000e+21
4.213000000000e+01,3.343600000000e+21
4.307000000000e+01,3.399300000000e+21
4.404000000000e+01,3.457000000000e+21
4.503000000000e+01,3.516600000000e+21
