# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_15546c74d95a39fe4de0"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "14N16O+(v=0)"
# neutral: "He"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "Ab Initio Potential (shifted) of Orek, Klos et al., J. Chem. Phys. 144 (2016) 204303. The calculations were made with the Monchick-Mason Approximation, as discussed by Viehland et al. (2021)."
# source_family: "ab initio potential (shifted) of orek, klos et al., j. chem. phys. 144 (2016) 204303. the calculations were made with the monchick-mason approximation, as discussed by viehland et al. (2021)."
# comment: "Mi = 29.998, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-04-28 14:44:57"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13988_neutral_8_37/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "358b503bd8b0f7883831e732e25da5a7343862559481a347c48fae6c218d737f"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,5.519135578285e+22
6.000000000000e-02,5.519135578285e+22
1.400000000000e-01,5.519135578285e+22
3.600000000000e-01,5.519135578285e+22
5.400000000000e-01,5.519135578285e+22
8.100000000000e-01,5.519135578285e+22
1.220000000000e+00,5.518870413705e+22
1.460000000000e+00,5.518605249124e+22
1.750000000000e+00,5.518340084544e+22
2.010000000000e+00,5.518074919963e+22
2.320000000000e+00,5.517809755383e+22
2.660000000000e+00,5.517279426222e+22
3.060000000000e+00,5.516483932480e+22
3.370000000000e+00,5.515953603319e+22
3.710000000000e+00,5.515423274158e+22
4.080000000000e+00,5.515423274158e+22
4.490000000000e+00,5.514362615836e+22
4.940000000000e+00,5.513036792934e+22
5.430000000000e+00,5.511445805451e+22
5.700000000000e+00,5.510650311709e+22
5.990000000000e+00,5.508794159646e+22
6.290000000000e+00,5.507733501324e+22
6.610000000000e+00,5.506407678422e+22
6.940000000000e+00,5.505081855519e+22
7.110000000000e+00,5.504551526358e+22
7.290000000000e+00,5.503490868036e+22
7.480000000000e+00,5.503490868036e+22
7.670000000000e+00,5.501634715973e+22
7.860000000000e+00,5.501369551392e+22
8.060000000000e+00,5.499513399329e+22
8.260000000000e+00,5.498983070168e+22
8.470000000000e+00,5.497922411846e+22
8.680000000000e+00,5.497657247265e+22
8.900000000000e+00,5.496596588943e+22
9.130000000000e+00,5.493414613978e+22
9.350000000000e+00,5.492619120236e+22
9.590000000000e+00,5.490232639012e+22
9.840000000000e+00,5.488641651529e+22
1.008000000000e+01,5.486785499465e+22
1.034000000000e+01,5.485724841143e+22
1.060000000000e+01,5.483073195339e+22
1.087000000000e+01,5.483073195339e+22
1.114000000000e+01,5.480421549534e+22
1.143000000000e+01,5.478300232890e+22
1.172000000000e+01,5.476709245407e+22
1.190000000000e+01,5.473262105861e+22
1.208000000000e+01,5.471671118378e+22
1.226000000000e+01,5.471936282958e+22
1.245000000000e+01,5.469814966314e+22
1.264000000000e+01,5.468754307992e+22
1.284000000000e+01,5.465042003865e+22
1.303000000000e+01,5.465572333026e+22
1.323000000000e+01,5.462655522641e+22
1.345000000000e+01,5.456291572709e+22
1.367000000000e+01,5.448866964456e+22
1.385000000000e+01,5.456026408129e+22
1.406000000000e+01,5.455496078968e+22
1.428000000000e+01,5.453374762324e+22
1.450000000000e+01,5.451253445680e+22
1.472000000000e+01,5.448866964456e+22
1.495000000000e+01,5.446215318651e+22
1.518000000000e+01,5.443828837426e+22
1.542000000000e+01,5.441177191621e+22
1.566000000000e+01,5.438525545817e+22
1.590000000000e+01,5.435608735431e+22
1.615000000000e+01,5.432691925046e+22
1.640000000000e+01,5.429775114660e+22
1.665000000000e+01,5.426593139695e+22
1.691000000000e+01,5.423411164729e+22
1.718000000000e+01,5.420229189763e+22
1.745000000000e+01,5.416782050216e+22
1.772000000000e+01,5.413069746090e+22
1.800000000000e+01,5.409357441963e+22
2.009000000000e+01,5.379924173529e+22
2.107000000000e+01,5.364809792441e+22
2.140000000000e+01,5.359506500831e+22
2.175000000000e+01,5.353938044641e+22
2.210000000000e+01,5.348104423870e+22
2.246000000000e+01,5.342270803099e+22
2.282000000000e+01,5.336172017748e+22
2.319000000000e+01,5.329808067816e+22
2.357000000000e+01,5.323178953304e+22
2.395000000000e+01,5.316549838792e+22
2.435000000000e+01,5.309390395119e+22
2.475000000000e+01,5.302230951446e+22
2.515000000000e+01,5.294806343192e+22
2.557000000000e+01,5.287116570358e+22
2.599000000000e+01,5.279161632943e+22
2.642000000000e+01,5.270941530948e+22
2.686000000000e+01,5.262456264372e+22
2.731000000000e+01,5.253705833216e+22
2.777000000000e+01,5.244690237480e+22
2.872000000000e+01,5.226393881426e+22
2.921000000000e+01,5.216317627367e+22
2.970000000000e+01,5.206241373309e+22
3.022000000000e+01,5.195104460928e+22
3.073000000000e+01,5.185293371450e+22
3.126000000000e+01,5.174156459070e+22
3.180000000000e+01,5.163019546689e+22
3.350000000000e+01,5.126957163743e+22
3.409000000000e+01,5.114229263879e+22
3.469000000000e+01,5.100971034855e+22
3.531000000000e+01,5.087712805830e+22
3.594000000000e+01,5.074189412226e+22
3.658000000000e+01,5.059870524879e+22
3.724000000000e+01,5.046081966694e+22
3.861000000000e+01,5.015588039938e+22
3.931000000000e+01,5.000473658850e+22
4.153000000000e+01,4.950887882298e+22
4.231000000000e+01,4.934182513728e+22
4.310000000000e+01,4.916681651415e+22
4.560000000000e+01,4.861792583254e+22
4.737000000000e+01,4.823343719084e+22
4.828000000000e+01,4.803191210966e+22
4.923000000000e+01,4.782773538269e+22
5.019000000000e+01,4.762090700991e+22
5.118000000000e+01,4.740877534552e+22
5.219000000000e+01,4.719399203532e+22
5.323000000000e+01,4.697390543352e+22
5.430000000000e+01,4.675116718591e+22
5.539000000000e+01,4.652312564669e+22
5.652000000000e+01,4.628978081586e+22
5.767000000000e+01,4.605378433922e+22
5.886000000000e+01,4.581248457098e+22
6.007000000000e+01,4.556588151112e+22
6.261000000000e+01,4.506206880819e+22
6.393000000000e+01,4.480220751932e+22
6.529000000000e+01,4.453969458463e+22
6.668000000000e+01,4.427187835834e+22
6.811000000000e+01,4.399875884044e+22
6.959000000000e+01,4.372563932253e+22
7.110000000000e+01,4.347903626268e+22
7.266000000000e+01,4.318470357834e+22
7.427000000000e+01,4.289567418560e+22
7.592000000000e+01,4.262520631351e+22
7.762000000000e+01,4.242898452394e+22
7.940000000000e+01,4.197555309131e+22
8.117000000000e+01,4.168122040697e+22
8.302000000000e+01,4.137362949360e+22
8.493000000000e+01,4.106338693443e+22
8.690000000000e+01,4.074253779204e+22
8.894000000000e+01,4.041638535804e+22
9.103000000000e+01,4.009288456984e+22
9.319000000000e+01,3.976673213584e+22
9.542000000000e+01,3.943262476443e+22
9.772000000000e+01,3.908791080979e+22
1.000900000000e+02,3.875645508418e+22
1.025300000000e+02,3.840378619213e+22
1.050600000000e+02,3.805642059169e+22
1.076600000000e+02,3.770375169964e+22
1.103500000000e+02,3.734577951598e+22
1.131100000000e+02,3.699311062393e+22
1.159700000000e+02,3.662983514866e+22
1.189100000000e+02,3.626921131920e+22
1.219700000000e+02,3.590063255232e+22
1.251000000000e+02,3.553470543125e+22
1.283600000000e+02,3.516347501856e+22
1.317000000000e+02,3.479224460588e+22
1.352000000000e+02,3.440775596417e+22
1.387100000000e+02,3.404713213471e+22
1.423900000000e+02,3.367325007622e+22
1.461900000000e+02,3.329671637193e+22
1.498700000000e+02,3.295730570890e+22
1.541800000000e+02,3.253569402592e+22
1.583300000000e+02,3.216446361324e+22
1.625900000000e+02,3.179588484636e+22
1.670300000000e+02,3.141935114207e+22
1.763500000000e+02,3.066628373348e+22
1.812300000000e+02,3.029240167499e+22
1.862600000000e+02,2.991851961650e+22
1.914500000000e+02,2.954463755801e+22
1.968100000000e+02,2.917340714533e+22
2.393100000000e+02,2.663313046425e+22
3.274600000000e+02,2.292639479361e+22
