# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_59e773543210e6175421"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "14N16O+(v=0)"
# neutral: "He"
# gas_temperature_K: 77.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 77 K"
# group_comment: "Ab Initio Potential (shifted) of Orek, Klos et al., J. Chem. Phys. 144 (2016) 204303. The calculations were made with the Monchick-Mason Approximation, as discussed by Viehland et al. (2021)."
# source_family: "ab initio potential (shifted) of orek, klos et al., j. chem. phys. 144 (2016) 204303. the calculations were made with the monchick-mason approximation, as discussed by viehland et al. (2021)."
# comment: "Mi = 29.998, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-04-28 14:44:57"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13988_neutral_8_37/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "3db74fd0de2415f6377dfeb822d3b4fc7874f1b24d380c352d4192cc4e43336c"
reduced_electric_field_Td,reduced_transport_SI
1.000000000000e-02,3.243000000000e+20
5.000000000000e-02,3.243000000000e+20
1.900000000000e-01,3.244000000000e+20
3.200000000000e-01,3.245000000000e+20
5.700000000000e-01,3.253000000000e+20
7.900000000000e-01,3.262000000000e+20
1.110000000000e+00,3.280000000000e+20
1.330000000000e+00,3.297000000000e+20
1.600000000000e+00,3.320000000000e+20
1.840000000000e+00,3.345000000000e+20
2.110000000000e+00,3.378000000000e+20
2.430000000000e+00,3.422000000000e+20
2.790000000000e+00,3.481000000000e+20
3.070000000000e+00,3.531000000000e+20
3.370000000000e+00,3.593000000000e+20
3.540000000000e+00,3.629000000000e+20
3.720000000000e+00,3.670000000000e+20
3.900000000000e+00,3.715000000000e+20
4.090000000000e+00,3.764000000000e+20
4.300000000000e+00,3.819000000000e+20
4.510000000000e+00,3.880000000000e+20
4.730000000000e+00,3.948000000000e+20
4.960000000000e+00,4.023000000000e+20
5.210000000000e+00,4.107000000000e+20
5.460000000000e+00,4.200000000000e+20
5.730000000000e+00,4.303000000000e+20
5.840000000000e+00,4.349000000000e+20
5.950000000000e+00,4.396000000000e+20
6.070000000000e+00,4.445000000000e+20
6.190000000000e+00,4.497000000000e+20
6.310000000000e+00,4.551000000000e+20
6.430000000000e+00,4.608000000000e+20
6.550000000000e+00,4.667000000000e+20
6.680000000000e+00,4.729000000000e+20
6.810000000000e+00,4.794000000000e+20
6.940000000000e+00,4.861000000000e+20
7.080000000000e+00,4.932000000000e+20
7.210000000000e+00,5.006000000000e+20
7.350000000000e+00,5.084000000000e+20
7.490000000000e+00,5.166000000000e+20
7.640000000000e+00,5.252000000000e+20
7.780000000000e+00,5.341000000000e+20
7.930000000000e+00,5.434000000000e+20
8.080000000000e+00,5.534000000000e+20
8.240000000000e+00,5.636000000000e+20
8.390000000000e+00,5.744000000000e+20
8.550000000000e+00,5.859000000000e+20
9.050000000000e+00,6.233000000000e+20
9.220000000000e+00,6.369000000000e+20
9.390000000000e+00,6.515000000000e+20
9.570000000000e+00,6.666000000000e+20
9.740000000000e+00,6.823000000000e+20
9.920000000000e+00,6.990000000000e+20
1.011000000000e+01,7.165000000000e+20
1.029000000000e+01,7.349000000000e+20
1.048000000000e+01,7.542000000000e+20
1.067000000000e+01,7.745000000000e+20
1.087000000000e+01,7.957000000000e+20
1.107000000000e+01,8.180000000000e+20
1.127000000000e+01,8.414000000000e+20
1.147000000000e+01,8.660000000000e+20
1.168000000000e+01,8.918000000000e+20
1.189000000000e+01,9.187000000000e+20
1.211000000000e+01,9.471000000000e+20
1.232000000000e+01,9.767000000000e+20
1.254000000000e+01,1.007800000000e+21
1.276000000000e+01,1.040500000000e+21
1.299000000000e+01,1.074600000000e+21
1.322000000000e+01,1.109300000000e+21
1.345000000000e+01,1.146100000000e+21
1.368000000000e+01,1.184600000000e+21
1.392000000000e+01,1.224400000000e+21
1.416000000000e+01,1.265700000000e+21
1.441000000000e+01,1.308700000000e+21
1.466000000000e+01,1.353200000000e+21
1.491000000000e+01,1.397800000000e+21
1.517000000000e+01,1.445300000000e+21
1.543000000000e+01,1.494300000000e+21
1.569000000000e+01,1.546300000000e+21
1.595000000000e+01,1.597600000000e+21
1.622000000000e+01,1.650700000000e+21
1.650000000000e+01,1.705700000000e+21
1.677000000000e+01,1.755600000000e+21
1.706000000000e+01,1.822200000000e+21
1.735000000000e+01,1.878300000000e+21
1.765000000000e+01,1.927200000000e+21
1.794000000000e+01,1.997900000000e+21
1.825000000000e+01,2.047800000000e+21
1.857000000000e+01,2.102400000000e+21
1.888000000000e+01,2.169600000000e+21
1.920000000000e+01,2.226100000000e+21
1.953000000000e+01,2.288100000000e+21
1.987000000000e+01,2.351000000000e+21
2.021000000000e+01,2.414000000000e+21
2.056000000000e+01,2.477000000000e+21
2.092000000000e+01,2.540100000000e+21
2.129000000000e+01,2.603400000000e+21
2.167000000000e+01,2.666900000000e+21
2.206000000000e+01,2.732200000000e+21
2.246000000000e+01,2.799000000000e+21
2.288000000000e+01,2.869000000000e+21
2.330000000000e+01,2.947300000000e+21
2.374000000000e+01,3.040000000000e+21
3.026000000000e+01,3.427100000000e+21
3.094000000000e+01,3.498300000000e+21
3.165000000000e+01,3.510200000000e+21
3.557000000000e+01,3.653200000000e+21
3.645000000000e+01,3.720700000000e+21
3.736000000000e+01,3.753500000000e+21
4.468000000000e+01,4.140500000000e+21
5.574000000000e+01,4.600900000000e+21
7.484000000000e+01,5.373000000000e+21
2.407900000000e+02,7.429600000000e+21
2.503100000000e+02,7.537300000000e+21
2.602400000000e+02,7.665700000000e+21
2.705500000000e+02,7.745100000000e+21
2.813000000000e+02,7.878500000000e+21
