# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_dbbde06fbac0d803f6e5"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "14N16O+(v=0)"
# neutral: "He"
# gas_temperature_K: 4.35
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 4.35 K"
# group_comment: "Mobilities for the NO+_NG systems, calculated by Monte Carlo methods of Skullerud (2021) and of Viehland et al. (2021), using the ab initio, shifted potentials of Orek et al., J. Chem. Phys. 144 (2016) 204303."
# source_family: "mobilities for the no+_ng systems, calculated by monte carlo methods of skullerud (2021) and of viehland et al. (2021), using the ab initio, shifted potentials of orek et al., j. chem. phys. 144 (2016) 204303."
# comment: "Mobilities for the NO+_NG systems, calculated by Monte Carlo methods of Skullerud (2021)"
# updated: "2016-03-05 12:56:44"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13988_neutral_8_37/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "358b503bd8b0f7883831e732e25da5a7343862559481a347c48fae6c218d737f"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e+00,4.051820855695e+22
7.500000000000e+00,4.094936616482e+22
1.000000000000e+01,4.176580790814e+22
1.250000000000e+01,4.300836913231e+22
1.500000000000e+01,4.515964937381e+22
1.750000000000e+01,4.891013720024e+22
2.000000000000e+01,5.340202519371e+22
2.250000000000e+01,5.699076262604e+22
2.500000000000e+01,5.901423353975e+22
2.750000000000e+01,5.974555745274e+22
3.000000000000e+01,5.965115886208e+22
3.500000000000e+01,5.837492173619e+22
4.000000000000e+01,5.656199149939e+22
4.500000000000e+01,5.468250495289e+22
5.000000000000e+01,5.290934940317e+22
6.000000000000e+01,4.982893247163e+22
7.000000000000e+01,4.722607694956e+22
8.000000000000e+01,4.507718318928e+22
