# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_3de9534d714d7e67842b"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "16O^+(4S3/2)"
# neutral: "He"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: ""
# source_family: ""
# comment: "Smoothed Data from Danailov et al., J. Chem. Phys. 125 (2006) 084309."
# updated: "2011-12-13 14:05:59"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_029_7989_7989/001_mobility.txt"
# source_file_sha256: "19a8b542db569b53fee17470c3258b997a4dee8e7208c90bee7c1232aa531b9b"
reduced_electric_field_Td,reduced_transport_SI
1.100000000000e+01,6.249929162111e+22
1.200000000000e+01,6.279097265965e+22
1.300000000000e+01,6.313568661428e+22
1.400000000000e+01,6.353343348501e+22
1.500000000000e+01,6.395769681380e+22
1.600000000000e+01,6.435544368453e+22
1.700000000000e+01,6.477970701331e+22
1.800000000000e+01,6.515093742599e+22
1.900000000000e+01,6.552216783868e+22
2.000000000000e+01,6.586688179331e+22
2.100000000000e+01,6.618507928990e+22
2.200000000000e+01,6.645024387039e+22
2.300000000000e+01,6.668889199283e+22
2.400000000000e+01,6.690102365722e+22
2.500000000000e+01,6.708663886356e+22
2.600000000000e+01,6.721922115380e+22
2.700000000000e+01,6.732528698600e+22
2.800000000000e+01,6.737831990210e+22
2.900000000000e+01,6.751090219234e+22
3.000000000000e+01,6.761696802454e+22
3.100000000000e+01,6.767000094063e+22
3.200000000000e+01,6.769651739868e+22
3.300000000000e+01,6.769651739868e+22
3.400000000000e+01,6.764348448258e+22
3.500000000000e+01,6.756393510844e+22
3.600000000000e+01,6.748438573429e+22
3.700000000000e+01,6.732528698600e+22
3.800000000000e+01,6.716618823770e+22
3.900000000000e+01,6.698057303136e+22
4.000000000000e+01,6.676844136697e+22
4.100000000000e+01,6.652979324453e+22
4.200000000000e+01,6.629114512209e+22
4.300000000000e+01,6.602598054160e+22
4.400000000000e+01,6.576081596112e+22
4.500000000000e+01,6.549565138063e+22
4.600000000000e+01,6.528351971624e+22
4.700000000000e+01,6.504487159380e+22
4.800000000000e+01,6.480622347136e+22
4.900000000000e+01,6.454105889087e+22
5.000000000000e+01,6.430241076843e+22
5.100000000000e+01,6.406376264599e+22
5.200000000000e+01,6.379859806550e+22
5.300000000000e+01,6.353343348501e+22
5.400000000000e+01,6.326826890453e+22
5.500000000000e+01,6.302962078209e+22
5.600000000000e+01,6.276445620160e+22
5.700000000000e+01,6.249929162111e+22
5.800000000000e+01,6.223412704062e+22
5.900000000000e+01,6.196896246013e+22
6.000000000000e+01,6.170379787964e+22
6.100000000000e+01,6.143863329916e+22
6.200000000000e+01,6.119998517672e+22
6.300000000000e+01,6.093482059623e+22
6.400000000000e+01,6.066965601574e+22
6.500000000000e+01,6.043100789330e+22
6.600000000000e+01,6.016584331281e+22
6.700000000000e+01,5.992719519037e+22
6.800000000000e+01,5.966203060988e+22
6.900000000000e+01,5.942338248744e+22
7.000000000000e+01,5.918473436500e+22
7.100000000000e+01,5.894608624257e+22
7.200000000000e+01,5.870743812013e+22
7.300000000000e+01,5.846878999769e+22
7.400000000000e+01,5.825665833330e+22
7.500000000000e+01,5.801801021086e+22
7.600000000000e+01,5.780587854647e+22
7.700000000000e+01,5.756723042403e+22
7.800000000000e+01,5.735509875964e+22
7.900000000000e+01,5.714296709524e+22
8.000000000000e+01,5.693083543085e+22
8.100000000000e+01,5.671870376646e+22
8.200000000000e+01,5.653308856012e+22
8.300000000000e+01,5.632095689573e+22
8.400000000000e+01,5.613534168939e+22
8.500000000000e+01,5.592321002500e+22
8.600000000000e+01,5.573759481866e+22
8.700000000000e+01,5.555197961231e+22
8.800000000000e+01,5.536636440597e+22
8.900000000000e+01,5.518074919963e+22
9.000000000000e+01,5.499513399329e+22
9.100000000000e+01,5.480951878695e+22
9.200000000000e+01,5.465042003865e+22
9.300000000000e+01,5.446480483231e+22
9.400000000000e+01,5.430570608402e+22
9.500000000000e+01,5.414660733573e+22
9.600000000000e+01,5.396099212938e+22
9.700000000000e+01,5.380189338109e+22
9.800000000000e+01,5.364279463280e+22
9.900000000000e+01,5.348369588450e+22
1.000000000000e+02,5.332459713621e+22
1.010000000000e+02,5.319201484597e+22
1.020000000000e+02,5.303291609767e+22
1.030000000000e+02,5.287381734938e+22
1.040000000000e+02,5.274123505914e+22
1.050000000000e+02,5.258213631084e+22
1.060000000000e+02,5.244955402060e+22
1.070000000000e+02,5.229045527231e+22
1.080000000000e+02,5.215787298206e+22
1.090000000000e+02,5.202529069182e+22
1.100000000000e+02,5.189270840157e+22
1.110000000000e+02,5.173360965328e+22
1.120000000000e+02,5.160102736304e+22
1.130000000000e+02,5.146844507279e+22
1.140000000000e+02,5.133586278255e+22
1.150000000000e+02,5.120328049230e+22
1.160000000000e+02,5.107069820206e+22
1.170000000000e+02,5.093811591182e+22
1.180000000000e+02,5.080553362157e+22
1.190000000000e+02,5.067295133133e+22
1.200000000000e+02,5.054036904108e+22
1.210000000000e+02,5.040778675084e+22
1.220000000000e+02,5.027520446060e+22
1.230000000000e+02,5.014262217035e+22
1.240000000000e+02,5.001003988011e+22
1.250000000000e+02,4.987745758986e+22
