# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_748c880338ad9e46b6d7"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "1H^-"
# neutral: "He"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Compiled Ko Data of Ellis et al., At. Data Nucl. Data Tables 17 (1976) 177."
# source_family: "compiled ko data of ellis et al., at. data nucl. data tables 17 (1976) 177."
# comment: ""
# updated: "2011-12-13 14:07:14"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_044_72_72/002_mobility.txt"
# source_file_sha256: "6137a44e2ad7a8ecde170593612bce73f009820088e6b8f8afdce2c037af8843"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e+00,1.028838572295e+23
5.000000000000e+00,1.023535280685e+23
6.000000000000e+00,1.015580343270e+23
7.000000000000e+00,1.004973760051e+23
8.000000000000e+00,9.917155310265e+22
1.000000000000e+01,9.731540103923e+22
1.200000000000e+01,9.598957813679e+22
1.500000000000e+01,9.413342607337e+22
2.000000000000e+01,9.174694484898e+22
2.500000000000e+01,8.989079278556e+22
3.000000000000e+01,8.829980530263e+22
