# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_f44bb94d9d50675da7ba"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "35Cl-(1S0)"
# neutral: "He"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Compiled Ko Data of Ellis et al., At. Data Nucl. Data Tables 17 (1976) 177."
# source_family: "compiled ko data of ellis et al., at. data nucl. data tables 17 (1976) 177."
# comment: ""
# updated: "2011-12-12 11:17:40"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_021_9160_9160/002_mobility.txt"
# source_file_sha256: "d09d102f3c5cb3d7d131bf655b401c10d9758276019baf39a2e7aa49f0261b29"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e+00,5.382840983914e+22
7.000000000000e+00,5.382840983914e+22
1.000000000000e+01,5.329808067816e+22
1.200000000000e+01,5.250258693670e+22
1.500000000000e+01,5.170709319523e+22
2.000000000000e+01,5.011610571230e+22
2.500000000000e+01,4.852511822937e+22
3.000000000000e+01,4.719929532693e+22
4.000000000000e+01,4.481281410254e+22
5.000000000000e+01,4.242633287814e+22
6.000000000000e+01,4.057018081472e+22
7.000000000000e+01,3.897919333179e+22
8.000000000000e+01,3.738820584886e+22
9.000000000000e+01,3.606238294642e+22
1.000000000000e+02,3.500172462447e+22
1.100000000000e+02,3.394106630251e+22
1.200000000000e+02,3.288040798056e+22
