# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_9c63a4d2ef02a1a54a16"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "70Ge^+(2P1/2)"
# neutral: "He"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 69.9242, M = 4.0026, &alpha; = 0.205052."
# updated: "2022-01-01 15:59:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14055_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "522feb610bfd5cc5fdca4775da9a7d9707320cbb76d1367d0f8683fbfc18d3f7"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,1.625300000000e+21
7.000000000000e-02,1.625300000000e+21
2.800000000000e-01,1.625800000000e+21
1.710000000000e+00,1.641600000000e+21
2.050000000000e+00,1.648800000000e+21
2.460000000000e+00,1.659100000000e+21
2.820000000000e+00,1.670100000000e+21
3.250000000000e+00,1.684400000000e+21
4.290000000000e+00,1.728600000000e+21
6.010000000000e+00,1.827000000000e+21
6.630000000000e+00,1.869900000000e+21
8.060000000000e+00,1.984100000000e+21
8.890000000000e+00,2.059000000000e+21
9.250000000000e+00,2.093400000000e+21
9.430000000000e+00,2.111700000000e+21
9.820000000000e+00,2.150100000000e+21
1.001000000000e+01,2.170600000000e+21
1.084000000000e+01,2.258900000000e+21
1.174000000000e+01,2.360500000000e+21
1.198000000000e+01,2.388100000000e+21
1.222000000000e+01,2.416600000000e+21
1.247000000000e+01,2.445500000000e+21
1.272000000000e+01,2.475800000000e+21
1.298000000000e+01,2.507600000000e+21
1.324000000000e+01,2.540000000000e+21
1.351000000000e+01,2.573300000000e+21
1.378000000000e+01,2.607600000000e+21
1.406000000000e+01,2.643000000000e+21
1.435000000000e+01,2.679400000000e+21
1.464000000000e+01,2.716800000000e+21
1.494000000000e+01,2.755300000000e+21
1.525000000000e+01,2.794900000000e+21
1.588000000000e+01,2.877200000000e+21
1.654000000000e+01,2.963900000000e+21
1.688000000000e+01,3.008800000000e+21
1.723000000000e+01,3.054800000000e+21
1.759000000000e+01,3.101900000000e+21
1.795000000000e+01,3.150000000000e+21
1.833000000000e+01,3.199200000000e+21
1.871000000000e+01,3.249400000000e+21
1.910000000000e+01,3.300500000000e+21
1.950000000000e+01,3.352700000000e+21
1.992000000000e+01,3.405900000000e+21
2.034000000000e+01,3.460100000000e+21
2.077000000000e+01,3.515200000000e+21
2.122000000000e+01,3.571200000000e+21
2.167000000000e+01,3.628100000000e+21
2.214000000000e+01,3.685800000000e+21
2.261000000000e+01,3.744500000000e+21
2.311000000000e+01,3.804000000000e+21
2.361000000000e+01,3.864300000000e+21
2.413000000000e+01,3.925400000000e+21
2.466000000000e+01,3.987400000000e+21
2.521000000000e+01,4.050100000000e+21
2.577000000000e+01,4.113700000000e+21
2.634000000000e+01,4.178000000000e+21
2.694000000000e+01,4.243600000000e+21
2.754000000000e+01,4.309500000000e+21
2.817000000000e+01,4.375700000000e+21
2.882000000000e+01,4.443300000000e+21
2.948000000000e+01,4.511800000000e+21
3.016000000000e+01,4.581200000000e+21
3.086000000000e+01,4.651600000000e+21
3.159000000000e+01,4.723000000000e+21
3.233000000000e+01,4.795600000000e+21
3.310000000000e+01,4.869800000000e+21
3.389000000000e+01,4.945300000000e+21
3.471000000000e+01,5.020900000000e+21
3.555000000000e+01,5.098600000000e+21
3.641000000000e+01,5.178500000000e+21
3.730000000000e+01,5.255900000000e+21
3.822000000000e+01,5.338800000000e+21
3.917000000000e+01,5.415200000000e+21
4.015000000000e+01,5.515900000000e+21
4.115000000000e+01,5.603200000000e+21
