# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_a622736052749b8e6cbd"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "70Ge^+(2P3/2)"
# neutral: "He"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 69.9242, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14056_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "c1eeee5f327a2570eb943563b1a97e63aa22b6647bb57e9437abedbbcb3beb77"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,1.282400000000e+21
9.000000000000e-02,1.282400000000e+21
3.600000000000e-01,1.282700000000e+21
6.300000000000e-01,1.283500000000e+21
1.540000000000e+00,1.288900000000e+21
2.160000000000e+00,1.295100000000e+21
3.110000000000e+00,1.308700000000e+21
4.120000000000e+00,1.328400000000e+21
4.730000000000e+00,1.343100000000e+21
5.440000000000e+00,1.362600000000e+21
6.590000000000e+00,1.399500000000e+21
6.920000000000e+00,1.411500000000e+21
7.270000000000e+00,1.424600000000e+21
7.630000000000e+00,1.439000000000e+21
8.410000000000e+00,1.472300000000e+21
8.830000000000e+00,1.491500000000e+21
1.074000000000e+01,1.589200000000e+21
1.151000000000e+01,1.633100000000e+21
1.222000000000e+01,1.676000000000e+21
1.323000000000e+01,1.741000000000e+21
1.491000000000e+01,1.857900000000e+21
1.552000000000e+01,1.902600000000e+21
1.584000000000e+01,1.926100000000e+21
1.616000000000e+01,1.950500000000e+21
1.649000000000e+01,1.975600000000e+21
1.682000000000e+01,2.001600000000e+21
1.716000000000e+01,2.028500000000e+21
1.751000000000e+01,2.056300000000e+21
1.787000000000e+01,2.084900000000e+21
1.823000000000e+01,2.114500000000e+21
1.860000000000e+01,2.145000000000e+21
1.898000000000e+01,2.176500000000e+21
1.937000000000e+01,2.208900000000e+21
1.977000000000e+01,2.242400000000e+21
2.017000000000e+01,2.276800000000e+21
2.058000000000e+01,2.312200000000e+21
2.101000000000e+01,2.348600000000e+21
2.144000000000e+01,2.386000000000e+21
2.188000000000e+01,2.424400000000e+21
2.233000000000e+01,2.463900000000e+21
2.280000000000e+01,2.504400000000e+21
2.327000000000e+01,2.546000000000e+21
2.376000000000e+01,2.588500000000e+21
2.425000000000e+01,2.632100000000e+21
2.476000000000e+01,2.676600000000e+21
2.528000000000e+01,2.722200000000e+21
2.581000000000e+01,2.768800000000e+21
2.635000000000e+01,2.816400000000e+21
2.691000000000e+01,2.864800000000e+21
2.748000000000e+01,2.914300000000e+21
2.807000000000e+01,2.964600000000e+21
2.867000000000e+01,3.015900000000e+21
2.928000000000e+01,3.068000000000e+21
2.991000000000e+01,3.121000000000e+21
3.056000000000e+01,3.174700000000e+21
3.123000000000e+01,3.229400000000e+21
3.191000000000e+01,3.284700000000e+21
3.261000000000e+01,3.340800000000e+21
3.333000000000e+01,3.397600000000e+21
3.406000000000e+01,3.455000000000e+21
3.482000000000e+01,3.513200000000e+21
3.560000000000e+01,3.572400000000e+21
3.640000000000e+01,3.634300000000e+21
3.723000000000e+01,3.691400000000e+21
3.807000000000e+01,3.752100000000e+21
3.894000000000e+01,3.813300000000e+21
3.984000000000e+01,3.875200000000e+21
4.076000000000e+01,3.937700000000e+21
4.171000000000e+01,4.000900000000e+21
4.269000000000e+01,4.064700000000e+21
4.370000000000e+01,4.129200000000e+21
4.474000000000e+01,4.194600000000e+21
4.581000000000e+01,4.260600000000e+21
4.691000000000e+01,4.327700000000e+21
4.805000000000e+01,4.395600000000e+21
4.922000000000e+01,4.464700000000e+21
5.043000000000e+01,4.525200000000e+21
5.297000000000e+01,4.686200000000e+21
5.430000000000e+01,4.757300000000e+21
5.567000000000e+01,4.839200000000e+21
5.708000000000e+01,4.908500000000e+21
5.854000000000e+01,4.989000000000e+21
6.004000000000e+01,5.070300000000e+21
6.160000000000e+01,5.154700000000e+21
6.320000000000e+01,5.240600000000e+21
6.487000000000e+01,5.330700000000e+21
6.656000000000e+01,5.422600000000e+21
6.833000000000e+01,5.518400000000e+21
7.015000000000e+01,5.618700000000e+21
