# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_db01e9abfe03ccff3da1"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "70Ge^+(2P3/2)"
# neutral: "He"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 69.9242, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14056_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "b765726928fad7d53cf423cb30d81840969d930c9155ddda07b42f5d9d7ca22e"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,4.852246658357e+22
7.300000000000e-01,4.851981493776e+22
1.280000000000e+00,4.851981493776e+22
2.520000000000e+00,4.851186000035e+22
3.020000000000e+00,4.850655670874e+22
4.170000000000e+00,4.849329847971e+22
4.800000000000e+00,4.848269189649e+22
5.520000000000e+00,4.846943366747e+22
6.350000000000e+00,4.845352379264e+22
6.990000000000e+00,4.844026556362e+22
8.480000000000e+00,4.840049087654e+22
8.910000000000e+00,4.838723264752e+22
9.360000000000e+00,4.837132277269e+22
9.830000000000e+00,4.835541289786e+22
1.032000000000e+01,4.833685137723e+22
1.139000000000e+01,4.829442504435e+22
1.257000000000e+01,4.824404377405e+22
1.375000000000e+01,4.818835921215e+22
1.431000000000e+01,4.815919110830e+22
1.552000000000e+01,4.809289996318e+22
1.583000000000e+01,4.807433844254e+22
1.616000000000e+01,4.805312527610e+22
1.649000000000e+01,4.803456375547e+22
1.682000000000e+01,4.801335058903e+22
1.788000000000e+01,4.794175615230e+22
1.825000000000e+01,4.791523969425e+22
1.862000000000e+01,4.788872323620e+22
1.901000000000e+01,4.785955513235e+22
1.940000000000e+01,4.783038702849e+22
1.980000000000e+01,4.780121892464e+22
2.021000000000e+01,4.776674752918e+22
2.106000000000e+01,4.769780473825e+22
2.150000000000e+01,4.766068169698e+22
2.194000000000e+01,4.762355865571e+22
2.240000000000e+01,4.758378396864e+22
2.287000000000e+01,4.754135763576e+22
2.335000000000e+01,4.749627965708e+22
2.384000000000e+01,4.744855003259e+22
2.434000000000e+01,4.740082040810e+22
2.486000000000e+01,4.735043913781e+22
2.538000000000e+01,4.729740622171e+22
2.592000000000e+01,4.724172165981e+22
2.647000000000e+01,4.718338545210e+22
2.704000000000e+01,4.712239759859e+22
2.762000000000e+01,4.705875809927e+22
2.821000000000e+01,4.699246695415e+22
2.882000000000e+01,4.692352416322e+22
2.944000000000e+01,4.684927808069e+22
3.008000000000e+01,4.677503199815e+22
3.073000000000e+01,4.669813426981e+22
3.140000000000e+01,4.661593324986e+22
3.209000000000e+01,4.652842893829e+22
3.280000000000e+01,4.643827298093e+22
3.352000000000e+01,4.634546537776e+22
3.426000000000e+01,4.625000612878e+22
3.503000000000e+01,4.614659194239e+22
3.581000000000e+01,4.604317775600e+22
3.662000000000e+01,4.593180863220e+22
3.744000000000e+01,4.581778786259e+22
3.829000000000e+01,4.570111544717e+22
3.917000000000e+01,4.557648809434e+22
4.006000000000e+01,4.544920909571e+22
4.099000000000e+01,4.531662680546e+22
4.194000000000e+01,4.517874122361e+22
4.291000000000e+01,4.503555235015e+22
4.392000000000e+01,4.488706018507e+22
4.495000000000e+01,4.473591637419e+22
4.602000000000e+01,4.457681762590e+22
4.712000000000e+01,4.441506723180e+22
4.824000000000e+01,4.424536190029e+22
4.941000000000e+01,4.407035327717e+22
5.060000000000e+01,4.389269300824e+22
5.184000000000e+01,4.370707780190e+22
5.311000000000e+01,4.351615930395e+22
5.442000000000e+01,4.332258916019e+22
5.577000000000e+01,4.312106407902e+22
5.716000000000e+01,4.291688735204e+22
5.860000000000e+01,4.270740733346e+22
6.008000000000e+01,4.248997237746e+22
6.160000000000e+01,4.226988577565e+22
6.480000000000e+01,4.181380269721e+22
6.647000000000e+01,4.157780622058e+22
6.820000000000e+01,4.133650645233e+22
6.998000000000e+01,4.109255503828e+22
7.181000000000e+01,4.084595197843e+22
7.370000000000e+01,4.059404562697e+22
7.566000000000e+01,4.033948762970e+22
7.767000000000e+01,4.007962634082e+22
7.976000000000e+01,3.981446176033e+22
8.189000000000e+01,3.955460047145e+22
8.410000000000e+01,3.928678424516e+22
