# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_6208f12e384fbdce5def"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "72Ge^+(2P1/2)"
# neutral: "He"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 4.0026, &alpha; = 0.205052."
# updated: "2022-01-01 15:59:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14061_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "a3cc70b925dbdda5bc7a7b8cd660f9e25ef56f91ba9f33073b2592f9e70b50ea"
reduced_electric_field_Td,reduced_transport_SI
1.000000000000e-02,4.612000000000e+20
5.000000000000e-02,4.612000000000e+20
1.900000000000e-01,4.614000000000e+20
3.400000000000e-01,4.617000000000e+20
5.900000000000e-01,4.628000000000e+20
8.300000000000e-01,4.643000000000e+20
1.160000000000e+00,4.671000000000e+20
1.390000000000e+00,4.698000000000e+20
1.660000000000e+00,4.735000000000e+20
1.910000000000e+00,4.775000000000e+20
2.200000000000e+00,4.826000000000e+20
2.520000000000e+00,4.898000000000e+20
2.900000000000e+00,4.992000000000e+20
3.180000000000e+00,5.074000000000e+20
3.490000000000e+00,5.174000000000e+20
3.670000000000e+00,5.233000000000e+20
3.850000000000e+00,5.299000000000e+20
4.030000000000e+00,5.372000000000e+20
4.230000000000e+00,5.453000000000e+20
4.440000000000e+00,5.543000000000e+20
4.650000000000e+00,5.644000000000e+20
4.880000000000e+00,5.755000000000e+20
5.110000000000e+00,5.880000000000e+20
5.360000000000e+00,6.018000000000e+20
5.620000000000e+00,6.173000000000e+20
5.890000000000e+00,6.346000000000e+20
6.000000000000e+00,6.421000000000e+20
6.110000000000e+00,6.500000000000e+20
6.230000000000e+00,6.583000000000e+20
6.350000000000e+00,6.671000000000e+20
6.470000000000e+00,6.761000000000e+20
6.590000000000e+00,6.856000000000e+20
6.710000000000e+00,6.956000000000e+20
6.840000000000e+00,7.060000000000e+20
6.970000000000e+00,7.170000000000e+20
7.370000000000e+00,7.530000000000e+20
7.640000000000e+00,7.800000000000e+20
7.780000000000e+00,7.945000000000e+20
7.930000000000e+00,8.096000000000e+20
8.070000000000e+00,8.256000000000e+20
8.220000000000e+00,8.424000000000e+20
8.370000000000e+00,8.600000000000e+20
9.000000000000e+00,9.386000000000e+20
9.160000000000e+00,9.609000000000e+20
9.320000000000e+00,9.842000000000e+20
9.490000000000e+00,1.008600000000e+21
9.660000000000e+00,1.034100000000e+21
9.830000000000e+00,1.061000000000e+21
1.000000000000e+01,1.088900000000e+21
1.018000000000e+01,1.118200000000e+21
1.036000000000e+01,1.148900000000e+21
1.054000000000e+01,1.181000000000e+21
1.073000000000e+01,1.214600000000e+21
