# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_114ce8f61b83116ead66"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "72Ge^+(2P3/2)"
# neutral: "He"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14064_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "36a477eccab955ac36433a5c56d27375047a2c63b8e01afbd51ac130a0ba4a7b"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,2.082000000000e+21
1.200000000000e-01,2.082100000000e+21
8.400000000000e-01,2.083600000000e+21
1.460000000000e+00,2.086800000000e+21
2.870000000000e+00,2.100400000000e+21
4.130000000000e+00,2.120100000000e+21
4.750000000000e+00,2.132300000000e+21
5.460000000000e+00,2.148400000000e+21
6.280000000000e+00,2.169600000000e+21
7.230000000000e+00,2.197400000000e+21
7.960000000000e+00,2.221300000000e+21
9.660000000000e+00,2.285200000000e+21
1.067000000000e+01,2.327600000000e+21
1.177000000000e+01,2.378600000000e+21
1.509000000000e+01,2.554300000000e+21
1.540000000000e+01,2.572200000000e+21
1.571000000000e+01,2.590600000000e+21
1.603000000000e+01,2.609600000000e+21
1.636000000000e+01,2.629200000000e+21
1.704000000000e+01,2.670900000000e+21
1.739000000000e+01,2.693000000000e+21
1.774000000000e+01,2.716500000000e+21
1.848000000000e+01,2.763100000000e+21
1.886000000000e+01,2.788000000000e+21
1.925000000000e+01,2.813800000000e+21
1.965000000000e+01,2.840300000000e+21
2.048000000000e+01,2.896100000000e+21
2.134000000000e+01,2.955400000000e+21
2.178000000000e+01,2.986400000000e+21
2.224000000000e+01,3.018300000000e+21
2.271000000000e+01,3.051200000000e+21
2.318000000000e+01,3.085100000000e+21
2.367000000000e+01,3.119900000000e+21
2.417000000000e+01,3.155700000000e+21
2.468000000000e+01,3.192500000000e+21
2.520000000000e+01,3.230300000000e+21
2.574000000000e+01,3.269200000000e+21
2.628000000000e+01,3.309100000000e+21
2.685000000000e+01,3.350000000000e+21
2.742000000000e+01,3.391900000000e+21
2.801000000000e+01,3.435100000000e+21
2.861000000000e+01,3.479200000000e+21
2.923000000000e+01,3.524400000000e+21
2.986000000000e+01,3.570700000000e+21
