# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_1260ac119b142709b7e4"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "72Ge^+(2P3/2)"
# neutral: "He"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14064_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "36a477eccab955ac36433a5c56d27375047a2c63b8e01afbd51ac130a0ba4a7b"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,8.485000000000e+20
7.000000000000e-02,8.485000000000e+20
3.000000000000e-01,8.486000000000e+20
5.200000000000e-01,8.491000000000e+20
1.270000000000e+00,8.531000000000e+20
1.780000000000e+00,8.576000000000e+20
2.560000000000e+00,8.673000000000e+20
2.940000000000e+00,8.733000000000e+20
3.380000000000e+00,8.812000000000e+20
3.890000000000e+00,8.916000000000e+20
4.470000000000e+00,9.054000000000e+20
4.920000000000e+00,9.173000000000e+20
5.410000000000e+00,9.318000000000e+20
5.680000000000e+00,9.403000000000e+20
6.260000000000e+00,9.600000000000e+20
6.570000000000e+00,9.714000000000e+20
7.240000000000e+00,9.979000000000e+20
9.230000000000e+00,1.091900000000e+21
9.420000000000e+00,1.101700000000e+21
9.990000000000e+00,1.133500000000e+21
1.081000000000e+01,1.182300000000e+21
1.124000000000e+01,1.209700000000e+21
1.316000000000e+01,1.342900000000e+21
1.342000000000e+01,1.362600000000e+21
1.368000000000e+01,1.383000000000e+21
1.395000000000e+01,1.404200000000e+21
1.423000000000e+01,1.426200000000e+21
1.451000000000e+01,1.449100000000e+21
1.509000000000e+01,1.497300000000e+21
1.539000000000e+01,1.522700000000e+21
1.665000000000e+01,1.633700000000e+21
1.698000000000e+01,1.664000000000e+21
1.732000000000e+01,1.695200000000e+21
1.767000000000e+01,1.727500000000e+21
1.838000000000e+01,1.795300000000e+21
1.874000000000e+01,1.830800000000e+21
1.912000000000e+01,1.867400000000e+21
1.989000000000e+01,1.944000000000e+21
2.029000000000e+01,1.984000000000e+21
2.069000000000e+01,2.025000000000e+21
2.111000000000e+01,2.067200000000e+21
2.153000000000e+01,2.110500000000e+21
2.241000000000e+01,2.200400000000e+21
2.333000000000e+01,2.294500000000e+21
2.429000000000e+01,2.392600000000e+21
2.478000000000e+01,2.443100000000e+21
2.529000000000e+01,2.494500000000e+21
2.581000000000e+01,2.546800000000e+21
2.634000000000e+01,2.599800000000e+21
2.689000000000e+01,2.654100000000e+21
2.745000000000e+01,2.708600000000e+21
2.802000000000e+01,2.763500000000e+21
2.921000000000e+01,2.875800000000e+21
2.982000000000e+01,2.932100000000e+21
3.046000000000e+01,2.989200000000e+21
3.111000000000e+01,3.046700000000e+21
3.178000000000e+01,3.104500000000e+21
3.247000000000e+01,3.162500000000e+21
3.317000000000e+01,3.220700000000e+21
3.465000000000e+01,3.337500000000e+21
3.541000000000e+01,3.396100000000e+21
3.621000000000e+01,3.454600000000e+21
3.702000000000e+01,3.513300000000e+21
3.872000000000e+01,3.629500000000e+21
3.962000000000e+01,3.690000000000e+21
4.053000000000e+01,3.747900000000e+21
4.148000000000e+01,3.808200000000e+21
4.246000000000e+01,3.872400000000e+21
4.347000000000e+01,3.928000000000e+21
4.451000000000e+01,3.988800000000e+21
4.559000000000e+01,4.052300000000e+21
4.784000000000e+01,4.172800000000e+21
4.903000000000e+01,4.237500000000e+21
5.025000000000e+01,4.301000000000e+21
5.151000000000e+01,4.367000000000e+21
5.282000000000e+01,4.434800000000e+21
5.416000000000e+01,4.503700000000e+21
5.556000000000e+01,4.576600000000e+21
5.848000000000e+01,4.723800000000e+21
6.161000000000e+01,4.885500000000e+21
6.325000000000e+01,4.969500000000e+21
6.494000000000e+01,5.056600000000e+21
6.669000000000e+01,5.148100000000e+21
6.850000000000e+01,5.243900000000e+21
7.037000000000e+01,5.345200000000e+21
7.229000000000e+01,5.444600000000e+21
7.428000000000e+01,5.558100000000e+21
7.634000000000e+01,5.664100000000e+21
7.846000000000e+01,5.773300000000e+21
8.065000000000e+01,5.904600000000e+21
8.290000000000e+01,6.005200000000e+21
8.523000000000e+01,6.166400000000e+21
8.764000000000e+01,6.303300000000e+21
9.012000000000e+01,6.448200000000e+21
9.267000000000e+01,6.599200000000e+21
9.531000000000e+01,6.747800000000e+21
9.802000000000e+01,6.930000000000e+21
1.008200000000e+02,7.109100000000e+21
1.037100000000e+02,7.276600000000e+21
1.066800000000e+02,7.464100000000e+21
1.128900000000e+02,7.868500000000e+21
1.161400000000e+02,8.057800000000e+21
1.194800000000e+02,8.301000000000e+21
1.229200000000e+02,8.506900000000e+21
1.264600000000e+02,8.775700000000e+21
1.301100000000e+02,9.054600000000e+21
1.338600000000e+02,9.288400000000e+21
1.377100000000e+02,9.561900000000e+21
1.416800000000e+02,9.846800000000e+21
1.457600000000e+02,1.014480000000e+22
1.499500000000e+02,1.045300000000e+22
1.542600000000e+02,1.077570000000e+22
1.586900000000e+02,1.107130000000e+22
1.632400000000e+02,1.146090000000e+22
1.679200000000e+02,1.182690000000e+22
1.727200000000e+02,1.220730000000e+22
1.776600000000e+02,1.260360000000e+22
1.827300000000e+02,1.301680000000e+22
1.879300000000e+02,1.344760000000e+22
1.932700000000e+02,1.390580000000e+22
1.987500000000e+02,1.436530000000e+22
2.043800000000e+02,1.485330000000e+22
2.101500000000e+02,1.537210000000e+22
2.159600000000e+02,1.587650000000e+22
2.221400000000e+02,1.644780000000e+22
2.283700000000e+02,1.702550000000e+22
2.347600000000e+02,1.762920000000e+22
2.413000000000e+02,1.825880000000e+22
2.480200000000e+02,1.891580000000e+22
2.548900000000e+02,1.960180000000e+22
2.619400000000e+02,2.031810000000e+22
2.691600000000e+02,2.106180000000e+22
2.765500000000e+02,2.184760000000e+22
2.841300000000e+02,2.266390000000e+22
2.918800000000e+02,2.351700000000e+22
2.998200000000e+02,2.413790000000e+22
3.079600000000e+02,2.553330000000e+22
3.162600000000e+02,2.594720000000e+22
3.247700000000e+02,2.732670000000e+22
3.334700000000e+02,2.839960000000e+22
3.423800000000e+02,2.951580000000e+22
3.514800000000e+02,3.068430000000e+22
3.607900000000e+02,3.190460000000e+22
3.703100000000e+02,3.318500000000e+22
3.800400000000e+02,3.452520000000e+22
3.899800000000e+02,3.592930000000e+22
4.001400000000e+02,3.740070000000e+22
4.105100000000e+02,3.894300000000e+22
4.211100000000e+02,4.056010000000e+22
4.319200000000e+02,4.187400000000e+22
4.429700000000e+02,4.402570000000e+22
4.542400000000e+02,4.590060000000e+22
4.657500000000e+02,4.784940000000e+22
4.774900000000e+02,4.992580000000e+22
4.894600000000e+02,5.208250000000e+22
5.016700000000e+02,5.435450000000e+22
5.141200000000e+02,5.674200000000e+22
