# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_6fc6a1f128ad72257600"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "73Ge^+(2P3/2)"
# neutral: "He"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 72.9235, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14069_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "9e9437ac371cfc8faef6022142213251750570bd5a7e4a51089814bd508a260c"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,1.280900000000e+21
9.000000000000e-02,1.280900000000e+21
3.600000000000e-01,1.281300000000e+21
6.300000000000e-01,1.282100000000e+21
1.100000000000e+00,1.284100000000e+21
1.550000000000e+00,1.287400000000e+21
2.600000000000e+00,1.299300000000e+21
3.580000000000e+00,1.315700000000e+21
5.450000000000e+00,1.361100000000e+21
6.000000000000e+00,1.377900000000e+21
6.930000000000e+00,1.410000000000e+21
7.270000000000e+00,1.423100000000e+21
7.640000000000e+00,1.437500000000e+21
8.420000000000e+00,1.470800000000e+21
1.076000000000e+01,1.587700000000e+21
1.130000000000e+01,1.618300000000e+21
1.175000000000e+01,1.645300000000e+21
1.223000000000e+01,1.674500000000e+21
1.523000000000e+01,1.878300000000e+21
1.585000000000e+01,1.924600000000e+21
1.618000000000e+01,1.948900000000e+21
1.650000000000e+01,1.974100000000e+21
1.684000000000e+01,2.000100000000e+21
1.718000000000e+01,2.027000000000e+21
1.753000000000e+01,2.054800000000e+21
1.789000000000e+01,2.083500000000e+21
1.900000000000e+01,2.175100000000e+21
1.939000000000e+01,2.207500000000e+21
1.979000000000e+01,2.241000000000e+21
2.019000000000e+01,2.275400000000e+21
2.061000000000e+01,2.310800000000e+21
2.103000000000e+01,2.347300000000e+21
2.146000000000e+01,2.384700000000e+21
2.191000000000e+01,2.423200000000e+21
2.236000000000e+01,2.462700000000e+21
2.282000000000e+01,2.503300000000e+21
2.330000000000e+01,2.544800000000e+21
2.378000000000e+01,2.587400000000e+21
2.428000000000e+01,2.631000000000e+21
2.478000000000e+01,2.675700000000e+21
2.530000000000e+01,2.721300000000e+21
2.584000000000e+01,2.767900000000e+21
2.638000000000e+01,2.815500000000e+21
2.694000000000e+01,2.864000000000e+21
2.751000000000e+01,2.913500000000e+21
2.810000000000e+01,2.963900000000e+21
2.870000000000e+01,3.015200000000e+21
2.931000000000e+01,3.067400000000e+21
2.994000000000e+01,3.120400000000e+21
3.059000000000e+01,3.174200000000e+21
3.126000000000e+01,3.228800000000e+21
3.194000000000e+01,3.284300000000e+21
3.264000000000e+01,3.340300000000e+21
3.336000000000e+01,3.397200000000e+21
3.410000000000e+01,3.454600000000e+21
3.485000000000e+01,3.513000000000e+21
3.563000000000e+01,3.571600000000e+21
3.644000000000e+01,3.652000000000e+21
3.726000000000e+01,3.691100000000e+21
