# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_e28d4f2a33cec14c664c"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "74Ge^+(2P1/2)"
# neutral: "He"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 4.0026, &alpha; = 0.205052."
# updated: "2022-01-01 15:59:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14074_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "76b19dbf758b9f1a15843d8fe5a618db9809be099904257f2762c00501d5cb3c"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,6.036736839398e+22
9.000000000000e-02,6.036736839398e+22
3.800000000000e-01,6.036736839398e+22
6.600000000000e-01,6.036471674818e+22
1.150000000000e+00,6.035941345657e+22
1.620000000000e+00,6.035411016496e+22
2.260000000000e+00,6.034085193593e+22
2.720000000000e+00,6.033024535271e+22
3.260000000000e+00,6.031433547789e+22
3.750000000000e+00,6.029842560306e+22
4.320000000000e+00,6.027456079081e+22
4.970000000000e+00,6.024539268696e+22
5.710000000000e+00,6.020561799989e+22
6.290000000000e+00,6.017114660442e+22
6.920000000000e+00,6.013137191735e+22
8.030000000000e+00,6.004917089740e+22
8.430000000000e+00,6.001735114774e+22
8.860000000000e+00,5.998022810647e+22
9.310000000000e+00,5.993249848198e+22
1.028000000000e+01,5.984499417042e+22
1.080000000000e+01,5.979196125432e+22
1.135000000000e+01,5.973362504662e+22
1.193000000000e+01,5.966733390149e+22
1.218000000000e+01,5.964081744344e+22
1.243000000000e+01,5.960899769379e+22
1.268000000000e+01,5.957982958993e+22
1.294000000000e+01,5.954535819447e+22
1.376000000000e+01,5.942868577905e+22
1.405000000000e+01,5.938625944618e+22
1.434000000000e+01,5.934913640491e+22
1.525000000000e+01,5.922716069788e+22
1.557000000000e+01,5.918208271920e+22
1.589000000000e+01,5.913435309471e+22
1.622000000000e+01,5.908397182442e+22
1.656000000000e+01,5.903093890832e+22
1.691000000000e+01,5.897790599222e+22
1.726000000000e+01,5.891956978452e+22
1.763000000000e+01,5.886123357681e+22
1.800000000000e+01,5.880024572330e+22
1.838000000000e+01,5.873660622398e+22
1.877000000000e+01,5.867031507886e+22
1.916000000000e+01,5.860402393374e+22
1.957000000000e+01,5.853242949700e+22
1.999000000000e+01,5.845818341447e+22
2.042000000000e+01,5.838128568613e+22
2.085000000000e+01,5.830173631198e+22
2.130000000000e+01,5.821688364622e+22
2.176000000000e+01,5.813203098047e+22
2.223000000000e+01,5.804187502310e+22
2.271000000000e+01,5.794906741993e+22
2.321000000000e+01,5.785095652515e+22
2.371000000000e+01,5.775284563037e+22
2.423000000000e+01,5.764677979817e+22
2.476000000000e+01,5.754071396598e+22
2.531000000000e+01,5.742669319637e+22
2.587000000000e+01,5.731267242676e+22
2.644000000000e+01,5.719334836554e+22
2.703000000000e+01,5.706872101271e+22
2.763000000000e+01,5.693879036827e+22
2.825000000000e+01,5.680620807802e+22
2.889000000000e+01,5.666832249617e+22
2.954000000000e+01,5.652513362271e+22
3.021000000000e+01,5.637664145763e+22
3.090000000000e+01,5.622549764675e+22
3.161000000000e+01,5.606639889846e+22
3.234000000000e+01,5.590464850436e+22
3.308000000000e+01,5.573759481866e+22
3.385000000000e+01,5.556523784134e+22
3.464000000000e+01,5.538757757241e+22
3.545000000000e+01,5.520461401187e+22
3.629000000000e+01,5.501634715973e+22
3.715000000000e+01,5.482012537017e+22
3.803000000000e+01,5.462125193480e+22
3.894000000000e+01,5.441707520782e+22
3.987000000000e+01,5.420759518924e+22
4.083000000000e+01,5.399016023324e+22
4.182000000000e+01,5.377272527724e+22
4.284000000000e+01,5.354468373802e+22
4.389000000000e+01,5.331399055299e+22
4.497000000000e+01,5.307534243055e+22
4.608000000000e+01,5.283404266231e+22
4.723000000000e+01,5.258743960245e+22
4.841000000000e+01,5.233553325099e+22
4.962000000000e+01,5.207832360792e+22
5.087000000000e+01,5.182111396484e+22
5.216000000000e+01,5.154799444694e+22
5.349000000000e+01,5.127752657484e+22
5.485000000000e+01,5.100175541113e+22
5.626000000000e+01,5.072863589323e+22
5.771000000000e+01,5.043960650050e+22
5.921000000000e+01,5.015057710777e+22
6.074000000000e+01,4.986154771503e+22
6.233000000000e+01,4.956456338489e+22
6.396000000000e+01,4.926757905474e+22
6.564000000000e+01,4.896794307879e+22
6.737000000000e+01,4.866300381123e+22
6.916000000000e+01,4.835806454366e+22
7.099000000000e+01,4.805047363030e+22
7.288000000000e+01,4.774023107113e+22
7.484000000000e+01,4.741938192874e+22
7.684000000000e+01,4.711444266117e+22
7.890000000000e+01,4.679889681039e+22
8.103000000000e+01,4.648335095961e+22
8.321000000000e+01,4.616515346303e+22
8.548000000000e+01,4.584165267483e+22
8.778000000000e+01,4.553141011566e+22
9.017000000000e+01,4.521321261907e+22
9.262000000000e+01,4.489501512249e+22
9.515000000000e+01,4.457681762590e+22
9.776000000000e+01,4.425862012931e+22
1.004200000000e+02,4.394307427853e+22
1.031600000000e+02,4.362752842775e+22
1.059900000000e+02,4.331198257697e+22
1.089000000000e+02,4.299908837199e+22
1.118800000000e+02,4.268619416702e+22
1.149600000000e+02,4.237595160785e+22
1.181100000000e+02,4.206570904868e+22
1.213600000000e+02,4.175811813531e+22
1.246900000000e+02,4.145317886775e+22
1.281200000000e+02,4.115089124599e+22
1.316400000000e+02,4.085125527004e+22
1.352600000000e+02,4.055161929409e+22
1.389700000000e+02,4.025463496394e+22
1.427900000000e+02,3.996295392540e+22
1.467100000000e+02,3.966862124106e+22
1.507300000000e+02,3.938489513994e+22
1.548600000000e+02,3.909851739301e+22
1.591000000000e+02,3.881744293769e+22
1.634500000000e+02,3.853902012818e+22
1.679200000000e+02,3.824468744384e+22
1.725000000000e+02,3.799012944657e+22
1.772100000000e+02,3.771966157447e+22
1.820300000000e+02,3.745449699398e+22
1.869800000000e+02,3.718933241349e+22
1.920600000000e+02,3.692947112462e+22
1.972600000000e+02,3.667226148154e+22
2.026000000000e+02,3.642035513008e+22
2.080800000000e+02,3.617110042442e+22
2.136900000000e+02,3.592184571876e+22
2.194400000000e+02,3.568054595052e+22
2.253400000000e+02,3.544189782808e+22
2.313900000000e+02,3.520324970564e+22
2.375800000000e+02,3.496990487481e+22
2.439300000000e+02,3.473921168978e+22
2.504300000000e+02,3.451382179637e+22
2.571000000000e+02,3.429108354876e+22
2.639200000000e+02,3.407099694695e+22
2.709200000000e+02,3.385356199095e+22
2.780800000000e+02,3.364143032656e+22
2.854100000000e+02,3.343195030797e+22
2.929200000000e+02,3.322512193519e+22
3.006100000000e+02,3.302094520822e+22
3.084900000000e+02,3.282207177285e+22
3.165500000000e+02,3.262319833748e+22
