# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_5eff010f2984e7cd71ea"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "74Ge^+(2P3/2)"
# neutral: "He"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 4.0026, &alpha; = 0.205052."
# updated: "2022-01-01 20:17:44"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14075_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "13aa0ffdb521161942e042332d3adcc77a65963d70f7088a50de57dcb3ee21c4"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,2.080600000000e+21
1.200000000000e-01,2.080600000000e+21
4.800000000000e-01,2.081100000000e+21
8.400000000000e-01,2.082100000000e+21
1.460000000000e+00,2.085400000000e+21
2.050000000000e+00,2.090000000000e+21
2.870000000000e+00,2.099000000000e+21
3.440000000000e+00,2.107000000000e+21
4.130000000000e+00,2.118600000000e+21
4.750000000000e+00,2.130800000000e+21
5.470000000000e+00,2.146900000000e+21
6.290000000000e+00,2.168100000000e+21
7.240000000000e+00,2.195900000000e+21
7.960000000000e+00,2.219800000000e+21
8.770000000000e+00,2.248400000000e+21
9.210000000000e+00,2.265200000000e+21
9.670000000000e+00,2.283700000000e+21
1.016000000000e+01,2.303900000000e+21
1.067000000000e+01,2.326100000000e+21
1.121000000000e+01,2.350500000000e+21
1.178000000000e+01,2.377100000000e+21
1.300000000000e+01,2.438300000000e+21
1.367000000000e+01,2.473100000000e+21
1.541000000000e+01,2.570700000000e+21
1.572000000000e+01,2.589100000000e+21
1.637000000000e+01,2.627800000000e+21
1.705000000000e+01,2.669700000000e+21
1.740000000000e+01,2.691800000000e+21
1.776000000000e+01,2.715000000000e+21
1.812000000000e+01,2.737500000000e+21
1.850000000000e+01,2.761700000000e+21
1.888000000000e+01,2.786600000000e+21
1.927000000000e+01,2.812400000000e+21
1.967000000000e+01,2.838900000000e+21
2.007000000000e+01,2.866400000000e+21
2.049000000000e+01,2.894700000000e+21
2.092000000000e+01,2.923900000000e+21
2.135000000000e+01,2.954000000000e+21
2.180000000000e+01,2.985000000000e+21
2.226000000000e+01,3.017000000000e+21
2.272000000000e+01,3.049900000000e+21
2.320000000000e+01,3.083700000000e+21
2.369000000000e+01,3.118600000000e+21
2.419000000000e+01,3.154400000000e+21
2.470000000000e+01,3.191200000000e+21
2.522000000000e+01,3.229100000000e+21
2.575000000000e+01,3.267900000000e+21
2.630000000000e+01,3.307800000000e+21
2.686000000000e+01,3.348800000000e+21
2.744000000000e+01,3.390700000000e+21
2.803000000000e+01,3.433900000000e+21
2.863000000000e+01,3.478000000000e+21
2.925000000000e+01,3.523200000000e+21
2.988000000000e+01,3.569500000000e+21
3.053000000000e+01,3.616800000000e+21
3.119000000000e+01,3.665400000000e+21
3.187000000000e+01,3.715000000000e+21
3.257000000000e+01,3.765600000000e+21
3.329000000000e+01,3.817400000000e+21
3.402000000000e+01,3.870200000000e+21
3.477000000000e+01,3.924200000000e+21
3.555000000000e+01,3.979200000000e+21
3.634000000000e+01,4.035300000000e+21
3.715000000000e+01,4.092500000000e+21
3.799000000000e+01,4.150900000000e+21
3.885000000000e+01,4.210300000000e+21
3.973000000000e+01,4.270800000000e+21
4.064000000000e+01,4.332500000000e+21
4.157000000000e+01,4.395300000000e+21
4.253000000000e+01,4.459200000000e+21
4.351000000000e+01,4.524300000000e+21
4.452000000000e+01,4.590500000000e+21
4.556000000000e+01,4.658000000000e+21
4.663000000000e+01,4.726800000000e+21
4.773000000000e+01,4.797900000000e+21
4.886000000000e+01,4.867900000000e+21
5.003000000000e+01,4.940700000000e+21
5.122000000000e+01,5.027800000000e+21
5.246000000000e+01,5.089900000000e+21
5.373000000000e+01,5.166900000000e+21
5.504000000000e+01,5.245400000000e+21
5.639000000000e+01,5.325600000000e+21
5.777000000000e+01,5.407700000000e+21
5.920000000000e+01,5.491500000000e+21
6.068000000000e+01,5.577400000000e+21
6.219000000000e+01,5.665300000000e+21
6.376000000000e+01,5.755500000000e+21
6.537000000000e+01,5.848000000000e+21
6.703000000000e+01,5.946200000000e+21
6.874000000000e+01,6.042700000000e+21
7.233000000000e+01,6.248200000000e+21
7.420000000000e+01,6.355300000000e+21
7.614000000000e+01,6.463200000000e+21
7.813000000000e+01,6.576900000000e+21
8.018000000000e+01,6.697000000000e+21
8.230000000000e+01,6.820400000000e+21
8.448000000000e+01,6.940600000000e+21
8.674000000000e+01,7.073000000000e+21
8.905000000000e+01,7.208700000000e+21
9.145000000000e+01,7.348900000000e+21
9.393000000000e+01,7.500200000000e+21
9.647000000000e+01,7.650600000000e+21
9.907000000000e+01,7.805000000000e+21
1.017600000000e+02,7.969200000000e+21
1.045400000000e+02,8.136500000000e+21
1.074200000000e+02,8.321600000000e+21
1.103500000000e+02,8.503800000000e+21
1.133800000000e+02,8.799400000000e+21
1.165100000000e+02,8.897600000000e+21
1.197300000000e+02,9.111900000000e+21
1.230400000000e+02,9.322000000000e+21
1.264500000000e+02,9.553400000000e+21
1.299700000000e+02,9.787000000000e+21
1.335800000000e+02,9.946500000000e+21
1.373000000000e+02,1.029190000000e+22
1.411200000000e+02,1.056390000000e+22
1.450600000000e+02,1.084040000000e+22
1.491100000000e+02,1.112870000000e+22
1.532700000000e+02,1.142160000000e+22
1.575500000000e+02,1.174990000000e+22
1.619400000000e+02,1.208730000000e+22
1.664700000000e+02,1.243250000000e+22
1.711100000000e+02,1.279260000000e+22
1.758900000000e+02,1.316920000000e+22
1.807900000000e+02,1.359380000000e+22
1.858300000000e+02,1.395080000000e+22
1.910000000000e+02,1.441090000000e+22
1.963100000000e+02,1.484470000000e+22
2.017700000000e+02,1.530780000000e+22
2.073300000000e+02,1.586770000000e+22
2.131100000000e+02,1.631490000000e+22
2.190100000000e+02,1.680250000000e+22
2.250600000000e+02,1.737910000000e+22
2.312600000000e+02,1.795750000000e+22
2.376000000000e+02,1.862460000000e+22
2.441500000000e+02,1.918730000000e+22
2.508300000000e+02,1.984450000000e+22
2.576900000000e+02,2.052850000000e+22
2.647200000000e+02,2.122250000000e+22
2.719200000000e+02,2.199200000000e+22
2.792900000000e+02,2.277370000000e+22
2.868500000000e+02,2.359750000000e+22
2.945900000000e+02,2.446700000000e+22
3.025100000000e+02,2.533740000000e+22
3.106200000000e+02,2.627080000000e+22
3.189300000000e+02,2.725070000000e+22
3.274200000000e+02,2.826920000000e+22
3.361200000000e+02,2.933770000000e+22
3.450100000000e+02,3.045640000000e+22
3.541100000000e+02,3.164050000000e+22
3.634100000000e+02,3.285620000000e+22
3.729200000000e+02,3.413860000000e+22
3.826500000000e+02,3.548350000000e+22
3.925800000000e+02,3.690530000000e+22
4.027400000000e+02,3.838120000000e+22
4.131100000000e+02,3.992070000000e+22
4.237100000000e+02,4.144830000000e+22
4.345300000000e+02,4.324900000000e+22
4.455700000000e+02,4.503510000000e+22
4.568700000000e+02,4.691550000000e+22
4.683600000000e+02,4.888470000000e+22
4.801000000000e+02,5.095360000000e+22
4.920800000000e+02,5.312730000000e+22
5.043000000000e+02,5.391120000000e+22
5.168100000000e+02,5.780430000000e+22
5.294600000000e+02,6.033720000000e+22
5.424100000000e+02,6.299220000000e+22
5.556000000000e+02,6.578580000000e+22
5.690400000000e+02,6.872600000000e+22
5.827300000000e+02,7.182130000000e+22
5.966800000000e+02,7.508110000000e+22
6.108700000000e+02,7.851500000000e+22
6.253200000000e+02,8.213380000000e+22
6.400200000000e+02,8.594880000000e+22
6.549800000000e+02,8.996900000000e+22
6.702000000000e+02,9.420360000000e+22
6.856700000000e+02,9.960820000000e+22
7.014100000000e+02,1.035360000000e+23
7.174000000000e+02,1.083920000000e+23
7.336400000000e+02,1.136500000000e+23
7.501500000000e+02,1.192040000000e+23
7.669200000000e+02,1.250720000000e+23
7.839500000000e+02,1.306910000000e+23
8.012400000000e+02,1.352280000000e+23
8.188000000000e+02,1.446800000000e+23
8.366100000000e+02,1.519990000000e+23
8.546800000000e+02,1.597040000000e+23
8.730100000000e+02,1.678340000000e+23
8.916100000000e+02,1.745580000000e+23
9.104700000000e+02,1.854540000000e+23
9.296000000000e+02,1.951560000000e+23
9.489900000000e+02,2.050840000000e+23
9.686400000000e+02,2.156870000000e+23
9.885700000000e+02,2.268210000000e+23
1.008760000000e+03,2.385870000000e+23
1.029230000000e+03,2.516380000000e+23
1.049970000000e+03,2.639050000000e+23
1.070990000000e+03,2.773960000000e+23
1.092300000000e+03,2.912210000000e+23
1.113890000000e+03,3.060430000000e+23
1.135790000000e+03,3.210570000000e+23
1.158030000000e+03,3.361620000000e+23
1.180580000000e+03,3.516440000000e+23
1.203470000000e+03,3.669320000000e+23
1.226800000000e+03,3.816260000000e+23
1.250520000000e+03,3.992620000000e+23
1.274730000000e+03,4.157020000000e+23
1.325040000000e+03,4.417240000000e+23
1.351310000000e+03,4.520330000000e+23
1.378490000000e+03,4.615540000000e+23
1.406710000000e+03,4.659550000000e+23
1.436350000000e+03,4.725810000000e+23
1.467340000000e+03,4.719810000000e+23
1.499940000000e+03,4.671080000000e+23
1.534520000000e+03,4.458370000000e+23
1.570550000000e+03,4.543480000000e+23
1.652670000000e+03,4.216650000000e+23
1.696530000000e+03,4.035240000000e+23
1.743970000000e+03,3.844250000000e+23
1.794680000000e+03,3.646980000000e+23
1.849000000000e+03,3.453220000000e+23
1.906790000000e+03,3.269620000000e+23
1.968230000000e+03,3.099650000000e+23
2.033390000000e+03,2.946210000000e+23
2.102800000000e+03,2.813740000000e+23
2.176420000000e+03,2.703810000000e+23
2.253800000000e+03,2.614090000000e+23
2.704200000000e+03,2.459490000000e+23
2.811590000000e+03,2.474120000000e+23
2.920970000000e+03,2.495970000000e+23
3.035270000000e+03,2.525640000000e+23
3.154810000000e+03,2.562010000000e+23
3.279700000000e+03,2.603940000000e+23
3.409910000000e+03,2.650460000000e+23
3.545680000000e+03,2.700320000000e+23
