# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_3b635910c886d8f504c6"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "76Ge^+(2P)"
# neutral: "He"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 75.9214, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-12-28 21:31:05"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14079_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "86008ab73843e4b83defadfcee5192c52592dd944218aa019843e489fc25f46f"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,1.379900000000e+21
8.000000000000e-02,1.380000000000e+21
3.300000000000e-01,1.380300000000e+21
5.900000000000e-01,1.381100000000e+21
1.020000000000e+00,1.383500000000e+21
1.430000000000e+00,1.387000000000e+21
2.010000000000e+00,1.393600000000e+21
3.330000000000e+00,1.417400000000e+21
5.060000000000e+00,1.466400000000e+21
5.570000000000e+00,1.484500000000e+21
6.120000000000e+00,1.506300000000e+21
6.430000000000e+00,1.519100000000e+21
6.750000000000e+00,1.533300000000e+21
7.090000000000e+00,1.548800000000e+21
7.440000000000e+00,1.565900000000e+21
7.820000000000e+00,1.584700000000e+21
1.048000000000e+01,1.743500000000e+21
1.091000000000e+01,1.772600000000e+21
1.135000000000e+01,1.803800000000e+21
1.158000000000e+01,1.820400000000e+21
1.305000000000e+01,1.932900000000e+21
1.358000000000e+01,1.976000000000e+21
1.386000000000e+01,1.998800000000e+21
1.414000000000e+01,2.022300000000e+21
1.442000000000e+01,2.046600000000e+21
1.471000000000e+01,2.071800000000e+21
1.501000000000e+01,2.097800000000e+21
1.532000000000e+01,2.124600000000e+21
1.563000000000e+01,2.152400000000e+21
1.595000000000e+01,2.181000000000e+21
1.627000000000e+01,2.210600000000e+21
1.660000000000e+01,2.241100000000e+21
1.694000000000e+01,2.272600000000e+21
1.728000000000e+01,2.305000000000e+21
1.764000000000e+01,2.338400000000e+21
1.800000000000e+01,2.372800000000e+21
1.837000000000e+01,2.408300000000e+21
1.874000000000e+01,2.444700000000e+21
1.913000000000e+01,2.482200000000e+21
1.952000000000e+01,2.520700000000e+21
1.993000000000e+01,2.560200000000e+21
2.034000000000e+01,2.600800000000e+21
2.076000000000e+01,2.642400000000e+21
2.119000000000e+01,2.685200000000e+21
2.163000000000e+01,2.728900000000e+21
2.208000000000e+01,2.773600000000e+21
2.254000000000e+01,2.819400000000e+21
2.302000000000e+01,2.866200000000e+21
2.350000000000e+01,2.914000000000e+21
2.400000000000e+01,2.962800000000e+21
2.451000000000e+01,3.012500000000e+21
2.503000000000e+01,3.063200000000e+21
2.556000000000e+01,3.114800000000e+21
2.611000000000e+01,3.167400000000e+21
2.667000000000e+01,3.220800000000e+21
2.724000000000e+01,3.275100000000e+21
2.783000000000e+01,3.330300000000e+21
2.844000000000e+01,3.386300000000e+21
2.906000000000e+01,3.443100000000e+21
2.969000000000e+01,3.500600000000e+21
3.035000000000e+01,3.558900000000e+21
3.102000000000e+01,3.617900000000e+21
3.171000000000e+01,3.679600000000e+21
3.242000000000e+01,3.740300000000e+21
3.315000000000e+01,3.799300000000e+21
3.390000000000e+01,3.861100000000e+21
3.467000000000e+01,3.923600000000e+21
3.547000000000e+01,3.986800000000e+21
3.628000000000e+01,4.050600000000e+21
3.712000000000e+01,4.109200000000e+21
3.799000000000e+01,4.180600000000e+21
3.888000000000e+01,4.246800000000e+21
3.980000000000e+01,4.313700000000e+21
4.074000000000e+01,4.381600000000e+21
4.172000000000e+01,4.450600000000e+21
4.272000000000e+01,4.520200000000e+21
4.376000000000e+01,4.591000000000e+21
4.482000000000e+01,4.658100000000e+21
4.592000000000e+01,4.730700000000e+21
4.706000000000e+01,4.811500000000e+21
4.823000000000e+01,4.887700000000e+21
4.943000000000e+01,4.966000000000e+21
5.068000000000e+01,5.045900000000e+21
5.196000000000e+01,5.127400000000e+21
5.329000000000e+01,5.211800000000e+21
5.465000000000e+01,5.297900000000e+21
5.606000000000e+01,5.386600000000e+21
5.752000000000e+01,5.479000000000e+21
5.903000000000e+01,5.573400000000e+21
6.057000000000e+01,5.670400000000e+21
6.217000000000e+01,5.771100000000e+21
6.382000000000e+01,5.876100000000e+21
6.552000000000e+01,5.984500000000e+21
6.728000000000e+01,6.096000000000e+21
6.909000000000e+01,6.212900000000e+21
7.096000000000e+01,6.335000000000e+21
7.288000000000e+01,6.461300000000e+21
7.487000000000e+01,6.592300000000e+21
7.692000000000e+01,6.728100000000e+21
7.904000000000e+01,6.872000000000e+21
8.122000000000e+01,7.018700000000e+21
8.348000000000e+01,7.178700000000e+21
8.578000000000e+01,7.172300000000e+21
8.817000000000e+01,7.503200000000e+21
9.063000000000e+01,7.671200000000e+21
9.316000000000e+01,7.856800000000e+21
9.578000000000e+01,8.044100000000e+21
9.847000000000e+01,8.243300000000e+21
1.012400000000e+02,8.446700000000e+21
1.040900000000e+02,8.666300000000e+21
1.070300000000e+02,8.884400000000e+21
1.100500000000e+02,9.116300000000e+21
1.131700000000e+02,9.361700000000e+21
1.163700000000e+02,9.613100000000e+21
1.230600000000e+02,1.015280000000e+22
1.265500000000e+02,1.043810000000e+22
1.301200000000e+02,1.078210000000e+22
1.338300000000e+02,1.104610000000e+22
1.376200000000e+02,1.137880000000e+22
1.415200000000e+02,1.170940000000e+22
1.455300000000e+02,1.206190000000e+22
1.496500000000e+02,1.242660000000e+22
1.538800000000e+02,1.282640000000e+22
1.582300000000e+02,1.320700000000e+22
1.627000000000e+02,1.362170000000e+22
1.720100000000e+02,1.449900000000e+22
1.768400000000e+02,1.497300000000e+22
1.818000000000e+02,1.546830000000e+22
1.869000000000e+02,1.597100000000e+22
1.921300000000e+02,1.650250000000e+22
1.975000000000e+02,1.706660000000e+22
2.030000000000e+02,1.763300000000e+22
2.086500000000e+02,1.823630000000e+22
2.144500000000e+02,1.886230000000e+22
2.203900000000e+02,1.951580000000e+22
2.264800000000e+02,2.019790000000e+22
2.327200000000e+02,2.091100000000e+22
2.389800000000e+02,2.161840000000e+22
2.456800000000e+02,2.242570000000e+22
2.524000000000e+02,2.316620000000e+22
2.592900000000e+02,2.407300000000e+22
2.663400000000e+02,2.495660000000e+22
2.735700000000e+02,2.587400000000e+22
2.809700000000e+02,2.681250000000e+22
2.885400000000e+02,2.783470000000e+22
2.963000000000e+02,2.888070000000e+22
3.042300000000e+02,2.997300000000e+22
3.123600000000e+02,3.110920000000e+22
3.206700000000e+02,3.230230000000e+22
