# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_72754b86c6398781e142"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "76Ge^+(2P)"
# neutral: "He"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 75.9214, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-12-28 21:31:05"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14079_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "e4a2add3f406bc0c6a19b0981da55754b6e02745ef9b2e31d2b154a9f5cb0de4"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,5.268024720563e+22
8.000000000000e-02,5.268024720563e+22
3.300000000000e-01,5.268024720563e+22
5.900000000000e-01,5.268024720563e+22
1.020000000000e+00,5.268024720563e+22
1.430000000000e+00,5.268024720563e+22
2.010000000000e+00,5.268024720563e+22
3.330000000000e+00,5.267759555982e+22
5.060000000000e+00,5.267229226821e+22
5.570000000000e+00,5.266964062241e+22
6.120000000000e+00,5.266698897660e+22
6.430000000000e+00,5.266433733080e+22
6.750000000000e+00,5.266168568499e+22
7.090000000000e+00,5.265903403919e+22
7.440000000000e+00,5.265638239338e+22
7.820000000000e+00,5.265107910177e+22
1.048000000000e+01,5.261395606050e+22
1.091000000000e+01,5.260600112309e+22
1.135000000000e+01,5.259539453987e+22
1.158000000000e+01,5.259009124826e+22
1.305000000000e+01,5.254766491538e+22
1.358000000000e+01,5.252910339475e+22
1.386000000000e+01,5.251849681153e+22
1.414000000000e+01,5.250789022831e+22
1.442000000000e+01,5.249728364509e+22
1.471000000000e+01,5.248667706187e+22
1.501000000000e+01,5.247341883284e+22
1.532000000000e+01,5.246016060382e+22
1.563000000000e+01,5.244425072899e+22
1.595000000000e+01,5.242834085416e+22
1.627000000000e+01,5.241243097933e+22
1.660000000000e+01,5.239386945870e+22
1.694000000000e+01,5.237530793806e+22
1.728000000000e+01,5.235409477162e+22
1.764000000000e+01,5.233288160519e+22
1.800000000000e+01,5.230901679294e+22
1.837000000000e+01,5.228515198070e+22
1.874000000000e+01,5.225863552265e+22
1.913000000000e+01,5.222946741879e+22
1.952000000000e+01,5.220029931494e+22
1.993000000000e+01,5.216847956528e+22
2.034000000000e+01,5.213400816982e+22
2.076000000000e+01,5.209953677436e+22
2.119000000000e+01,5.205976208728e+22
2.163000000000e+01,5.201998740021e+22
2.208000000000e+01,5.197756106733e+22
2.254000000000e+01,5.192983144284e+22
2.302000000000e+01,5.188210181836e+22
2.350000000000e+01,5.182906890226e+22
2.400000000000e+01,5.177603598616e+22
2.451000000000e+01,5.171769977845e+22
2.503000000000e+01,5.165671192494e+22
2.556000000000e+01,5.159042077982e+22
2.611000000000e+01,5.152147798889e+22
2.667000000000e+01,5.144988355216e+22
2.724000000000e+01,5.137298582382e+22
2.783000000000e+01,5.129343644967e+22
2.844000000000e+01,5.120593213811e+22
2.906000000000e+01,5.111577618074e+22
2.969000000000e+01,5.102296857757e+22
3.035000000000e+01,5.092220603699e+22
3.102000000000e+01,5.081879185060e+22
3.171000000000e+01,5.070742272679e+22
3.242000000000e+01,5.059075031138e+22
3.315000000000e+01,5.047142625016e+22
3.390000000000e+01,5.034414725152e+22
3.467000000000e+01,5.021156496128e+22
3.547000000000e+01,5.007367937942e+22
3.628000000000e+01,4.992783886016e+22
3.712000000000e+01,4.977669504928e+22
3.799000000000e+01,4.962024794679e+22
3.888000000000e+01,4.945584590689e+22
3.980000000000e+01,4.928614057537e+22
4.074000000000e+01,4.910848030645e+22
4.172000000000e+01,4.892286510010e+22
4.272000000000e+01,4.873459824796e+22
4.376000000000e+01,4.853572481259e+22
4.482000000000e+01,4.833419973142e+22
4.592000000000e+01,4.812471971283e+22
4.706000000000e+01,4.790463311103e+22
4.823000000000e+01,4.767924321761e+22
4.943000000000e+01,4.745120167839e+22
5.068000000000e+01,4.721255355595e+22
5.196000000000e+01,4.697125378771e+22
5.329000000000e+01,4.672199908205e+22
5.465000000000e+01,4.646744108478e+22
5.606000000000e+01,4.620757979590e+22
5.752000000000e+01,4.593976356961e+22
5.903000000000e+01,4.566399240590e+22
6.057000000000e+01,4.539352453380e+22
6.217000000000e+01,4.511245007849e+22
6.382000000000e+01,4.482607233156e+22
6.552000000000e+01,4.453704293883e+22
6.728000000000e+01,4.424271025449e+22
6.909000000000e+01,4.394572592434e+22
7.096000000000e+01,4.364343830258e+22
7.288000000000e+01,4.334115068082e+22
7.487000000000e+01,4.303355976746e+22
7.692000000000e+01,4.272596885409e+22
7.904000000000e+01,4.241307464912e+22
8.122000000000e+01,4.210018044414e+22
8.348000000000e+01,4.178463459336e+22
8.578000000000e+01,4.147969532580e+22
8.817000000000e+01,4.115354289180e+22
9.063000000000e+01,4.083799704101e+22
9.316000000000e+01,4.051979954443e+22
9.578000000000e+01,4.020425369365e+22
9.847000000000e+01,3.988605619706e+22
1.012400000000e+02,3.956785870048e+22
1.040900000000e+02,3.925231284969e+22
1.070300000000e+02,3.893676699891e+22
1.100500000000e+02,3.862387279394e+22
1.131700000000e+02,3.831097858896e+22
1.163700000000e+02,3.800073602979e+22
1.230600000000e+02,3.738555420306e+22
1.265500000000e+02,3.708061493549e+22
1.301200000000e+02,3.678363060535e+22
1.338300000000e+02,3.647603969198e+22
1.376200000000e+02,3.617905536183e+22
1.415200000000e+02,3.588472267749e+22
1.455300000000e+02,3.559304163895e+22
1.496500000000e+02,3.530401224622e+22
1.538800000000e+02,3.502028614510e+22
1.582300000000e+02,3.473656004398e+22
1.627000000000e+02,3.445548558866e+22
1.720100000000e+02,3.390659490705e+22
1.768400000000e+02,3.363877868076e+22
1.818000000000e+02,3.337361410027e+22
1.869000000000e+02,3.311110116558e+22
1.921300000000e+02,3.285123987670e+22
1.975000000000e+02,3.259668187944e+22
2.030000000000e+02,3.234477552797e+22
2.086500000000e+02,3.211143069714e+22
2.144500000000e+02,3.185422105407e+22
2.203900000000e+02,3.161292128582e+22
2.264800000000e+02,3.137692480919e+22
2.327200000000e+02,3.114623162416e+22
2.389800000000e+02,3.093675160558e+22
2.456800000000e+02,3.069280019153e+22
2.524000000000e+02,3.047271358972e+22
2.592900000000e+02,3.025262698792e+22
2.663400000000e+02,3.004049532353e+22
