# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_4799bc7a2b9f9c3ed016"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "CH2^+"
# neutral: "He"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "Compiled NDL of Ellis et al., At. Data Nucl. Data Tables 31 (1984) 113."
# source_family: "compiled ndl of ellis et al., at. data nucl. data tables 31 (1984) 113."
# comment: ""
# updated: "2010-05-14 15:04:20"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_051_209_209/001_diffusion_x_gas_density.txt"
# source_file_sha256: "49905bcb8a704e3cecf6f82986c250a2469b464228b342fafcf58c4265843dc5"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e+00,2.550000000000e+20
6.000000000000e+00,2.660000000000e+20
8.000000000000e+00,3.010000000000e+20
1.000000000000e+01,3.400000000000e+20
1.500000000000e+01,4.650000000000e+20
2.000000000000e+01,6.320000000000e+20
2.500000000000e+01,8.190000000000e+20
3.000000000000e+01,9.100000000000e+20
4.000000000000e+01,1.090000000000e+21
5.000000000000e+01,1.320000000000e+21
6.000000000000e+01,1.530000000000e+21
7.000000000000e+01,1.740000000000e+21
8.000000000000e+01,1.930000000000e+21
9.000000000000e+01,2.120000000000e+21
