# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_8bb164f6c8bee1773010"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "12C(2P3/2)^+"
# neutral: "Kr"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 100 K"
# group_comment: "Excited State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "excited state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 12, M = 83.798, &alpha; = 2.4953."
# updated: "2021-12-19 21:03:59"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_1383_neutral_38_39_40/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "fc60d6378236be3967a1b0b432f63a369e555e9ea286e0d889f1c1c4c266db3e"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,7.526431452582e+21
7.000000000000e-02,7.526431452582e+21
3.000000000000e-01,7.526431452582e+21
5.200000000000e-01,7.526431452582e+21
9.100000000000e-01,7.526431452582e+21
1.270000000000e+00,7.526431452582e+21
1.770000000000e+00,7.526431452582e+21
2.130000000000e+00,7.526166288002e+21
2.550000000000e+00,7.526166288002e+21
2.940000000000e+00,7.526166288002e+21
3.380000000000e+00,7.525901123421e+21
3.890000000000e+00,7.525901123421e+21
4.470000000000e+00,7.525635958841e+21
4.920000000000e+00,7.525635958841e+21
5.410000000000e+00,7.525370794260e+21
5.680000000000e+00,7.525105629680e+21
5.960000000000e+00,7.525105629680e+21
6.260000000000e+00,7.524840465099e+21
6.570000000000e+00,7.524575300519e+21
6.900000000000e+00,7.524310135938e+21
7.250000000000e+00,7.524310135938e+21
7.610000000000e+00,7.524044971358e+21
7.990000000000e+00,7.523514642197e+21
8.390000000000e+00,7.523249477616e+21
8.810000000000e+00,7.522984313036e+21
9.250000000000e+00,7.522453983875e+21
9.440000000000e+00,7.522188819294e+21
9.620000000000e+00,7.521923654714e+21
9.820000000000e+00,7.521923654714e+21
1.001000000000e+01,7.521658490133e+21
1.021000000000e+01,7.521393325553e+21
1.042000000000e+01,7.521128160972e+21
1.063000000000e+01,7.520862996392e+21
1.084000000000e+01,7.520597831811e+21
1.106000000000e+01,7.520332667231e+21
1.128000000000e+01,7.520067502650e+21
1.151000000000e+01,7.519537173489e+21
1.174000000000e+01,7.519272008909e+21
1.197000000000e+01,7.519006844328e+21
1.221000000000e+01,7.518741679748e+21
1.246000000000e+01,7.518211350587e+21
1.271000000000e+01,7.517946186006e+21
1.296000000000e+01,7.517415856845e+21
1.322000000000e+01,7.517150692265e+21
1.348000000000e+01,7.516620363104e+21
1.376000000000e+01,7.516090033943e+21
1.403000000000e+01,7.515559704782e+21
1.431000000000e+01,7.515029375621e+21
1.460000000000e+01,7.514764211041e+21
1.489000000000e+01,7.513968717299e+21
1.519000000000e+01,7.513703552719e+21
1.550000000000e+01,7.512908058977e+21
1.581000000000e+01,7.512377729816e+21
1.612000000000e+01,7.511847400655e+21
1.645000000000e+01,7.511317071494e+21
1.678000000000e+01,7.510521577753e+21
1.712000000000e+01,7.509991248592e+21
1.746000000000e+01,7.509195754850e+21
1.781000000000e+01,7.508665425689e+21
1.817000000000e+01,7.507869931948e+21
1.853000000000e+01,7.507339602787e+21
1.891000000000e+01,7.506544109045e+21
1.929000000000e+01,7.506013779884e+21
1.967000000000e+01,7.505218286143e+21
2.007000000000e+01,7.504422792401e+21
2.047000000000e+01,7.503892463240e+21
2.088000000000e+01,7.503096969499e+21
2.131000000000e+01,7.502566640338e+21
2.173000000000e+01,7.502036311177e+21
2.217000000000e+01,7.501240817436e+21
2.262000000000e+01,7.500710488275e+21
2.307000000000e+01,7.500180159114e+21
2.354000000000e+01,7.499649829953e+21
2.401000000000e+01,7.499119500792e+21
2.449000000000e+01,7.498854336211e+21
2.499000000000e+01,7.498589171631e+21
2.549000000000e+01,7.498324007050e+21
2.600000000000e+01,7.498058842470e+21
2.653000000000e+01,7.498058842470e+21
2.706000000000e+01,7.498058842470e+21
2.760000000000e+01,7.498058842470e+21
2.816000000000e+01,7.498324007050e+21
2.873000000000e+01,7.498589171631e+21
2.930000000000e+01,7.499119500792e+21
2.989000000000e+01,7.499914994533e+21
3.049000000000e+01,7.500710488275e+21
3.110000000000e+01,7.501771146597e+21
3.173000000000e+01,7.503096969499e+21
3.789000000000e+01,7.524310135938e+21
3.864000000000e+01,7.528287604645e+21
3.940000000000e+01,7.531999908772e+21
4.018000000000e+01,7.536242542060e+21
4.097000000000e+01,7.540750339928e+21
4.177000000000e+01,7.545523302377e+21
4.259000000000e+01,7.550826593987e+21
4.342000000000e+01,7.556129885597e+21
4.427000000000e+01,7.561698341787e+21
4.513000000000e+01,7.567266797977e+21
4.600000000000e+01,7.573365583328e+21
4.689000000000e+01,7.578668874938e+21
4.779000000000e+01,7.585563154031e+21
5.058000000000e+01,7.605185332987e+21
5.154000000000e+01,7.611814447499e+21
5.252000000000e+01,7.618443562011e+21
5.351000000000e+01,7.625337841104e+21
5.452000000000e+01,7.631966955616e+21
5.554000000000e+01,7.638596070129e+21
5.658000000000e+01,7.644960020060e+21
5.763000000000e+01,7.651589134573e+21
5.871000000000e+01,7.657953084504e+21
6.203000000000e+01,7.675719111397e+21
6.317000000000e+01,7.682348225909e+21
6.434000000000e+01,7.688712175841e+21
6.552000000000e+01,7.694545796612e+21
6.673000000000e+01,7.700644581963e+21
6.796000000000e+01,7.706213038153e+21
6.921000000000e+01,7.712046658924e+21
7.048000000000e+01,7.718940938017e+21
7.178000000000e+01,7.725039723368e+21
7.310000000000e+01,7.731403673300e+21
7.445000000000e+01,7.738563116973e+21
7.583000000000e+01,7.744131573163e+21
7.724000000000e+01,7.750230358514e+21
7.868000000000e+01,7.757389802187e+21
8.015000000000e+01,7.765609904183e+21
8.165000000000e+01,7.773299677017e+21
8.319000000000e+01,7.781784943592e+21
8.477000000000e+01,7.789474716426e+21
8.639000000000e+01,7.797429653841e+21
8.805000000000e+01,7.805914920417e+21
8.974000000000e+01,7.814135022412e+21
9.146000000000e+01,7.824476441051e+21
9.323000000000e+01,7.834817859690e+21
9.503000000000e+01,7.847545759553e+21
9.877000000000e+01,7.875653205085e+21
1.006700000000e+02,7.891828244495e+21
1.026400000000e+02,7.908268448485e+21
1.046400000000e+02,7.926034475378e+21
1.066600000000e+02,7.946717312656e+21
1.087000000000e+02,7.968460808256e+21
1.108000000000e+02,7.991530126759e+21
1.151000000000e+02,8.040055244988e+21
1.173100000000e+02,8.063920057232e+21
1.195500000000e+02,8.089641021539e+21
1.217900000000e+02,8.118013631652e+21
1.240700000000e+02,8.145590748022e+21
1.263700000000e+02,8.172637535232e+21
1.287000000000e+02,8.198623664120e+21
1.310300000000e+02,8.225140122169e+21
1.333700000000e+02,8.250595921896e+21
1.357200000000e+02,8.274195569559e+21
1.380900000000e+02,8.298590710964e+21
1.404700000000e+02,8.321660029467e+21
1.428700000000e+02,8.343668689647e+21
1.452900000000e+02,8.362760539442e+21
1.477100000000e+02,8.382647882979e+21
1.501500000000e+02,8.401474568194e+21
1.526200000000e+02,8.419240595086e+21
1.625200000000e+02,8.490304702657e+21
1.677500000000e+02,8.523715439799e+21
1.703300000000e+02,8.541216302111e+21
1.729300000000e+02,8.558982329004e+21
1.755500000000e+02,8.577543849638e+21
1.782200000000e+02,8.595044711950e+21
1.809100000000e+02,8.615197220067e+21
1.836300000000e+02,8.635614892765e+21
1.863800000000e+02,8.656297730043e+21
1.891700000000e+02,8.679101883965e+21
1.920100000000e+02,8.703231860789e+21
1.948700000000e+02,8.727892166775e+21
1.977700000000e+02,8.753347966502e+21
2.007200000000e+02,8.780129589131e+21
2.037300000000e+02,8.808502199243e+21
2.067900000000e+02,8.837935467677e+21
2.099300000000e+02,8.868429394434e+21
2.131400000000e+02,8.899453650351e+21
2.164200000000e+02,8.932068893751e+21
2.197800000000e+02,8.965214466312e+21
2.232200000000e+02,8.999155532614e+21
2.267600000000e+02,9.033096598917e+21
2.303700000000e+02,9.068893817283e+21
2.341100000000e+02,9.102569719005e+21
2.379600000000e+02,9.135450126985e+21
2.418900000000e+02,9.169921522449e+21
2.459500000000e+02,9.202801930429e+21
2.501000000000e+02,9.235947502991e+21
2.544000000000e+02,9.266706594327e+21
2.588400000000e+02,9.295874698181e+21
2.728800000000e+02,9.377810553552e+21
2.778400000000e+02,9.403796682440e+21
2.829300000000e+02,9.428191823845e+21
2.882300000000e+02,9.447018509059e+21
