# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_34e9b51e43dff5caf208"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "12C(2P)^+"
# neutral: "Kr"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "Statistical State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "statistical state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 12, M = 83.798, &alpha; = 2.4953."
# updated: "2021-12-19 20:58:39"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_656_neutral_38_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "912bddb2e19ae028c4283dcfd49c5f341b89a96efe4ce428e415dd33c24c5a50"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,1.956000000000e+20
1.300000000000e-01,1.956000000000e+20
5.200000000000e-01,1.956000000000e+20
9.000000000000e-01,1.957000000000e+20
1.580000000000e+00,1.960000000000e+20
3.100000000000e+00,1.970000000000e+20
3.720000000000e+00,1.976000000000e+20
4.460000000000e+00,1.984000000000e+20
5.130000000000e+00,1.993000000000e+20
5.900000000000e+00,2.005000000000e+20
6.790000000000e+00,2.021000000000e+20
7.800000000000e+00,2.042000000000e+20
8.590000000000e+00,2.059000000000e+20
9.450000000000e+00,2.081000000000e+20
9.920000000000e+00,2.094000000000e+20
1.094000000000e+01,2.124000000000e+20
1.148000000000e+01,2.141000000000e+20
1.206000000000e+01,2.160000000000e+20
1.266000000000e+01,2.180000000000e+20
1.330000000000e+01,2.203000000000e+20
1.397000000000e+01,2.229000000000e+20
1.467000000000e+01,2.257000000000e+20
1.540000000000e+01,2.287000000000e+20
1.617000000000e+01,2.321000000000e+20
1.650000000000e+01,2.336000000000e+20
1.683000000000e+01,2.351000000000e+20
1.717000000000e+01,2.367000000000e+20
1.751000000000e+01,2.384000000000e+20
1.786000000000e+01,2.401000000000e+20
1.822000000000e+01,2.419000000000e+20
1.859000000000e+01,2.438000000000e+20
1.896000000000e+01,2.457000000000e+20
1.934000000000e+01,2.477000000000e+20
1.973000000000e+01,2.498000000000e+20
2.013000000000e+01,2.520000000000e+20
2.053000000000e+01,2.543000000000e+20
2.095000000000e+01,2.567000000000e+20
2.137000000000e+01,2.592000000000e+20
2.180000000000e+01,2.617000000000e+20
2.223000000000e+01,2.644000000000e+20
2.268000000000e+01,2.672000000000e+20
2.314000000000e+01,2.701000000000e+20
2.360000000000e+01,2.731000000000e+20
2.408000000000e+01,2.762000000000e+20
2.456000000000e+01,2.795000000000e+20
2.660000000000e+01,2.939000000000e+20
2.714000000000e+01,2.979000000000e+20
2.768000000000e+01,3.020000000000e+20
2.824000000000e+01,3.063000000000e+20
2.881000000000e+01,3.108000000000e+20
3.059000000000e+01,3.254000000000e+20
3.120000000000e+01,3.307000000000e+20
3.313000000000e+01,3.478000000000e+20
3.379000000000e+01,3.539000000000e+20
3.447000000000e+01,3.604000000000e+20
3.660000000000e+01,3.812000000000e+20
3.734000000000e+01,3.887000000000e+20
3.809000000000e+01,3.965000000000e+20
3.886000000000e+01,4.046000000000e+20
3.964000000000e+01,4.130000000000e+20
4.044000000000e+01,4.217000000000e+20
4.126000000000e+01,4.308000000000e+20
4.209000000000e+01,4.402000000000e+20
4.294000000000e+01,4.500000000000e+20
4.380000000000e+01,4.601000000000e+20
4.559000000000e+01,4.815000000000e+20
4.651000000000e+01,4.928000000000e+20
4.744000000000e+01,5.045000000000e+20
4.840000000000e+01,5.166000000000e+20
4.938000000000e+01,5.291000000000e+20
5.037000000000e+01,5.421000000000e+20
5.139000000000e+01,5.555000000000e+20
5.242000000000e+01,5.694000000000e+20
5.348000000000e+01,5.838000000000e+20
5.456000000000e+01,5.986000000000e+20
5.566000000000e+01,6.139000000000e+20
5.679000000000e+01,6.299000000000e+20
5.794000000000e+01,6.461000000000e+20
5.911000000000e+01,6.630000000000e+20
6.031000000000e+01,6.805000000000e+20
6.153000000000e+01,6.986000000000e+20
6.278000000000e+01,7.173000000000e+20
6.405000000000e+01,7.367000000000e+20
6.536000000000e+01,7.568000000000e+20
6.669000000000e+01,7.777000000000e+20
6.805000000000e+01,7.991000000000e+20
6.944000000000e+01,8.216000000000e+20
7.086000000000e+01,8.450000000000e+20
7.231000000000e+01,8.691000000000e+20
7.379000000000e+01,8.946000000000e+20
7.531000000000e+01,9.213000000000e+20
7.845000000000e+01,9.784000000000e+20
8.008000000000e+01,1.009300000000e+21
8.174000000000e+01,1.042100000000e+21
8.696000000000e+01,1.154300000000e+21
9.064000000000e+01,1.243500000000e+21
9.851000000000e+01,1.471000000000e+21
1.006000000000e+02,1.542400000000e+21
1.027200000000e+02,1.621300000000e+21
1.048700000000e+02,1.707800000000e+21
1.070700000000e+02,1.804100000000e+21
1.093000000000e+02,1.911200000000e+21
1.115400000000e+02,2.029000000000e+21
1.138700000000e+02,2.162900000000e+21
1.161900000000e+02,2.309300000000e+21
1.209800000000e+02,2.656200000000e+21
1.234100000000e+02,2.864100000000e+21
1.258700000000e+02,3.089000000000e+21
1.283300000000e+02,3.331100000000e+21
1.308100000000e+02,3.590500000000e+21
1.332900000000e+02,3.857200000000e+21
1.357800000000e+02,4.167900000000e+21
1.382500000000e+02,4.463600000000e+21
1.407200000000e+02,4.780100000000e+21
1.431800000000e+02,5.096000000000e+21
1.456300000000e+02,5.414900000000e+21
1.480700000000e+02,5.731700000000e+21
1.626800000000e+02,7.603000000000e+21
1.651700000000e+02,7.939600000000e+21
1.675900000000e+02,8.223700000000e+21
1.751100000000e+02,9.140500000000e+21
1.801400000000e+02,9.693500000000e+21
1.983300000000e+02,1.178900000000e+22
2.010900000000e+02,1.213970000000e+22
2.037100000000e+02,1.249290000000e+22
2.063600000000e+02,1.277140000000e+22
2.090400000000e+02,1.309760000000e+22
2.117500000000e+02,1.345730000000e+22
2.144500000000e+02,1.381990000000e+22
2.171700000000e+02,1.419660000000e+22
2.199000000000e+02,1.458300000000e+22
2.227100000000e+02,1.499530000000e+22
2.255700000000e+02,1.543290000000e+22
2.285000000000e+02,1.588550000000e+22
2.315000000000e+02,1.637090000000e+22
2.345800000000e+02,1.687920000000e+22
2.377200000000e+02,1.740710000000e+22
2.409500000000e+02,1.800670000000e+22
2.443100000000e+02,1.853270000000e+22
2.477500000000e+02,1.913090000000e+22
2.513700000000e+02,1.976670000000e+22
2.549600000000e+02,2.039260000000e+22
2.587600000000e+02,2.106440000000e+22
2.626200000000e+02,2.172530000000e+22
2.665600000000e+02,2.238550000000e+22
2.708000000000e+02,2.314700000000e+22
2.751000000000e+02,2.394130000000e+22
2.794900000000e+02,2.468020000000e+22
2.841000000000e+02,2.542510000000e+22
2.887900000000e+02,2.618190000000e+22
2.936600000000e+02,2.701060000000e+22
2.987000000000e+02,2.785340000000e+22
3.039800000000e+02,2.873780000000e+22
3.093800000000e+02,2.961920000000e+22
3.149400000000e+02,3.049730000000e+22
3.206800000000e+02,3.148210000000e+22
3.266500000000e+02,3.241390000000e+22
3.327900000000e+02,3.343010000000e+22
3.390700000000e+02,3.444520000000e+22
3.455900000000e+02,3.551120000000e+22
3.523400000000e+02,3.659240000000e+22
3.592700000000e+02,3.769530000000e+22
3.664200000000e+02,3.884470000000e+22
3.737700000000e+02,4.001180000000e+22
3.813800000000e+02,4.121860000000e+22
3.892100000000e+02,4.246710000000e+22
3.972600000000e+02,4.372960000000e+22
4.056000000000e+02,4.502280000000e+22
4.141600000000e+02,4.635590000000e+22
4.230000000000e+02,4.770260000000e+22
4.320400000000e+02,4.905770000000e+22
4.413900000000e+02,5.045350000000e+22
