# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_78d83deaa363d5964a6a"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "13C(2P3/2)^+"
# neutral: "Kr"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "Excited State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "excited state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 13.0034, M = 83.798, &alpha; = 2.4953."
# updated: "2021-12-19 21:25:07"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13997_neutral_38_39_40/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "166d70400fce6ebfe2f27482fd4e10c5193184691dfe395f9413668016969e76"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,1.894000000000e+20
1.300000000000e-01,1.894000000000e+20
5.300000000000e-01,1.895000000000e+20
9.300000000000e-01,1.895000000000e+20
1.630000000000e+00,1.898000000000e+20
2.280000000000e+00,1.901000000000e+20
3.200000000000e+00,1.908000000000e+20
3.840000000000e+00,1.914000000000e+20
4.610000000000e+00,1.922000000000e+20
5.300000000000e+00,1.932000000000e+20
6.090000000000e+00,1.944000000000e+20
7.000000000000e+00,1.960000000000e+20
8.060000000000e+00,1.981000000000e+20
8.860000000000e+00,1.999000000000e+20
9.750000000000e+00,2.021000000000e+20
1.023000000000e+01,2.034000000000e+20
1.075000000000e+01,2.049000000000e+20
1.128000000000e+01,2.065000000000e+20
1.185000000000e+01,2.082000000000e+20
1.244000000000e+01,2.102000000000e+20
1.306000000000e+01,2.123000000000e+20
1.371000000000e+01,2.147000000000e+20
1.440000000000e+01,2.173000000000e+20
1.512000000000e+01,2.202000000000e+20
1.587000000000e+01,2.234000000000e+20
1.667000000000e+01,2.269000000000e+20
1.700000000000e+01,2.285000000000e+20
1.734000000000e+01,2.301000000000e+20
1.769000000000e+01,2.318000000000e+20
1.804000000000e+01,2.335000000000e+20
1.840000000000e+01,2.353000000000e+20
1.877000000000e+01,2.372000000000e+20
1.914000000000e+01,2.392000000000e+20
1.952000000000e+01,2.413000000000e+20
1.991000000000e+01,2.434000000000e+20
2.031000000000e+01,2.457000000000e+20
2.072000000000e+01,2.480000000000e+20
2.113000000000e+01,2.505000000000e+20
2.155000000000e+01,2.530000000000e+20
2.198000000000e+01,2.557000000000e+20
2.242000000000e+01,2.585000000000e+20
2.286000000000e+01,2.614000000000e+20
2.332000000000e+01,2.644000000000e+20
2.378000000000e+01,2.675000000000e+20
2.426000000000e+01,2.708000000000e+20
2.474000000000e+01,2.743000000000e+20
2.523000000000e+01,2.779000000000e+20
2.573000000000e+01,2.816000000000e+20
2.624000000000e+01,2.855000000000e+20
2.676000000000e+01,2.896000000000e+20
2.730000000000e+01,2.939000000000e+20
2.784000000000e+01,2.984000000000e+20
2.839000000000e+01,3.030000000000e+20
2.895000000000e+01,3.079000000000e+20
2.952000000000e+01,3.130000000000e+20
3.011000000000e+01,3.183000000000e+20
3.070000000000e+01,3.239000000000e+20
3.131000000000e+01,3.297000000000e+20
3.193000000000e+01,3.357000000000e+20
3.256000000000e+01,3.421000000000e+20
3.320000000000e+01,3.487000000000e+20
3.385000000000e+01,3.556000000000e+20
3.452000000000e+01,3.629000000000e+20
3.519000000000e+01,3.704000000000e+20
3.588000000000e+01,3.783000000000e+20
3.659000000000e+01,3.866000000000e+20
3.804000000000e+01,4.042000000000e+20
3.877000000000e+01,4.135000000000e+20
3.953000000000e+01,4.232000000000e+20
4.030000000000e+01,4.334000000000e+20
4.108000000000e+01,4.440000000000e+20
4.187000000000e+01,4.550000000000e+20
4.268000000000e+01,4.664000000000e+20
4.351000000000e+01,4.783000000000e+20
4.435000000000e+01,4.907000000000e+20
4.520000000000e+01,5.035000000000e+20
4.607000000000e+01,5.168000000000e+20
