# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_27552d7fce6ccc2c3de2"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "13C(2P)^+"
# neutral: "Kr"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 100 K"
# group_comment: "Statistical State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "statistical state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 13.0034, M = 83.798, &alpha; = 2.4953."
# updated: "2021-12-19 21:16:31"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13995_neutral_37_38_39/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "c37b2d2d080b8cf7acb9a1913505c3c4db2489b96c5d69e95af0e8128600afe8"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,6.350000000000e+19
8.000000000000e-02,6.350000000000e+19
3.100000000000e-01,6.360000000000e+19
5.300000000000e-01,6.360000000000e+19
9.400000000000e-01,6.370000000000e+19
1.310000000000e+00,6.380000000000e+19
1.830000000000e+00,6.400000000000e+19
2.200000000000e+00,6.420000000000e+19
2.640000000000e+00,6.450000000000e+19
3.040000000000e+00,6.480000000000e+19
3.490000000000e+00,6.520000000000e+19
4.020000000000e+00,6.570000000000e+19
4.620000000000e+00,6.650000000000e+19
5.080000000000e+00,6.710000000000e+19
5.590000000000e+00,6.780000000000e+19
5.870000000000e+00,6.820000000000e+19
6.170000000000e+00,6.870000000000e+19
6.470000000000e+00,6.930000000000e+19
6.800000000000e+00,6.980000000000e+19
7.140000000000e+00,7.050000000000e+19
7.500000000000e+00,7.120000000000e+19
7.870000000000e+00,7.200000000000e+19
8.260000000000e+00,7.280000000000e+19
9.110000000000e+00,7.480000000000e+19
9.570000000000e+00,7.600000000000e+19
9.760000000000e+00,7.650000000000e+19
9.960000000000e+00,7.700000000000e+19
1.016000000000e+01,7.750000000000e+19
1.036000000000e+01,7.810000000000e+19
1.057000000000e+01,7.870000000000e+19
1.078000000000e+01,7.930000000000e+19
1.099000000000e+01,7.990000000000e+19
1.121000000000e+01,8.060000000000e+19
1.144000000000e+01,8.120000000000e+19
1.167000000000e+01,8.190000000000e+19
1.190000000000e+01,8.270000000000e+19
1.214000000000e+01,8.340000000000e+19
1.288000000000e+01,8.590000000000e+19
1.314000000000e+01,8.680000000000e+19
1.341000000000e+01,8.770000000000e+19
1.368000000000e+01,8.870000000000e+19
1.395000000000e+01,8.970000000000e+19
1.423000000000e+01,9.070000000000e+19
1.452000000000e+01,9.180000000000e+19
1.481000000000e+01,9.290000000000e+19
1.510000000000e+01,9.410000000000e+19
1.541000000000e+01,9.530000000000e+19
1.572000000000e+01,9.660000000000e+19
1.603000000000e+01,9.790000000000e+19
1.635000000000e+01,9.920000000000e+19
1.668000000000e+01,1.007000000000e+20
1.702000000000e+01,1.021000000000e+20
1.736000000000e+01,1.037000000000e+20
1.771000000000e+01,1.052000000000e+20
1.807000000000e+01,1.069000000000e+20
1.843000000000e+01,1.086000000000e+20
1.880000000000e+01,1.104000000000e+20
1.918000000000e+01,1.122000000000e+20
1.957000000000e+01,1.142000000000e+20
1.996000000000e+01,1.162000000000e+20
2.036000000000e+01,1.183000000000e+20
2.077000000000e+01,1.204000000000e+20
2.119000000000e+01,1.227000000000e+20
2.162000000000e+01,1.250000000000e+20
2.206000000000e+01,1.274000000000e+20
2.250000000000e+01,1.300000000000e+20
2.296000000000e+01,1.326000000000e+20
2.342000000000e+01,1.353000000000e+20
