# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_cd4a43474864f461861e"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "14N16O+(v=0)"
# neutral: "Kr"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Ab Initio Potential (Shifted) of Orek, Klos et al., J. Chem. Phys. 144 (2016) 204303. The calculations were made with the Monchick-Mason Approximation, as discussed by Viehland et al. (2021)."
# source_family: "ab initio potential (shifted) of orek, klos et al., j. chem. phys. 144 (2016) 204303. the calculations were made with the monchick-mason approximation, as discussed by viehland et al. (2021)."
# comment: "Mi = 29.998, M = 83.798, &alpha; = 2.4953."
# updated: "2021-04-28 14:45:34"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13988_neutral_38_39_40/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "054bb1b0020b61793afa8cc8ce954bf761880c5022d88e20459687d809417f27"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,5.299048976480e+21
1.100000000000e-01,5.299048976480e+21
2.800000000000e-01,5.299048976480e+21
7.100000000000e-01,5.299048976480e+21
1.070000000000e+00,5.299048976480e+21
1.600000000000e+00,5.299314141060e+21
2.400000000000e+00,5.299579305641e+21
2.880000000000e+00,5.299844470221e+21
3.450000000000e+00,5.300109634802e+21
3.970000000000e+00,5.300374799382e+21
4.560000000000e+00,5.300905128543e+21
5.250000000000e+00,5.301435457704e+21
6.040000000000e+00,5.302230951446e+21
6.640000000000e+00,5.302761280606e+21
7.300000000000e+00,5.303556774348e+21
8.030000000000e+00,5.304617432670e+21
8.830000000000e+00,5.305943255572e+21
9.710000000000e+00,5.307534243055e+21
1.068000000000e+01,5.309390395119e+21
1.121000000000e+01,5.310716218021e+21
1.177000000000e+01,5.311776876343e+21
1.236000000000e+01,5.313367863826e+21
1.297000000000e+01,5.314958851309e+21
1.362000000000e+01,5.316549838792e+21
1.396000000000e+01,5.317610497114e+21
1.431000000000e+01,5.318671155436e+21
1.466000000000e+01,5.319731813758e+21
1.503000000000e+01,5.321057636660e+21
1.540000000000e+01,5.322383459563e+21
1.578000000000e+01,5.323709282465e+21
1.617000000000e+01,5.325035105368e+21
1.657000000000e+01,5.326626092850e+21
1.698000000000e+01,5.328217080333e+21
1.741000000000e+01,5.329808067816e+21
1.784000000000e+01,5.331664219880e+21
1.828000000000e+01,5.333520371943e+21
1.873000000000e+01,5.335641688587e+21
1.919000000000e+01,5.338028169811e+21
1.967000000000e+01,5.340149486455e+21
2.015000000000e+01,5.342801132260e+21
2.065000000000e+01,5.345452778065e+21
2.116000000000e+01,5.348369588450e+21
2.168000000000e+01,5.351286398836e+21
2.221000000000e+01,5.354468373802e+21
2.276000000000e+01,5.357915513348e+21
2.309000000000e+01,5.360036829992e+21
2.343000000000e+01,5.362423311216e+21
2.378000000000e+01,5.364809792441e+21
2.413000000000e+01,5.367196273665e+21
2.448000000000e+01,5.369847919470e+21
2.484000000000e+01,5.372499565275e+21
2.521000000000e+01,5.375151211080e+21
2.558000000000e+01,5.378068021465e+21
2.595000000000e+01,5.380984831851e+21
2.633000000000e+01,5.383901642236e+21
2.671000000000e+01,5.387083617202e+21
2.710000000000e+01,5.390530756748e+21
2.750000000000e+01,5.393977896294e+21
2.790000000000e+01,5.397425035841e+21
2.830000000000e+01,5.401137339968e+21
2.872000000000e+01,5.405114808675e+21
2.955000000000e+01,5.413069746090e+21
2.998000000000e+01,5.420229189763e+21
3.042000000000e+01,5.424736987631e+21
3.085000000000e+01,5.429509950080e+21
3.130000000000e+01,5.434548077109e+21
3.175000000000e+01,5.436139064592e+21
3.220000000000e+01,5.445154660329e+21
3.267000000000e+01,5.446745647812e+21
3.313000000000e+01,5.456821901870e+21
3.361000000000e+01,5.457882560192e+21
3.408000000000e+01,5.469019472573e+21
3.457000000000e+01,5.469814966314e+21
3.506000000000e+01,5.482277701597e+21
3.555000000000e+01,5.482542866178e+21
3.606000000000e+01,5.496331424363e+21
3.656000000000e+01,5.495801095202e+21
3.708000000000e+01,5.511445805451e+21
3.760000000000e+01,5.510119982548e+21
3.812000000000e+01,5.517809755383e+21
3.865000000000e+01,5.525499528217e+21
3.919000000000e+01,5.532393807309e+21
3.973000000000e+01,5.541144238466e+21
4.028000000000e+01,5.549894669622e+21
4.084000000000e+01,5.558379936197e+21
4.140000000000e+01,5.566865202773e+21
4.196000000000e+01,5.576145963090e+21
4.253000000000e+01,5.585426723407e+21
4.311000000000e+01,5.594972648305e+21
4.369000000000e+01,5.604518573202e+21
4.428000000000e+01,5.614594827261e+21
4.487000000000e+01,5.624671081319e+21
4.547000000000e+01,5.635012499958e+21
4.607000000000e+01,5.645619083178e+21
4.668000000000e+01,5.656225666397e+21
4.729000000000e+01,5.666301920456e+21
4.792000000000e+01,5.678499491159e+21
4.854000000000e+01,5.689636403539e+21
5.043000000000e+01,5.723842634422e+21
8.585000000000e+01,6.317280965555e+21
1.074500000000e+02,6.512176932214e+21
1.089300000000e+02,6.519601540468e+21
1.104500000000e+02,6.525435161238e+21
1.120100000000e+02,6.530738452848e+21
1.136100000000e+02,6.537632731941e+21
1.152500000000e+02,6.541875365229e+21
1.169400000000e+02,6.545322504775e+21
1.365400000000e+02,6.558050404638e+21
1.388100000000e+02,6.554072935931e+21
1.411400000000e+02,6.548239315160e+21
1.435500000000e+02,6.540814706907e+21
1.460200000000e+02,6.532064275751e+21
1.485700000000e+02,6.521988021692e+21
1.511800000000e+02,6.510320780151e+21
1.538800000000e+02,6.497858044868e+21
1.566600000000e+02,6.483804322102e+21
1.595100000000e+02,6.468424776433e+21
1.624600000000e+02,6.451189078702e+21
1.654900000000e+02,6.433157887228e+21
1.718300000000e+02,6.392852870994e+21
1.751400000000e+02,6.368988058750e+21
1.785500000000e+02,6.345388411087e+21
1.820700000000e+02,6.320728105101e+21
1.857100000000e+02,6.293681317892e+21
1.894500000000e+02,6.267695189004e+21
1.933000000000e+02,6.238792249730e+21
1.972800000000e+02,6.209093816716e+21
2.014000000000e+02,6.177539231638e+21
2.056400000000e+02,6.144923988238e+21
2.100200000000e+02,6.111248086516e+21
2.145400000000e+02,6.075981197311e+21
2.192100000000e+02,6.039918814364e+21
2.240300000000e+02,5.998818304388e+21
2.290200000000e+02,5.960634604798e+21
2.341500000000e+02,5.921655411466e+21
2.394500000000e+02,5.882676218135e+21
2.449400000000e+02,5.839719556095e+21
2.506100000000e+02,5.799944869022e+21
2.564700000000e+02,5.751684915373e+21
2.625200000000e+02,5.708463088754e+21
2.687700000000e+02,5.662059287168e+21
2.752300000000e+02,5.616185814744e+21
2.819100000000e+02,5.568721354836e+21
2.888200000000e+02,5.520726565768e+21
2.959600000000e+02,5.471936282958e+21
3.033400000000e+02,5.422350506407e+21
3.110000000000e+02,5.371969236114e+21
3.189400000000e+02,5.320792472080e+21
3.271500000000e+02,5.268820214304e+21
3.445000000000e+02,5.163019546689e+21
3.629600000000e+02,5.054832397850e+21
3.826800000000e+02,4.945054261528e+21
3.929200000000e+02,4.890695522528e+21
4.035700000000e+02,4.835276125205e+21
4.146500000000e+02,4.779326398722e+21
4.260500000000e+02,4.723641836820e+21
4.378400000000e+02,4.667692110337e+21
4.500000000000e+02,4.611742383854e+21
4.625900000000e+02,4.555527492790e+21
4.755700000000e+02,4.499577766307e+21
4.889700000000e+02,4.443628039824e+21
5.028000000000e+02,4.387943477922e+21
5.170900000000e+02,4.332258916019e+21
5.318300000000e+02,4.276839518697e+21
5.470500000000e+02,4.221685285955e+21
5.957000000000e+02,4.057548410633e+21
