# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_d45ef657cbdf4dd661f8"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "14N16O+(v=0)"
# neutral: "Kr"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "Ab Initio Potential (Shifted) of Orek, Klos et al., J. Chem. Phys. 144 (2016) 204303. The calculations were made with the Monchick-Mason Approximation, as discussed by Viehland et al. (2021)."
# source_family: "ab initio potential (shifted) of orek, klos et al., j. chem. phys. 144 (2016) 204303. the calculations were made with the monchick-mason approximation, as discussed by viehland et al. (2021)."
# comment: "Mi = 29.998, M = 83.798, &alpha; = 2.4953."
# updated: "2021-04-28 14:45:34"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13988_neutral_38_39_40/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "054bb1b0020b61793afa8cc8ce954bf761880c5022d88e20459687d809417f27"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,5.261925935211e+21
9.000000000000e-02,5.261925935211e+21
2.300000000000e-01,5.261925935211e+21
5.800000000000e-01,5.261925935211e+21
8.800000000000e-01,5.261925935211e+21
1.310000000000e+00,5.261925935211e+21
1.970000000000e+00,5.262191099792e+21
2.360000000000e+00,5.262191099792e+21
2.840000000000e+00,5.262191099792e+21
3.260000000000e+00,5.262191099792e+21
3.750000000000e+00,5.262191099792e+21
4.320000000000e+00,5.262191099792e+21
4.960000000000e+00,5.262191099792e+21
5.460000000000e+00,5.262191099792e+21
6.000000000000e+00,5.262191099792e+21
6.610000000000e+00,5.262456264372e+21
7.270000000000e+00,5.262456264372e+21
7.990000000000e+00,5.262456264372e+21
8.790000000000e+00,5.262721428953e+21
9.230000000000e+00,5.262721428953e+21
9.690000000000e+00,5.262986593533e+21
1.018000000000e+01,5.262986593533e+21
1.069000000000e+01,5.263251758114e+21
1.122000000000e+01,5.263516922694e+21
1.150000000000e+01,5.263516922694e+21
1.179000000000e+01,5.263782087275e+21
1.208000000000e+01,5.264047251855e+21
1.238000000000e+01,5.264047251855e+21
1.269000000000e+01,5.264312416436e+21
1.301000000000e+01,5.264577581016e+21
1.333000000000e+01,5.264577581016e+21
1.367000000000e+01,5.264842745597e+21
1.401000000000e+01,5.265107910177e+21
1.436000000000e+01,5.265638239338e+21
1.472000000000e+01,5.265903403919e+21
1.508000000000e+01,5.266168568499e+21
1.546000000000e+01,5.266698897660e+21
1.585000000000e+01,5.266964062241e+21
1.624000000000e+01,5.267494391402e+21
1.665000000000e+01,5.268024720563e+21
1.706000000000e+01,5.268555049723e+21
1.749000000000e+01,5.269350543465e+21
1.793000000000e+01,5.269880872626e+21
1.837000000000e+01,5.270676366367e+21
1.883000000000e+01,5.271471860109e+21
1.911000000000e+01,5.272002189270e+21
1.940000000000e+01,5.272797683011e+21
1.969000000000e+01,5.273328012172e+21
1.998000000000e+01,5.273858341333e+21
2.028000000000e+01,5.274653835075e+21
2.058000000000e+01,5.275449328816e+21
2.089000000000e+01,5.276244822558e+21
2.120000000000e+01,5.277040316299e+21
2.152000000000e+01,5.277570645460e+21
2.184000000000e+01,5.278631303782e+21
2.217000000000e+01,5.279691962104e+21
2.250000000000e+01,5.280752620426e+21
2.283000000000e+01,5.281813278748e+21
2.317000000000e+01,5.282873937070e+21
2.352000000000e+01,5.284199759972e+21
2.387000000000e+01,5.285525582875e+21
2.422000000000e+01,5.286851405777e+21
2.458000000000e+01,5.288442393260e+21
2.495000000000e+01,5.289768216163e+21
2.532000000000e+01,5.291359203645e+21
2.569000000000e+01,5.293215355709e+21
2.608000000000e+01,5.295071507772e+21
2.646000000000e+01,5.296927659836e+21
2.685000000000e+01,5.298783811899e+21
2.725000000000e+01,5.301170293124e+21
2.766000000000e+01,5.303291609767e+21
2.806000000000e+01,5.305678090992e+21
2.848000000000e+01,5.308064572216e+21
2.890000000000e+01,5.310716218021e+21
2.933000000000e+01,5.313633028407e+21
2.976000000000e+01,5.316549838792e+21
3.020000000000e+01,5.319466649177e+21
3.064000000000e+01,5.322648624143e+21
3.109000000000e+01,5.326095763689e+21
3.155000000000e+01,5.329808067816e+21
3.201000000000e+01,5.333520371943e+21
3.248000000000e+01,5.337232676070e+21
3.343000000000e+01,5.345717942646e+21
3.441000000000e+01,5.354998702963e+21
3.541000000000e+01,5.365074957021e+21
3.697000000000e+01,5.382045490173e+21
4.614000000000e+01,5.508263830485e+21
4.737000000000e+01,5.528416338602e+21
4.991000000000e+01,5.572698823544e+21
5.323000000000e+01,5.632626018734e+21
8.723000000000e+01,6.231367641477e+21
9.125000000000e+01,6.291825165828e+21
9.671000000000e+01,6.353078183921e+21
9.908000000000e+01,6.379329477389e+21
1.083200000000e+02,6.460735003599e+21
1.097700000000e+02,6.471871915980e+21
1.176800000000e+02,6.508994957248e+21
1.229700000000e+02,6.531003617429e+21
1.267500000000e+02,6.542140529809e+21
1.287200000000e+02,6.545852833936e+21
1.307400000000e+02,6.548504479741e+21
1.328200000000e+02,6.549565138063e+21
1.349700000000e+02,6.549299973482e+21
1.371700000000e+02,6.547974150580e+21
1.394400000000e+02,6.545057340195e+21
1.417800000000e+02,6.540814706907e+21
1.441800000000e+02,6.535246250716e+21
1.466500000000e+02,6.528086807043e+21
1.492000000000e+02,6.519601540468e+21
1.518200000000e+02,6.509260121829e+21
1.545200000000e+02,6.497592880287e+21
1.573000000000e+02,6.484864980424e+21
1.601700000000e+02,6.470280928497e+21
1.631200000000e+02,6.454105889087e+21
1.661700000000e+02,6.436870191355e+21
1.725300000000e+02,6.397625833443e+21
1.758600000000e+02,6.373761021199e+21
1.792900000000e+02,6.350426538116e+21
1.828300000000e+02,6.326296561292e+21
1.864800000000e+02,6.300310432404e+21
1.902400000000e+02,6.273528809774e+21
1.941300000000e+02,6.244891035082e+21
1.981300000000e+02,6.214927437486e+21
2.022700000000e+02,6.183638016989e+21
2.065400000000e+02,6.150757609008e+21
2.109500000000e+02,6.117081707286e+21
2.155100000000e+02,6.081549653501e+21
2.202200000000e+02,6.043365953911e+21
2.250800000000e+02,6.002265443935e+21
2.300900000000e+02,5.965672731827e+21
2.352900000000e+02,5.925632880174e+21
2.406300000000e+02,5.886388522261e+21
2.518900000000e+02,5.791724767027e+21
2.578000000000e+02,5.754601725759e+21
2.638300000000e+02,5.711379899139e+21
2.702200000000e+02,5.663119945490e+21
2.767400000000e+02,5.617246473066e+21
2.834900000000e+02,5.569516848578e+21
2.976700000000e+02,5.471671118378e+21
3.051200000000e+02,5.421820177246e+21
3.128700000000e+02,5.370908577792e+21
3.208900000000e+02,5.319201484597e+21
3.291800000000e+02,5.266698897660e+21
3.377600000000e+02,5.213400816982e+21
3.559100000000e+02,5.105478832723e+21
3.752100000000e+02,4.995435531820e+21
3.852300000000e+02,4.940546463659e+21
3.956900000000e+02,4.885127066337e+21
