# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_70109db43877a5437db1"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "205Tl^+"
# neutral: "Kr"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Mobility Data from Byers et al., J. Chem. Phys. 78 (1983) 2796."
# source_family: "transport data from byers et al., j. chem. phys. 78 (1983) 2796."
# comment: ""
# updated: "2011-12-13 14:42:15"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_019_76_76/002_mobility.txt"
# source_file_sha256: "75c964f4a4e8a98deb7f785780de15bc06face6a1163c8e44f0161b1c292518f"
reduced_electric_field_Td,reduced_transport_SI
2.010000000000e+01,3.105077237519e+21
2.160000000000e+01,3.075909133665e+21
2.500000000000e+01,3.036134446592e+21
2.680000000000e+01,3.075909133665e+21
3.030000000000e+01,3.025527863372e+21
3.240000000000e+01,3.102425591714e+21
3.540000000000e+01,3.049392675616e+21
3.760000000000e+01,3.102425591714e+21
4.020000000000e+01,3.097122300104e+21
4.270000000000e+01,3.097122300104e+21
4.950000000000e+01,3.078560779470e+21
5.490000000000e+01,3.020224571763e+21
5.500000000000e+01,3.075909133665e+21
6.040000000000e+01,3.105077237519e+21
6.560000000000e+01,3.123638758153e+21
7.040000000000e+01,3.118335466543e+21
7.590000000000e+01,3.128942049763e+21
8.010000000000e+01,3.083864071080e+21
8.060000000000e+01,3.142200278787e+21
8.480000000000e+01,3.115683820738e+21
8.910000000000e+01,3.094470654299e+21
9.090000000000e+01,3.168716736836e+21
1.004000000000e+02,3.221749652934e+21
1.060000000000e+02,3.232356236153e+21
1.106000000000e+02,3.248266110983e+21
1.191000000000e+02,3.168716736836e+21
1.210000000000e+02,3.274782569031e+21
1.300000000000e+02,3.370241818007e+21
1.308000000000e+02,3.380848401227e+21
1.320000000000e+02,3.338422068349e+21
1.390000000000e+02,3.362286880593e+21
1.501000000000e+02,3.386151692837e+21
1.510000000000e+02,3.288040798056e+21
1.520000000000e+02,3.473656004398e+21
1.578000000000e+02,3.420623088300e+21
1.620000000000e+02,3.500172462447e+21
1.729000000000e+02,3.452442837959e+21
1.766000000000e+02,3.420623088300e+21
1.770000000000e+02,3.632754752691e+21
1.775000000000e+02,3.473656004398e+21
1.874000000000e+02,3.534643857910e+21
1.885000000000e+02,3.539947149520e+21
1.905000000000e+02,3.741472230691e+21
1.997000000000e+02,3.709652481032e+21
2.020000000000e+02,3.717607418447e+21
2.107000000000e+02,3.746775522301e+21
2.176000000000e+02,3.624799815276e+21
2.255000000000e+02,3.585025128203e+21
2.321000000000e+02,3.717607418447e+21
2.390000000000e+02,3.773291980350e+21
2.403000000000e+02,3.707000835227e+21
2.493000000000e+02,3.738820584886e+21
2.671000000000e+02,3.714955772642e+21
2.836000000000e+02,3.760033751325e+21
2.986000000000e+02,3.789201855179e+21
3.015000000000e+02,3.725562355862e+21
3.159000000000e+02,3.754730459715e+21
3.163000000000e+02,3.757382105520e+21
3.238000000000e+02,3.799808438398e+21
3.388000000000e+02,3.643361335910e+21
3.428000000000e+02,3.707000835227e+21
3.686000000000e+02,3.651316273325e+21
3.695000000000e+02,3.653967919130e+21
3.893000000000e+02,3.632754752691e+21
4.065000000000e+02,3.635406398496e+21
4.189000000000e+02,3.603586648837e+21
4.505000000000e+02,3.555857024349e+21
4.712000000000e+02,3.531992212105e+21
4.965000000000e+02,3.478959296007e+21
5.466000000000e+02,3.367590172202e+21
5.753000000000e+02,3.322512193519e+21
5.978000000000e+02,3.266827631617e+21
6.470000000000e+02,3.195233194885e+21
7.101000000000e+02,3.083864071080e+21
