# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_22bc8bf8af702f5ec757"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "28Si^+(2P)"
# neutral: "Kr"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 27.9769, M = 83.798, &alpha; = 2.4953."
# updated: "2021-12-28 21:31:05"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_001_1020_1020/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "0c0a39180251d7b61857254b858fc3bf85322a9b76ea63971695334ba354a42d"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,1.371000000000e+20
2.300000000000e-01,1.371000000000e+20
9.100000000000e-01,1.371000000000e+20
1.580000000000e+00,1.372000000000e+20
2.770000000000e+00,1.373000000000e+20
3.880000000000e+00,1.376000000000e+20
5.440000000000e+00,1.381000000000e+20
6.520000000000e+00,1.385000000000e+20
7.830000000000e+00,1.392000000000e+20
9.000000000000e+00,1.398000000000e+20
1.035000000000e+01,1.407000000000e+20
1.191000000000e+01,1.419000000000e+20
1.369000000000e+01,1.435000000000e+20
1.506000000000e+01,1.448000000000e+20
1.657000000000e+01,1.464000000000e+20
1.740000000000e+01,1.474000000000e+20
1.827000000000e+01,1.485000000000e+20
1.918000000000e+01,1.496000000000e+20
2.014000000000e+01,1.509000000000e+20
2.115000000000e+01,1.524000000000e+20
2.221000000000e+01,1.539000000000e+20
2.332000000000e+01,1.557000000000e+20
2.448000000000e+01,1.576000000000e+20
2.571000000000e+01,1.597000000000e+20
2.699000000000e+01,1.620000000000e+20
2.834000000000e+01,1.646000000000e+20
2.891000000000e+01,1.657000000000e+20
2.949000000000e+01,1.669000000000e+20
3.008000000000e+01,1.681000000000e+20
3.068000000000e+01,1.694000000000e+20
3.129000000000e+01,1.707000000000e+20
3.192000000000e+01,1.721000000000e+20
3.256000000000e+01,1.735000000000e+20
3.321000000000e+01,1.750000000000e+20
3.387000000000e+01,1.765000000000e+20
3.455000000000e+01,1.781000000000e+20
3.524000000000e+01,1.798000000000e+20
3.595000000000e+01,1.815000000000e+20
3.666000000000e+01,1.833000000000e+20
3.740000000000e+01,1.852000000000e+20
3.814000000000e+01,1.871000000000e+20
3.891000000000e+01,1.891000000000e+20
3.968000000000e+01,1.912000000000e+20
4.048000000000e+01,1.934000000000e+20
