# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_e39a5b3b7aba75e4198d"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "30Si^+(2P)"
# neutral: "Kr"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 29.9738, M = 83.798, &alpha; = 2.4953."
# updated: "2021-12-28 21:31:05"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_007_2135_2135/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "af64952f45246149b7ca29aa35693d373f8c08587ca3a2e871354499c3d2956a"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,1.336000000000e+20
1.900000000000e-01,1.336000000000e+20
7.600000000000e-01,1.337000000000e+20
1.320000000000e+00,1.337000000000e+20
2.310000000000e+00,1.339000000000e+20
3.240000000000e+00,1.342000000000e+20
4.530000000000e+00,1.347000000000e+20
5.440000000000e+00,1.352000000000e+20
6.530000000000e+00,1.359000000000e+20
7.510000000000e+00,1.365000000000e+20
8.630000000000e+00,1.377000000000e+20
9.930000000000e+00,1.389000000000e+20
1.141000000000e+01,1.407000000000e+20
1.255000000000e+01,1.422000000000e+20
1.381000000000e+01,1.440000000000e+20
1.450000000000e+01,1.450000000000e+20
1.522000000000e+01,1.462000000000e+20
1.598000000000e+01,1.475000000000e+20
1.678000000000e+01,1.489000000000e+20
1.761000000000e+01,1.505000000000e+20
1.849000000000e+01,1.522000000000e+20
1.941000000000e+01,1.542000000000e+20
2.038000000000e+01,1.563000000000e+20
2.140000000000e+01,1.586000000000e+20
2.246000000000e+01,1.612000000000e+20
2.358000000000e+01,1.640000000000e+20
2.405000000000e+01,1.652000000000e+20
2.453000000000e+01,1.665000000000e+20
2.502000000000e+01,1.678000000000e+20
2.551000000000e+01,1.692000000000e+20
2.602000000000e+01,1.706000000000e+20
2.654000000000e+01,1.721000000000e+20
2.707000000000e+01,1.736000000000e+20
2.761000000000e+01,1.752000000000e+20
2.815000000000e+01,1.769000000000e+20
2.871000000000e+01,1.787000000000e+20
2.928000000000e+01,1.804000000000e+20
2.987000000000e+01,1.823000000000e+20
3.046000000000e+01,1.843000000000e+20
3.106000000000e+01,1.863000000000e+20
3.168000000000e+01,1.884000000000e+20
3.231000000000e+01,1.905000000000e+20
3.295000000000e+01,1.928000000000e+20
3.360000000000e+01,1.952000000000e+20
3.781000000000e+01,2.113000000000e+20
3.855000000000e+01,2.143000000000e+20
3.932000000000e+01,2.175000000000e+20
4.010000000000e+01,2.211000000000e+20
4.089000000000e+01,2.246000000000e+20
4.170000000000e+01,2.282000000000e+20
4.253000000000e+01,2.319000000000e+20
4.337000000000e+01,2.358000000000e+20
4.423000000000e+01,2.393000000000e+20
4.510000000000e+01,2.434000000000e+20
4.600000000000e+01,2.476000000000e+20
4.691000000000e+01,2.520000000000e+20
4.784000000000e+01,2.566000000000e+20
4.878000000000e+01,2.613000000000e+20
4.975000000000e+01,2.662000000000e+20
5.074000000000e+01,2.714000000000e+20
5.175000000000e+01,2.767000000000e+20
5.277000000000e+01,2.822000000000e+20
5.382000000000e+01,2.879000000000e+20
5.488000000000e+01,2.939000000000e+20
5.597000000000e+01,3.001000000000e+20
5.708000000000e+01,3.066000000000e+20
5.822000000000e+01,3.134000000000e+20
5.938000000000e+01,3.206000000000e+20
6.056000000000e+01,3.281000000000e+20
6.176000000000e+01,3.360000000000e+20
6.299000000000e+01,3.442000000000e+20
6.424000000000e+01,3.527000000000e+20
6.682000000000e+01,3.714000000000e+20
6.815000000000e+01,3.815000000000e+20
6.951000000000e+01,3.923000000000e+20
7.089000000000e+01,4.036000000000e+20
7.231000000000e+01,4.157000000000e+20
7.376000000000e+01,4.286000000000e+20
7.524000000000e+01,4.423000000000e+20
7.674000000000e+01,4.569000000000e+20
7.828000000000e+01,4.726000000000e+20
7.984000000000e+01,4.894000000000e+20
8.144000000000e+01,5.073000000000e+20
8.992000000000e+01,6.176000000000e+20
9.170000000000e+01,6.448000000000e+20
9.352000000000e+01,6.734000000000e+20
9.537000000000e+01,7.039000000000e+20
9.724000000000e+01,7.373000000000e+20
9.915000000000e+01,7.741000000000e+20
1.010900000000e+02,8.094000000000e+20
1.030700000000e+02,8.485000000000e+20
1.050700000000e+02,8.897000000000e+20
1.070900000000e+02,9.329000000000e+20
1.091400000000e+02,9.780000000000e+20
1.219700000000e+02,1.278800000000e+21
1.241800000000e+02,1.332200000000e+21
1.264100000000e+02,1.385200000000e+21
1.524600000000e+02,1.969700000000e+21
1.549800000000e+02,2.025700000000e+21
1.575200000000e+02,2.079200000000e+21
1.601000000000e+02,2.135100000000e+21
1.627000000000e+02,2.189500000000e+21
1.653600000000e+02,2.247400000000e+21
1.680300000000e+02,2.302600000000e+21
1.707400000000e+02,2.363500000000e+21
1.735000000000e+02,2.420900000000e+21
1.911600000000e+02,2.819200000000e+21
2.112100000000e+02,3.302200000000e+21
2.148200000000e+02,3.396100000000e+21
2.185800000000e+02,3.490300000000e+21
2.224600000000e+02,3.589600000000e+21
2.264100000000e+02,3.688800000000e+21
2.305400000000e+02,3.799100000000e+21
2.347600000000e+02,3.903000000000e+21
2.391300000000e+02,4.010900000000e+21
2.436500000000e+02,4.121300000000e+21
2.483300000000e+02,4.238300000000e+21
2.531600000000e+02,4.360000000000e+21
2.581000000000e+02,4.482500000000e+21
2.632000000000e+02,4.607800000000e+21
2.685000000000e+02,4.738500000000e+21
2.739800000000e+02,4.873000000000e+21
2.796300000000e+02,5.011300000000e+21
2.854800000000e+02,5.152900000000e+21
2.915200000000e+02,5.298100000000e+21
2.977600000000e+02,5.449000000000e+21
3.042200000000e+02,5.608800000000e+21
3.108700000000e+02,5.768600000000e+21
3.177600000000e+02,5.930700000000e+21
3.248700000000e+02,6.099700000000e+21
3.322100000000e+02,6.273300000000e+21
3.397800000000e+02,6.454900000000e+21
3.476000000000e+02,6.642800000000e+21
3.556700000000e+02,6.834700000000e+21
3.640000000000e+02,7.034200000000e+21
3.725800000000e+02,7.239000000000e+21
3.814400000000e+02,7.452600000000e+21
3.905700000000e+02,7.674100000000e+21
3.999900000000e+02,7.901000000000e+21
4.096900000000e+02,8.142900000000e+21
4.196800000000e+02,8.391300000000e+21
4.299800000000e+02,8.648600000000e+21
4.405800000000e+02,8.916700000000e+21
4.515000000000e+02,9.193800000000e+21
4.627400000000e+02,9.481400000000e+21
4.742900000000e+02,9.778800000000e+21
4.861900000000e+02,1.008910000000e+22
4.984300000000e+02,1.040930000000e+22
5.110100000000e+02,1.074190000000e+22
5.240300000000e+02,1.108840000000e+22
5.373800000000e+02,1.145190000000e+22
5.509500000000e+02,1.182140000000e+22
5.651300000000e+02,1.221860000000e+22
5.795300000000e+02,1.261780000000e+22
5.943400000000e+02,1.303370000000e+22
6.096000000000e+02,1.347020000000e+22
6.252600000000e+02,1.392160000000e+22
6.413400000000e+02,1.439030000000e+22
6.578700000000e+02,1.487810000000e+22
6.747800000000e+02,1.538100000000e+22
6.921800000000e+02,1.590640000000e+22
7.101000000000e+02,1.645440000000e+22
7.284300000000e+02,1.702530000000e+22
7.471500000000e+02,1.760770000000e+22
7.663700000000e+02,1.821540000000e+22
7.862800000000e+02,1.886120000000e+22
8.063700000000e+02,1.950860000000e+22
8.271200000000e+02,2.019110000000e+22
