# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_f8c4a1251659bd768e0e"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "30Si^+(2P)"
# neutral: "Kr"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 29.9738, M = 83.798, &alpha; = 2.4953."
# updated: "2021-12-28 21:31:05"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_007_2135_2135/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "af64952f45246149b7ca29aa35693d373f8c08587ca3a2e871354499c3d2956a"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,1.787000000000e+20
2.200000000000e-01,1.787000000000e+20
8.700000000000e-01,1.787000000000e+20
1.520000000000e+00,1.789000000000e+20
2.660000000000e+00,1.791000000000e+20
3.720000000000e+00,1.794000000000e+20
5.210000000000e+00,1.801000000000e+20
6.250000000000e+00,1.810000000000e+20
7.500000000000e+00,1.820000000000e+20
8.630000000000e+00,1.830000000000e+20
9.920000000000e+00,1.843000000000e+20
1.141000000000e+01,1.861000000000e+20
1.312000000000e+01,1.884000000000e+20
1.443000000000e+01,1.904000000000e+20
1.587000000000e+01,1.928000000000e+20
1.666000000000e+01,1.942000000000e+20
1.750000000000e+01,1.957000000000e+20
1.837000000000e+01,1.974000000000e+20
1.928000000000e+01,1.993000000000e+20
2.025000000000e+01,2.014000000000e+20
2.126000000000e+01,2.037000000000e+20
2.232000000000e+01,2.062000000000e+20
2.343000000000e+01,2.090000000000e+20
2.460000000000e+01,2.120000000000e+20
2.582000000000e+01,2.154000000000e+20
2.711000000000e+01,2.191000000000e+20
2.765000000000e+01,2.206000000000e+20
2.820000000000e+01,2.223000000000e+20
2.876000000000e+01,2.240000000000e+20
2.933000000000e+01,2.258000000000e+20
2.992000000000e+01,2.277000000000e+20
3.051000000000e+01,2.296000000000e+20
3.112000000000e+01,2.316000000000e+20
3.174000000000e+01,2.337000000000e+20
3.237000000000e+01,2.359000000000e+20
3.301000000000e+01,2.381000000000e+20
3.367000000000e+01,2.405000000000e+20
3.434000000000e+01,2.429000000000e+20
3.502000000000e+01,2.454000000000e+20
3.572000000000e+01,2.481000000000e+20
3.643000000000e+01,2.509000000000e+20
3.716000000000e+01,2.538000000000e+20
3.790000000000e+01,2.567000000000e+20
3.865000000000e+01,2.598000000000e+20
3.942000000000e+01,2.630000000000e+20
4.020000000000e+01,2.663000000000e+20
4.100000000000e+01,2.698000000000e+20
4.182000000000e+01,2.734000000000e+20
4.265000000000e+01,2.771000000000e+20
4.349000000000e+01,2.810000000000e+20
4.436000000000e+01,2.851000000000e+20
4.525000000000e+01,2.893000000000e+20
4.615000000000e+01,2.937000000000e+20
4.707000000000e+01,2.973000000000e+20
4.800000000000e+01,3.019000000000e+20
4.896000000000e+01,3.067000000000e+20
4.993000000000e+01,3.117000000000e+20
5.092000000000e+01,3.169000000000e+20
5.194000000000e+01,3.224000000000e+20
5.297000000000e+01,3.280000000000e+20
5.403000000000e+01,3.340000000000e+20
5.511000000000e+01,3.402000000000e+20
5.621000000000e+01,3.467000000000e+20
5.733000000000e+01,3.535000000000e+20
5.847000000000e+01,3.606000000000e+20
5.964000000000e+01,3.680000000000e+20
6.083000000000e+01,3.759000000000e+20
6.205000000000e+01,3.842000000000e+20
6.329000000000e+01,3.929000000000e+20
6.455000000000e+01,4.020000000000e+20
6.585000000000e+01,4.117000000000e+20
6.717000000000e+01,4.220000000000e+20
6.851000000000e+01,4.328000000000e+20
6.988000000000e+01,4.442000000000e+20
7.127000000000e+01,4.563000000000e+20
7.270000000000e+01,4.692000000000e+20
7.416000000000e+01,4.830000000000e+20
7.564000000000e+01,4.974000000000e+20
7.715000000000e+01,5.129000000000e+20
7.869000000000e+01,5.294000000000e+20
8.027000000000e+01,5.470000000000e+20
8.187000000000e+01,5.659000000000e+20
8.350000000000e+01,5.859000000000e+20
8.516000000000e+01,6.075000000000e+20
8.686000000000e+01,6.303000000000e+20
9.212000000000e+01,7.084000000000e+20
9.393000000000e+01,7.380000000000e+20
9.578000000000e+01,7.696000000000e+20
1.074100000000e+02,9.967000000000e+20
1.094500000000e+02,1.040700000000e+21
1.115100000000e+02,1.086600000000e+21
1.135900000000e+02,1.133300000000e+21
1.157000000000e+02,1.182100000000e+21
1.199900000000e+02,1.284100000000e+21
1.221700000000e+02,1.333300000000e+21
1.243700000000e+02,1.384000000000e+21
