# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_5175858dccd5292d02f9"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "30Si^+(2P1/2)"
# neutral: "Kr"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 29.9738, M = 83.798, &alpha; = 2.4953."
# updated: "2021-12-27 15:53:50"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_008_2136_2136/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "9b7baa4c2b10e4a45f5764dbc736644ef600eed914cbe565cdd5b3898d60ae93"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,1.705000000000e+20
2.300000000000e-01,1.705000000000e+20
9.100000000000e-01,1.705000000000e+20
1.600000000000e+00,1.706000000000e+20
2.790000000000e+00,1.708000000000e+20
3.910000000000e+00,1.711000000000e+20
5.480000000000e+00,1.716000000000e+20
6.570000000000e+00,1.722000000000e+20
7.890000000000e+00,1.729000000000e+20
9.070000000000e+00,1.737000000000e+20
1.044000000000e+01,1.747000000000e+20
1.201000000000e+01,1.761000000000e+20
1.382000000000e+01,1.779000000000e+20
1.520000000000e+01,1.794000000000e+20
1.673000000000e+01,1.813000000000e+20
1.758000000000e+01,1.823000000000e+20
1.846000000000e+01,1.835000000000e+20
1.939000000000e+01,1.849000000000e+20
2.037000000000e+01,1.863000000000e+20
2.140000000000e+01,1.879000000000e+20
2.248000000000e+01,1.897000000000e+20
2.361000000000e+01,1.916000000000e+20
2.481000000000e+01,1.937000000000e+20
2.607000000000e+01,1.960000000000e+20
2.739000000000e+01,1.986000000000e+20
2.878000000000e+01,2.014000000000e+20
2.937000000000e+01,2.026000000000e+20
2.996000000000e+01,2.039000000000e+20
3.057000000000e+01,2.052000000000e+20
3.120000000000e+01,2.066000000000e+20
3.183000000000e+01,2.080000000000e+20
3.248000000000e+01,2.095000000000e+20
3.315000000000e+01,2.110000000000e+20
3.382000000000e+01,2.126000000000e+20
3.452000000000e+01,2.142000000000e+20
3.522000000000e+01,2.159000000000e+20
3.594000000000e+01,2.177000000000e+20
3.668000000000e+01,2.196000000000e+20
3.743000000000e+01,2.215000000000e+20
3.820000000000e+01,2.235000000000e+20
3.899000000000e+01,2.256000000000e+20
3.979000000000e+01,2.277000000000e+20
4.061000000000e+01,2.300000000000e+20
4.145000000000e+01,2.323000000000e+20
4.230000000000e+01,2.348000000000e+20
4.317000000000e+01,2.373000000000e+20
4.407000000000e+01,2.400000000000e+20
4.498000000000e+01,2.427000000000e+20
4.591000000000e+01,2.456000000000e+20
4.686000000000e+01,2.486000000000e+20
4.783000000000e+01,2.517000000000e+20
4.883000000000e+01,2.551000000000e+20
4.985000000000e+01,2.585000000000e+20
5.088000000000e+01,2.620000000000e+20
5.194000000000e+01,2.658000000000e+20
5.303000000000e+01,2.698000000000e+20
5.414000000000e+01,2.730000000000e+20
5.527000000000e+01,2.772000000000e+20
5.643000000000e+01,2.816000000000e+20
5.761000000000e+01,2.862000000000e+20
5.882000000000e+01,2.911000000000e+20
6.005000000000e+01,2.962000000000e+20
6.132000000000e+01,3.017000000000e+20
6.261000000000e+01,3.074000000000e+20
6.393000000000e+01,3.134000000000e+20
6.527000000000e+01,3.198000000000e+20
6.666000000000e+01,3.266000000000e+20
6.807000000000e+01,3.339000000000e+20
6.952000000000e+01,3.417000000000e+20
7.100000000000e+01,3.500000000000e+20
7.251000000000e+01,3.586000000000e+20
7.403000000000e+01,3.681000000000e+20
7.558000000000e+01,3.781000000000e+20
7.717000000000e+01,3.889000000000e+20
7.880000000000e+01,4.006000000000e+20
8.046000000000e+01,4.133000000000e+20
8.216000000000e+01,4.271000000000e+20
8.389000000000e+01,4.419000000000e+20
8.566000000000e+01,4.582000000000e+20
8.746000000000e+01,4.759000000000e+20
8.930000000000e+01,4.953000000000e+20
9.117000000000e+01,5.166000000000e+20
9.308000000000e+01,5.400000000000e+20
9.500000000000e+01,5.628000000000e+20
9.698000000000e+01,5.942000000000e+20
9.900000000000e+01,6.256000000000e+20
1.010900000000e+02,6.564000000000e+20
1.031100000000e+02,6.990000000000e+20
1.052100000000e+02,7.413000000000e+20
1.073200000000e+02,7.897000000000e+20
1.094700000000e+02,8.400000000000e+20
1.116400000000e+02,8.961000000000e+20
1.138400000000e+02,9.578000000000e+20
1.160500000000e+02,1.023800000000e+21
1.182600000000e+02,1.095700000000e+21
1.204900000000e+02,1.169500000000e+21
1.227200000000e+02,1.248000000000e+21
1.249500000000e+02,1.327600000000e+21
1.271900000000e+02,1.415900000000e+21
1.294200000000e+02,1.498000000000e+21
1.316500000000e+02,1.583800000000e+21
1.338900000000e+02,1.665600000000e+21
1.361200000000e+02,1.743900000000e+21
1.465800000000e+02,1.904700000000e+21
1.500300000000e+02,2.248400000000e+21
1.518500000000e+02,1.636000000000e+21
1.549200000000e+02,1.710600000000e+21
1.560300000000e+02,1.629800000000e+21
1.599600000000e+02,1.195900000000e+21
1.616300000000e+02,1.757700000000e+21
1.647800000000e+02,1.421200000000e+21
1.660600000000e+02,1.834300000000e+21
1.755300000000e+02,2.885700000000e+21
1.843800000000e+02,2.109500000000e+21
1.865600000000e+02,2.246500000000e+21
1.890800000000e+02,2.439400000000e+21
1.914400000000e+02,2.491500000000e+21
1.942900000000e+02,2.508000000000e+21
1.966200000000e+02,3.263600000000e+21
1.991100000000e+02,3.317800000000e+21
2.018100000000e+02,3.382700000000e+21
2.070900000000e+02,3.522100000000e+21
2.097600000000e+02,3.618700000000e+21
2.124900000000e+02,3.677300000000e+21
2.153100000000e+02,3.767500000000e+21
2.182200000000e+02,3.846300000000e+21
2.211300000000e+02,3.950400000000e+21
2.241800000000e+02,4.041000000000e+21
2.273500000000e+02,4.151700000000e+21
2.305000000000e+02,4.257700000000e+21
2.338800000000e+02,4.370400000000e+21
2.373000000000e+02,4.494200000000e+21
2.407800000000e+02,4.615400000000e+21
2.444100000000e+02,4.747700000000e+21
2.482300000000e+02,4.887200000000e+21
2.521600000000e+02,5.021000000000e+21
2.562500000000e+02,5.168900000000e+21
2.605000000000e+02,5.316100000000e+21
2.648700000000e+02,5.464700000000e+21
2.694100000000e+02,5.613300000000e+21
2.741200000000e+02,5.772000000000e+21
2.790000000000e+02,5.955100000000e+21
2.840900000000e+02,6.116400000000e+21
2.893600000000e+02,6.279800000000e+21
2.948200000000e+02,6.451800000000e+21
3.005000000000e+02,6.635500000000e+21
3.064000000000e+02,6.802500000000e+21
3.125100000000e+02,6.985300000000e+21
3.188700000000e+02,7.170200000000e+21
3.254500000000e+02,7.358100000000e+21
3.322800000000e+02,7.562600000000e+21
3.393700000000e+02,7.762500000000e+21
3.467100000000e+02,7.938300000000e+21
3.543200000000e+02,8.153100000000e+21
3.622100000000e+02,8.358600000000e+21
3.703600000000e+02,8.596300000000e+21
3.788400000000e+02,8.806200000000e+21
3.875800000000e+02,9.042300000000e+21
3.966500000000e+02,9.279400000000e+21
4.060200000000e+02,9.530100000000e+21
4.157100000000e+02,9.787000000000e+21
4.258500000000e+02,1.006050000000e+22
4.361400000000e+02,1.036100000000e+22
4.468400000000e+02,1.066610000000e+22
4.579600000000e+02,1.095060000000e+22
4.692700000000e+02,1.123990000000e+22
4.811500000000e+02,1.156560000000e+22
4.932500000000e+02,1.188650000000e+22
5.059000000000e+02,1.222730000000e+22
5.187800000000e+02,1.257990000000e+22
5.320100000000e+02,1.293600000000e+22
5.457800000000e+02,1.332680000000e+22
5.599800000000e+02,1.369430000000e+22
5.746500000000e+02,1.411340000000e+22
5.896800000000e+02,1.453750000000e+22
6.053400000000e+02,1.499190000000e+22
6.212200000000e+02,1.544630000000e+22
6.376700000000e+02,1.594200000000e+22
6.546700000000e+02,1.644610000000e+22
6.720200000000e+02,1.694030000000e+22
6.899500000000e+02,1.748290000000e+22
7.083900000000e+02,1.804090000000e+22
7.273500000000e+02,1.862850000000e+22
7.468800000000e+02,1.923290000000e+22
7.670300000000e+02,1.979300000000e+22
7.876800000000e+02,2.048060000000e+22
8.088300000000e+02,2.113690000000e+22
8.306100000000e+02,2.185650000000e+22
8.530200000000e+02,2.260180000000e+22
8.759100000000e+02,2.339990000000e+22
8.994700000000e+02,2.421100000000e+22
9.236400000000e+02,2.504590000000e+22
9.485200000000e+02,2.585380000000e+22
9.739700000000e+02,2.670210000000e+22
9.999600000000e+02,2.758760000000e+22
1.026920000000e+03,2.872190000000e+22
1.054310000000e+03,2.979090000000e+22
1.082610000000e+03,3.087900000000e+22
1.111390000000e+03,3.198620000000e+22
1.141140000000e+03,3.317960000000e+22
1.171570000000e+03,3.443860000000e+22
1.202550000000e+03,3.571110000000e+22
1.234360000000e+03,3.702540000000e+22
1.266960000000e+03,3.841840000000e+22
1.300340000000e+03,3.986850000000e+22
1.334480000000e+03,4.139150000000e+22
1.369460000000e+03,4.299050000000e+22
1.405240000000e+03,4.465970000000e+22
1.441830000000e+03,4.640390000000e+22
1.479270000000e+03,4.823070000000e+22
1.517520000000e+03,5.013180000000e+22
1.556750000000e+03,5.212780000000e+22
1.596620000000e+03,5.418800000000e+22
1.637460000000e+03,5.636880000000e+22
1.679170000000e+03,5.859570000000e+22
1.721790000000e+03,6.094940000000e+22
1.765300000000e+03,6.336040000000e+22
1.809710000000e+03,6.586360000000e+22
1.855050000000e+03,6.844880000000e+22
1.901320000000e+03,7.111100000000e+22
1.948540000000e+03,7.383830000000e+22
1.996720000000e+03,7.657240000000e+22
2.045940000000e+03,7.945460000000e+22
2.095970000000e+03,8.298280000000e+22
2.147050000000e+03,8.541230000000e+22
2.199270000000e+03,8.854720000000e+22
2.252540000000e+03,9.138710000000e+22
2.306920000000e+03,9.444170000000e+22
2.362420000000e+03,9.755790000000e+22
2.419110000000e+03,1.006530000000e+23
2.476980000000e+03,1.038180000000e+23
2.536270000000e+03,1.069980000000e+23
2.597190000000e+03,1.101610000000e+23
2.659540000000e+03,1.133640000000e+23
2.723480000000e+03,1.166070000000e+23
2.788770000000e+03,1.199290000000e+23
2.855900000000e+03,1.231360000000e+23
