# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_c1ecdeff6296898d8da0"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "30Si^+(2P1/2)"
# neutral: "Kr"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 29.9738, M = 83.798, &alpha; = 2.4953."
# updated: "2021-12-27 15:53:50"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_008_2136_2136/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "4b365fd198f23fd4b60f84db32502f0abe0d5ea3bc44a22a77a9577b65fa0551"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,5.119267390909e+21
1.100000000000e-01,5.119267390909e+21
4.300000000000e-01,5.119267390909e+21
1.330000000000e+00,5.119002226328e+21
1.860000000000e+00,5.118737061748e+21
2.610000000000e+00,5.118471897167e+21
3.130000000000e+00,5.118206732587e+21
4.320000000000e+00,5.117411238845e+21
4.970000000000e+00,5.116880909684e+21
6.570000000000e+00,5.115289922201e+21
7.230000000000e+00,5.114494428460e+21
7.960000000000e+00,5.113433770138e+21
8.350000000000e+00,5.112903440977e+21
9.210000000000e+00,5.111577618074e+21
9.670000000000e+00,5.110782124333e+21
1.067000000000e+01,5.108925972269e+21
1.177000000000e+01,5.106804655626e+21
1.236000000000e+01,5.105478832723e+21
1.363000000000e+01,5.102296857757e+21
1.418000000000e+01,5.100971034855e+21
1.447000000000e+01,5.100175541113e+21
1.476000000000e+01,5.099380047372e+21
1.567000000000e+01,5.096728401567e+21
1.631000000000e+01,5.094872249504e+21
1.664000000000e+01,5.093811591182e+21
1.697000000000e+01,5.092750932860e+21
1.767000000000e+01,5.090364451635e+21
1.839000000000e+01,5.087977970411e+21
1.914000000000e+01,5.085591489187e+21
1.992000000000e+01,5.082674678801e+21
2.032000000000e+01,5.081083691318e+21
2.073000000000e+01,5.079492703835e+21
2.158000000000e+01,5.076310728869e+21
2.202000000000e+01,5.074454576806e+21
2.247000000000e+01,5.072598424743e+21
2.292000000000e+01,5.070742272679e+21
2.339000000000e+01,5.068886120616e+21
2.387000000000e+01,5.066764803972e+21
2.435000000000e+01,5.064643487328e+21
2.535000000000e+01,5.060135689460e+21
2.587000000000e+01,5.057749208235e+21
2.749000000000e+01,5.049794270821e+21
2.805000000000e+01,5.047142625016e+21
2.863000000000e+01,5.044225814630e+21
2.921000000000e+01,5.041309004245e+21
2.981000000000e+01,5.038127029279e+21
3.043000000000e+01,5.034945054313e+21
3.105000000000e+01,5.031763079347e+21
3.169000000000e+01,5.028315939801e+21
3.235000000000e+01,5.024868800255e+21
3.812000000000e+01,4.992783886016e+21
3.973000000000e+01,4.983503125698e+21
4.056000000000e+01,4.978730163250e+21
4.141000000000e+01,4.973692036220e+21
4.228000000000e+01,4.968653909191e+21
4.317000000000e+01,4.963350617581e+21
4.407000000000e+01,4.957782161391e+21
4.500000000000e+01,4.952478869781e+21
4.595000000000e+01,4.946645249011e+21
4.693000000000e+01,4.940811628240e+21
4.792000000000e+01,4.934978007469e+21
4.894000000000e+01,4.928879222118e+21
4.998000000000e+01,4.922515272186e+21
5.105000000000e+01,4.916151322254e+21
5.214000000000e+01,4.909522207742e+21
5.325000000000e+01,4.902893093230e+21
5.439000000000e+01,4.895998814137e+21
5.556000000000e+01,4.889104535045e+21
5.676000000000e+01,4.882210255952e+21
5.798000000000e+01,4.874785647698e+21
6.182000000000e+01,4.853042152098e+21
6.317000000000e+01,4.845087214684e+21
6.454000000000e+01,4.837397441849e+21
6.595000000000e+01,4.829972833596e+21
6.886000000000e+01,4.814328123347e+21
7.036000000000e+01,4.806108021352e+21
7.191000000000e+01,4.798418248518e+21
7.350000000000e+01,4.790198146522e+21
8.195000000000e+01,4.756522244800e+21
8.562000000000e+01,4.744855003259e+21
8.752000000000e+01,4.740877534552e+21
8.945000000000e+01,4.737165230425e+21
9.143000000000e+01,4.733983255459e+21
9.345000000000e+01,4.731066445074e+21
9.975000000000e+01,4.727088976366e+21
1.064100000000e+02,4.746711155322e+21
1.087300000000e+02,4.760499713508e+21
1.110800000000e+02,4.774288271693e+21
1.134800000000e+02,4.787811665298e+21
1.159200000000e+02,4.804517033869e+21
1.232200000000e+02,4.864709393640e+21
1.305300000000e+02,4.929144386698e+21
1.423900000000e+02,5.046877460435e+21
1.446700000000e+02,5.069151285196e+21
1.469400000000e+02,5.089568957894e+21
1.491900000000e+02,5.106009161884e+21
1.514200000000e+02,5.122449365874e+21
1.559700000000e+02,5.146579342699e+21
2.323200000000e+02,5.300374799382e+21
2.354900000000e+02,5.335111359426e+21
2.388000000000e+02,5.369582754890e+21
2.494500000000e+02,5.496861753524e+21
2.532900000000e+02,5.533189301051e+21
2.572200000000e+02,5.566069709031e+21
2.656200000000e+02,5.614064498100e+21
2.950500000000e+02,5.774754233876e+21
3.006500000000e+02,5.794111248251e+21
3.064700000000e+02,5.813203098047e+21
3.125200000000e+02,5.829112972876e+21
3.188100000000e+02,5.842636366481e+21
3.253200000000e+02,5.855364266344e+21
3.321000000000e+02,5.865970849564e+21
3.391300000000e+02,5.873395457817e+21
3.464100000000e+02,5.877903255686e+21
3.539700000000e+02,5.880024572330e+21
3.618100000000e+02,5.879759407749e+21
3.699400000000e+02,5.877372926525e+21
3.783500000000e+02,5.872865128656e+21
3.870600000000e+02,5.865970849564e+21
3.960900000000e+02,5.856424924666e+21
4.054300000000e+02,5.845288012286e+21
4.150900000000e+02,5.832029783261e+21
4.251000000000e+02,5.816119908432e+21
4.354800000000e+02,5.798619046120e+21
4.461800000000e+02,5.779792360905e+21
4.572900000000e+02,5.758314029886e+21
4.685800000000e+02,5.739222180090e+21
4.803200000000e+02,5.717213519910e+21
4.924700000000e+02,5.692818378505e+21
5.050200000000e+02,5.667362578778e+21
5.179500000000e+02,5.641641614471e+21
5.595300000000e+02,5.545386871753e+21
5.738700000000e+02,5.514362615836e+21
5.889100000000e+02,5.487846157787e+21
6.045300000000e+02,5.459473547675e+21
6.204000000000e+02,5.434017747948e+21
6.368400000000e+02,5.402463162870e+21
6.538500000000e+02,5.368522096568e+21
6.712200000000e+02,5.337763005231e+21
6.891300000000e+02,5.305147761831e+21
