# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_f02590b45d893f06927c"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "30Si^+(2P3/2)"
# neutral: "Kr"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 29.9738, M = 83.798, &alpha; = 2.4953."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_009_2137_2137/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "f012de6566f0f50d7a255c4fc57705baa567234ef1a6fd4c98226d355af96b76"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,5.100440705694e+21
1.500000000000e-01,5.100440705694e+21
6.200000000000e-01,5.100440705694e+21
1.080000000000e+00,5.100440705694e+21
1.890000000000e+00,5.100705870274e+21
2.640000000000e+00,5.100971034855e+21
3.700000000000e+00,5.101501364016e+21
4.440000000000e+00,5.102031693177e+21
5.330000000000e+00,5.102827186918e+21
6.130000000000e+00,5.103622680660e+21
7.050000000000e+00,5.104683338982e+21
8.100000000000e+00,5.106009161884e+21
9.320000000000e+00,5.108130478528e+21
1.024000000000e+01,5.109721466011e+21
1.127000000000e+01,5.111577618074e+21
1.183000000000e+01,5.112638276396e+21
1.242000000000e+01,5.113964099299e+21
1.303000000000e+01,5.115289922201e+21
1.368000000000e+01,5.116880909684e+21
1.436000000000e+01,5.118737061748e+21
1.508000000000e+01,5.120328049230e+21
1.582000000000e+01,5.122449365874e+21
1.661000000000e+01,5.124835847099e+21
1.743000000000e+01,5.127487492904e+21
1.958000000000e+01,5.134646936577e+21
1.997000000000e+01,5.137033417801e+21
2.037000000000e+01,5.137563746962e+21
2.077000000000e+01,5.138889569865e+21
2.118000000000e+01,5.140480557348e+21
2.160000000000e+01,5.142867038572e+21
2.202000000000e+01,5.144458026055e+21
2.246000000000e+01,5.146314178118e+21
2.290000000000e+01,5.147905165601e+21
2.335000000000e+01,5.150026482245e+21
2.381000000000e+01,5.152147798889e+21
2.428000000000e+01,5.154003950953e+21
2.476000000000e+01,5.156125267596e+21
2.524000000000e+01,5.158246584240e+21
2.574000000000e+01,5.160633065465e+21
2.624000000000e+01,5.162754382109e+21
2.675000000000e+01,5.165936357074e+21
2.728000000000e+01,5.167792509138e+21
2.781000000000e+01,5.170444154943e+21
2.836000000000e+01,5.173360965328e+21
2.891000000000e+01,5.176012611133e+21
2.947000000000e+01,5.179459750679e+21
3.005000000000e+01,5.182641725645e+21
3.064000000000e+01,5.185558536031e+21
3.123000000000e+01,5.189005675577e+21
3.184000000000e+01,5.192452815123e+21
