# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_dfab1f4b4e74a95ba4b8"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "70Ge^+(2P)"
# neutral: "Kr"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 69.9242, M = 83.798, &alpha; = 2.4953."
# updated: "2022-01-20 22:03:30"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14054_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "67f1f9d32e4eb30969ec23a3c3d3ad70f3dd6d323be4075ec492cbe14fedd9c7"
reduced_electric_field_Td,reduced_transport_SI
7.000000000000e-02,3.879622977125e+21
2.900000000000e-01,3.879622977125e+21
1.150000000000e+00,3.879622977125e+21
2.010000000000e+00,3.879622977125e+21
3.510000000000e+00,3.879622977125e+21
4.920000000000e+00,3.879622977125e+21
6.880000000000e+00,3.879888141706e+21
8.260000000000e+00,3.879888141706e+21
9.910000000000e+00,3.879888141706e+21
1.311000000000e+01,3.880153306286e+21
1.507000000000e+01,3.880418470867e+21
1.733000000000e+01,3.880683635447e+21
1.906000000000e+01,3.880948800028e+21
2.097000000000e+01,3.881213964608e+21
2.202000000000e+01,3.881479129189e+21
2.312000000000e+01,3.881744293769e+21
2.427000000000e+01,3.882009458350e+21
2.548000000000e+01,3.882274622930e+21
2.676000000000e+01,3.882539787511e+21
2.809000000000e+01,3.882804952091e+21
3.097000000000e+01,3.883600445833e+21
3.251000000000e+01,3.884130774994e+21
3.584000000000e+01,3.885456597896e+21
3.655000000000e+01,3.885721762477e+21
3.728000000000e+01,3.885986927057e+21
3.802000000000e+01,3.886252091638e+21
3.878000000000e+01,3.886517256218e+21
3.955000000000e+01,3.886782420799e+21
4.034000000000e+01,3.887047585379e+21
4.366000000000e+01,3.888373408282e+21
4.541000000000e+01,3.889168902023e+21
4.632000000000e+01,3.889699231184e+21
4.818000000000e+01,3.890494724925e+21
4.914000000000e+01,3.891025054086e+21
5.011000000000e+01,3.891555383247e+21
5.111000000000e+01,3.892085712408e+21
5.213000000000e+01,3.892616041569e+21
5.316000000000e+01,3.893146370730e+21
5.529000000000e+01,3.894472193633e+21
6.101000000000e+01,3.897919333179e+21
6.222000000000e+01,3.898714826921e+21
6.345000000000e+01,3.899510320662e+21
6.599000000000e+01,3.901366472725e+21
6.729000000000e+01,3.902427131047e+21
6.862000000000e+01,3.903487789369e+21
7.137000000000e+01,3.905874270594e+21
7.278000000000e+01,3.907200093496e+21
7.421000000000e+01,3.908525916399e+21
7.568000000000e+01,3.909851739301e+21
7.717000000000e+01,3.911442726784e+21
7.869000000000e+01,3.913033714267e+21
8.025000000000e+01,3.914889866330e+21
8.183000000000e+01,3.916746018394e+21
9.375000000000e+01,3.934512045286e+21
9.558000000000e+01,3.937959184833e+21
9.745000000000e+01,3.941406324379e+21
9.934000000000e+01,3.945383793087e+21
1.012700000000e+02,3.949626426374e+21
1.032400000000e+02,3.953869059662e+21
1.052400000000e+02,3.958376857530e+21
1.072700000000e+02,3.963414984560e+21
1.093400000000e+02,3.968718276169e+21
1.179400000000e+02,3.992317923833e+21
1.201800000000e+02,3.999212202926e+21
1.224500000000e+02,4.006371646599e+21
1.270900000000e+02,4.020425369365e+21
1.294600000000e+02,4.027849977618e+21
1.318600000000e+02,4.035539750453e+21
1.367600000000e+02,4.050654131540e+21
1.392600000000e+02,4.058343904375e+21
1.417900000000e+02,4.066033677209e+21
1.443500000000e+02,4.073723450043e+21
1.469400000000e+02,4.080882893716e+21
1.896600000000e+02,4.176342142692e+21
1.928400000000e+02,4.182440928043e+21
1.960400000000e+02,4.188274548814e+21
1.992800000000e+02,4.194638498746e+21
2.025800000000e+02,4.200737284097e+21
2.163600000000e+02,4.226458248404e+21
2.199800000000e+02,4.233617692077e+21
2.236700000000e+02,4.241042300331e+21
