# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_1113fe3642e9badde259"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "70Ge^+(2P3/2)"
# neutral: "Kr"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 69.9242, M = 83.798, &alpha; = 2.4953."
# updated: "2022-02-24 15:38:51"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14056_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "b765726928fad7d53cf423cb30d81840969d930c9155ddda07b42f5d9d7ca22e"
reduced_electric_field_Td,reduced_transport_SI
8.000000000000e-02,3.993643746735e+21
3.100000000000e-01,3.993643746735e+21
1.250000000000e+00,3.993643746735e+21
2.180000000000e+00,3.993643746735e+21
3.810000000000e+00,3.993908911316e+21
5.340000000000e+00,3.994174075896e+21
7.480000000000e+00,3.994704405057e+21
8.970000000000e+00,3.995234734218e+21
1.076000000000e+01,3.995765063379e+21
1.423000000000e+01,3.997356050862e+21
1.636000000000e+01,3.998681873765e+21
1.880000000000e+01,4.000272861248e+21
2.068000000000e+01,4.001598684150e+21
2.387000000000e+01,4.004250329955e+21
2.506000000000e+01,4.005310988277e+21
2.761000000000e+01,4.007697469501e+21
2.899000000000e+01,4.009023292404e+21
3.042000000000e+01,4.010614279887e+21
3.193000000000e+01,4.012205267370e+21
3.352000000000e+01,4.014061419433e+21
3.518000000000e+01,4.015917571496e+21
3.692000000000e+01,4.018038888140e+21
3.875000000000e+01,4.020160204784e+21
4.109000000000e+01,4.023077015170e+21
4.190000000000e+01,4.024137673492e+21
4.273000000000e+01,4.025198331814e+21
4.357000000000e+01,4.026524154716e+21
4.443000000000e+01,4.027584813038e+21
4.531000000000e+01,4.028910635940e+21
4.620000000000e+01,4.029971294262e+21
4.711000000000e+01,4.031297117165e+21
4.804000000000e+01,4.032622940067e+21
4.898000000000e+01,4.033948762970e+21
4.995000000000e+01,4.035274585872e+21
5.093000000000e+01,4.036600408775e+21
5.193000000000e+01,4.037926231677e+21
5.295000000000e+01,4.039517219160e+21
5.399000000000e+01,4.041108206643e+21
5.505000000000e+01,4.042434029545e+21
5.613000000000e+01,4.044025017028e+21
5.724000000000e+01,4.045350839931e+21
5.836000000000e+01,4.046676662833e+21
