# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_0ad34fce7d1c9621be59"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "72Ge^+(2P)"
# neutral: "Kr"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 83.798, &alpha; = 2.4953."
# updated: "2022-01-20 22:03:30"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14060_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "170ce2367bd9b17565501c22ceabfdad0fd0e9b4e059d84f5a887f797e72c384"
reduced_electric_field_Td,reduced_transport_SI
8.000000000000e-02,3.857879481525e+21
3.200000000000e-01,3.857879481525e+21
1.290000000000e+00,3.857879481525e+21
2.260000000000e+00,3.857879481525e+21
3.950000000000e+00,3.857879481525e+21
5.530000000000e+00,3.857879481525e+21
9.290000000000e+00,3.858144646106e+21
1.114000000000e+01,3.858409810686e+21
1.281000000000e+01,3.858674975267e+21
1.474000000000e+01,3.858940139847e+21
1.948000000000e+01,3.859735633589e+21
2.357000000000e+01,3.860531127330e+21
2.475000000000e+01,3.860796291911e+21
2.864000000000e+01,3.861856950233e+21
3.007000000000e+01,3.862387279394e+21
3.157000000000e+01,3.862917608555e+21
3.315000000000e+01,3.863447937716e+21
3.836000000000e+01,3.865304089779e+21
4.107000000000e+01,3.866364748101e+21
4.357000000000e+01,3.867425406423e+21
4.533000000000e+01,3.868220900164e+21
4.623000000000e+01,3.868751229325e+21
4.715000000000e+01,3.869016393906e+21
4.809000000000e+01,3.869546723067e+21
4.904000000000e+01,3.870077052228e+21
5.002000000000e+01,3.870607381389e+21
5.101000000000e+01,3.871137710550e+21
5.203000000000e+01,3.871668039711e+21
5.306000000000e+01,3.872198368872e+21
5.412000000000e+01,3.872993862613e+21
5.519000000000e+01,3.873524191774e+21
5.629000000000e+01,3.874319685516e+21
5.855000000000e+01,3.875645508418e+21
5.971000000000e+01,3.876441002160e+21
6.717000000000e+01,3.882009458350e+21
6.985000000000e+01,3.884395939574e+21
7.123000000000e+01,3.885721762477e+21
7.264000000000e+01,3.887047585379e+21
7.554000000000e+01,3.890229560345e+21
7.703000000000e+01,3.891820547828e+21
7.854000000000e+01,3.893676699891e+21
8.009000000000e+01,3.895532851955e+21
8.327000000000e+01,3.899775485243e+21
9.003000000000e+01,3.908525916399e+21
9.541000000000e+01,3.917276347555e+21
9.726000000000e+01,3.921518980843e+21
9.914000000000e+01,3.925761614130e+21
1.049800000000e+02,3.939815336896e+21
1.090600000000e+02,3.949626426374e+21
1.111400000000e+02,3.955460047145e+21
1.132700000000e+02,3.961028503335e+21
1.154200000000e+02,3.966331794945e+21
1.176100000000e+02,3.972960909457e+21
1.198400000000e+02,3.979059694809e+21
1.220900000000e+02,3.984893315579e+21
1.243800000000e+02,3.992052759252e+21
1.290600000000e+02,4.006106482018e+21
1.338700000000e+02,4.020955698526e+21
1.388100000000e+02,4.035009421292e+21
1.413200000000e+02,4.042434029545e+21
1.438700000000e+02,4.050123802379e+21
1.464600000000e+02,4.057283246053e+21
1.490700000000e+02,4.064707854306e+21
1.517100000000e+02,4.071867297979e+21
1.543900000000e+02,4.078761577072e+21
1.598500000000e+02,4.092550135258e+21
1.626200000000e+02,4.099444414350e+21
1.654300000000e+02,4.105808364282e+21
1.682800000000e+02,4.112172314214e+21
1.711600000000e+02,4.118536264145e+21
1.740700000000e+02,4.125165378658e+21
1.770300000000e+02,4.131264164009e+21
1.800200000000e+02,4.137362949360e+21
1.861300000000e+02,4.149560520063e+21
1.924200000000e+02,4.161492926185e+21
1.956300000000e+02,4.167591711536e+21
1.988900000000e+02,4.173955661467e+21
2.022100000000e+02,4.180319611399e+21
2.055900000000e+02,4.186683561331e+21
2.160900000000e+02,4.206305740287e+21
2.197200000000e+02,4.213465183960e+21
2.351100000000e+02,4.240511971170e+21
2.391400000000e+02,4.247671414843e+21
2.475600000000e+02,4.262255466770e+21
2.519300000000e+02,4.269680075024e+21
2.564200000000e+02,4.275778860375e+21
2.610300000000e+02,4.281612481146e+21
2.657700000000e+02,4.287976431077e+21
2.706400000000e+02,4.293279722687e+21
2.756600000000e+02,4.298052685136e+21
2.808300000000e+02,4.302295318424e+21
3.498300000000e+02,4.331463422278e+21
3.574100000000e+02,4.328811776473e+21
3.652400000000e+02,4.325629801507e+21
3.733300000000e+02,4.321122003639e+21
3.816900000000e+02,4.315818712029e+21
3.903300000000e+02,4.309719926678e+21
3.992500000000e+02,4.302560483004e+21
4.084700000000e+02,4.294605545590e+21
4.179900000000e+02,4.285589949853e+21
4.278200000000e+02,4.275778860375e+21
4.379800000000e+02,4.264907112575e+21
4.484700000000e+02,4.253239871034e+21
4.592900000000e+02,4.240777135751e+21
4.704700000000e+02,4.227518906726e+21
4.820000000000e+02,4.213465183960e+21
4.939100000000e+02,4.198615967453e+21
5.062100000000e+02,4.182706092624e+21
5.188900000000e+02,4.166531053214e+21
5.319700000000e+02,4.149295355482e+21
5.454500000000e+02,4.131794493170e+21
5.593500000000e+02,4.113498137116e+21
5.736800000000e+02,4.094406287321e+21
5.884400000000e+02,4.075049272945e+21
6.036500000000e+02,4.055427093989e+21
6.193200000000e+02,4.035009421292e+21
6.354400000000e+02,4.014326584013e+21
6.520400000000e+02,3.993378582155e+21
6.691400000000e+02,3.971900251135e+21
6.867300000000e+02,3.950156755535e+21
7.048300000000e+02,3.928148095355e+21
7.234400000000e+02,3.905874270594e+21
7.425800000000e+02,3.883600445833e+21
7.622600000000e+02,3.861061456491e+21
7.824900000000e+02,3.838522467150e+21
8.032800000000e+02,3.815718313228e+21
8.246400000000e+02,3.792914159306e+21
8.465900000000e+02,3.770110005384e+21
8.691300000000e+02,3.747305851462e+21
8.922800000000e+02,3.724236532959e+21
9.160500000000e+02,3.701432379037e+21
9.404500000000e+02,3.678893389696e+21
9.654900000000e+02,3.656089235774e+21
9.911900000000e+02,3.633550246432e+21
1.017570000000e+03,3.611011257091e+21
1.044620000000e+03,3.588472267749e+21
1.072370000000e+03,3.566463607569e+21
1.100830000000e+03,3.544189782808e+21
1.130020000000e+03,3.522446287208e+21
1.159960000000e+03,3.500437627027e+21
1.190640000000e+03,3.478959296007e+21
1.222100000000e+03,3.457480964988e+21
1.254340000000e+03,3.436532963129e+21
1.287400000000e+03,3.415319796690e+21
1.321270000000e+03,3.394636959412e+21
1.355980000000e+03,3.373954122134e+21
1.391520000000e+03,3.353801614017e+21
1.427940000000e+03,3.333649105900e+21
1.465260000000e+03,3.313761762363e+21
1.503500000000e+03,3.294139583407e+21
1.542680000000e+03,3.274782569031e+21
1.582780000000e+03,3.255690719236e+21
1.623840000000e+03,3.236598869441e+21
1.665890000000e+03,3.218037348807e+21
1.708940000000e+03,3.199740992753e+21
1.753020000000e+03,3.181444636700e+21
1.798150000000e+03,3.163678609807e+21
1.844200000000e+03,3.146177747495e+21
1.891610000000e+03,3.128676885182e+21
1.940000000000e+03,3.111441187451e+21
1.989510000000e+03,3.094735818880e+21
2.040180000000e+03,3.078030450309e+21
2.092010000000e+03,3.061855410899e+21
2.145030000000e+03,3.045680371489e+21
2.199290000000e+03,3.030035661241e+21
2.254780000000e+03,3.014390950992e+21
2.311530000000e+03,2.999276569904e+21
2.369540000000e+03,2.983897024236e+21
2.428850000000e+03,2.969312972309e+21
2.489530000000e+03,2.954994084962e+21
2.551530000000e+03,2.940675197616e+21
2.614920000000e+03,2.926621474850e+21
2.679690000000e+03,2.913098081245e+21
2.745880000000e+03,2.899574687640e+21
2.813510000000e+03,2.886316458616e+21
2.882610000000e+03,2.873588558753e+21
2.953180000000e+03,2.860860658889e+21
3.025240000000e+03,2.848397923606e+21
3.098870000000e+03,2.836200352904e+21
3.174030000000e+03,2.824267946782e+21
3.250770000000e+03,2.812600705240e+21
3.329100000000e+03,2.800933463699e+21
3.490720000000e+03,2.779189968099e+21
3.659010000000e+03,2.757446472499e+21
3.834320000000e+03,2.736498470640e+21
4.017220000000e+03,2.715815633362e+21
