# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_36f328b386e533cf526c"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "72Ge^+(2P)"
# neutral: "Kr"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 83.798, &alpha; = 2.4953."
# updated: "2022-01-20 22:03:30"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14060_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "3b179a3013067df3944f382ee1219f55ede2d2585e64df69ee4ddde6b5dc28d5"
reduced_electric_field_Td,reduced_transport_SI
8.000000000000e-02,1.683000000000e+20
3.200000000000e-01,1.683000000000e+20
1.290000000000e+00,1.684000000000e+20
2.260000000000e+00,1.685000000000e+20
3.950000000000e+00,1.683000000000e+20
5.530000000000e+00,1.691000000000e+20
9.290000000000e+00,1.706000000000e+20
1.114000000000e+01,1.716000000000e+20
1.281000000000e+01,1.727000000000e+20
1.474000000000e+01,1.740000000000e+20
1.948000000000e+01,1.783000000000e+20
2.357000000000e+01,1.828000000000e+20
2.475000000000e+01,1.843000000000e+20
2.864000000000e+01,1.897000000000e+20
3.007000000000e+01,1.919000000000e+20
3.157000000000e+01,1.943000000000e+20
3.315000000000e+01,1.970000000000e+20
3.836000000000e+01,2.068000000000e+20
4.107000000000e+01,2.125000000000e+20
4.357000000000e+01,2.181000000000e+20
4.533000000000e+01,2.223000000000e+20
4.623000000000e+01,2.245000000000e+20
4.715000000000e+01,2.268000000000e+20
4.809000000000e+01,2.292000000000e+20
4.904000000000e+01,2.316000000000e+20
5.002000000000e+01,2.342000000000e+20
5.101000000000e+01,2.369000000000e+20
5.203000000000e+01,2.397000000000e+20
5.306000000000e+01,2.427000000000e+20
5.412000000000e+01,2.458000000000e+20
5.519000000000e+01,2.491000000000e+20
5.629000000000e+01,2.525000000000e+20
5.855000000000e+01,2.597000000000e+20
5.971000000000e+01,2.635000000000e+20
6.717000000000e+01,2.899000000000e+20
6.985000000000e+01,3.005000000000e+20
7.123000000000e+01,3.062000000000e+20
7.264000000000e+01,3.122000000000e+20
7.554000000000e+01,3.251000000000e+20
7.703000000000e+01,3.320000000000e+20
7.854000000000e+01,3.393000000000e+20
8.009000000000e+01,3.469000000000e+20
8.327000000000e+01,3.635000000000e+20
9.003000000000e+01,4.027000000000e+20
9.541000000000e+01,4.380000000000e+20
9.726000000000e+01,4.511000000000e+20
9.914000000000e+01,4.649000000000e+20
1.049800000000e+02,5.113000000000e+20
1.090600000000e+02,5.469000000000e+20
1.111400000000e+02,5.662000000000e+20
1.132700000000e+02,5.866000000000e+20
1.154200000000e+02,6.080000000000e+20
1.176100000000e+02,6.305000000000e+20
1.198400000000e+02,6.540000000000e+20
1.220900000000e+02,6.784000000000e+20
1.243800000000e+02,7.040000000000e+20
1.290600000000e+02,7.591000000000e+20
1.338700000000e+02,8.180000000000e+20
1.388100000000e+02,8.798000000000e+20
1.413200000000e+02,9.121000000000e+20
1.438700000000e+02,9.463000000000e+20
1.464600000000e+02,9.784000000000e+20
1.490700000000e+02,1.012300000000e+21
1.517100000000e+02,1.046700000000e+21
1.543900000000e+02,1.081400000000e+21
1.598500000000e+02,1.151800000000e+21
1.626200000000e+02,1.187400000000e+21
1.654300000000e+02,1.223000000000e+21
1.682800000000e+02,1.259100000000e+21
1.711600000000e+02,1.295400000000e+21
1.740700000000e+02,1.332000000000e+21
1.770300000000e+02,1.368800000000e+21
1.800200000000e+02,1.406200000000e+21
1.861300000000e+02,1.481900000000e+21
1.924200000000e+02,1.560300000000e+21
1.956300000000e+02,1.600000000000e+21
1.988900000000e+02,1.641200000000e+21
2.022100000000e+02,1.682500000000e+21
2.055900000000e+02,1.725100000000e+21
2.160900000000e+02,1.859000000000e+21
2.197200000000e+02,1.906000000000e+21
2.351100000000e+02,2.106400000000e+21
2.391400000000e+02,2.158700000000e+21
2.475600000000e+02,2.275200000000e+21
2.519300000000e+02,2.332800000000e+21
2.564200000000e+02,2.393300000000e+21
2.610300000000e+02,2.459300000000e+21
2.657700000000e+02,2.527800000000e+21
