# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_4c20fbf56977c950826a"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "72Ge^+(2P)"
# neutral: "Kr"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 83.798, &alpha; = 2.4953."
# updated: "2022-01-20 22:03:30"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14060_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "170ce2367bd9b17565501c22ceabfdad0fd0e9b4e059d84f5a887f797e72c384"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,3.848863885789e+21
2.500000000000e-01,3.848863885789e+21
1.000000000000e+00,3.848863885789e+21
1.750000000000e+00,3.848863885789e+21
3.070000000000e+00,3.848863885789e+21
4.290000000000e+00,3.848863885789e+21
6.010000000000e+00,3.848863885789e+21
7.210000000000e+00,3.848863885789e+21
9.950000000000e+00,3.848598721208e+21
1.144000000000e+01,3.848598721208e+21
1.316000000000e+01,3.848598721208e+21
1.514000000000e+01,3.848333556628e+21
1.665000000000e+01,3.848333556628e+21
1.831000000000e+01,3.848333556628e+21
1.923000000000e+01,3.848333556628e+21
2.019000000000e+01,3.848333556628e+21
2.120000000000e+01,3.848333556628e+21
2.226000000000e+01,3.848333556628e+21
2.338000000000e+01,3.848333556628e+21
2.454000000000e+01,3.848333556628e+21
2.577000000000e+01,3.848333556628e+21
2.706000000000e+01,3.848333556628e+21
2.983000000000e+01,3.848598721208e+21
3.132000000000e+01,3.848863885789e+21
3.259000000000e+01,3.849129050369e+21
3.458000000000e+01,3.849394214950e+21
3.598000000000e+01,3.849659379530e+21
3.743000000000e+01,3.849924544111e+21
3.972000000000e+01,3.850454873272e+21
4.051000000000e+01,3.850720037852e+21
4.132000000000e+01,3.850985202433e+21
4.215000000000e+01,3.851250367013e+21
4.299000000000e+01,3.851515531594e+21
4.384000000000e+01,3.851780696174e+21
4.472000000000e+01,3.852045860755e+21
4.561000000000e+01,3.852311025335e+21
4.839000000000e+01,3.853371683657e+21
5.034000000000e+01,3.854167177399e+21
5.666000000000e+01,3.857083987784e+21
5.893000000000e+01,3.858409810686e+21
6.251000000000e+01,3.860531127330e+21
6.375000000000e+01,3.861326621072e+21
6.762000000000e+01,3.863713102296e+21
