# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_717e2f408de5e11b7943"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "72Ge^+(2P1/2)"
# neutral: "Kr"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 83.798, &alpha; = 2.4953."
# updated: "2022-01-01 15:59:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14061_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "a3cc70b925dbdda5bc7a7b8cd660f9e25ef56f91ba9f33073b2592f9e70b50ea"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,9.810000000000e+19
2.600000000000e-01,9.810000000000e+19
1.030000000000e+00,9.810000000000e+19
1.800000000000e+00,9.820000000000e+19
3.150000000000e+00,9.830000000000e+19
4.410000000000e+00,9.850000000000e+19
6.180000000000e+00,9.890000000000e+19
7.410000000000e+00,9.930000000000e+19
8.900000000000e+00,9.980000000000e+19
1.023000000000e+01,1.004000000000e+20
1.354000000000e+01,1.020000000000e+20
1.558000000000e+01,1.033000000000e+20
1.714000000000e+01,1.044000000000e+20
1.981000000000e+01,1.064000000000e+20
2.185000000000e+01,1.082000000000e+20
2.295000000000e+01,1.092000000000e+20
2.531000000000e+01,1.116000000000e+20
2.659000000000e+01,1.129000000000e+20
2.793000000000e+01,1.144000000000e+20
2.934000000000e+01,1.161000000000e+20
3.082000000000e+01,1.179000000000e+20
3.238000000000e+01,1.199000000000e+20
3.371000000000e+01,1.216000000000e+20
3.439000000000e+01,1.226000000000e+20
3.509000000000e+01,1.235000000000e+20
3.652000000000e+01,1.256000000000e+20
3.726000000000e+01,1.267000000000e+20
3.879000000000e+01,1.290000000000e+20
3.958000000000e+01,1.302000000000e+20
4.205000000000e+01,1.341000000000e+20
4.378000000000e+01,1.371000000000e+20
4.558000000000e+01,1.402000000000e+20
4.651000000000e+01,1.419000000000e+20
4.746000000000e+01,1.436000000000e+20
4.843000000000e+01,1.454000000000e+20
4.942000000000e+01,1.473000000000e+20
5.582000000000e+01,1.605000000000e+20
5.696000000000e+01,1.629000000000e+20
5.814000000000e+01,1.655000000000e+20
5.933000000000e+01,1.682000000000e+20
6.055000000000e+01,1.711000000000e+20
6.180000000000e+01,1.741000000000e+20
6.307000000000e+01,1.772000000000e+20
6.437000000000e+01,1.805000000000e+20
6.570000000000e+01,1.839000000000e+20
6.706000000000e+01,1.875000000000e+20
6.844000000000e+01,1.913000000000e+20
6.986000000000e+01,1.953000000000e+20
7.130000000000e+01,1.994000000000e+20
7.278000000000e+01,2.041000000000e+20
7.739000000000e+01,2.187000000000e+20
7.899000000000e+01,2.243000000000e+20
8.063000000000e+01,2.302000000000e+20
8.230000000000e+01,2.365000000000e+20
8.400000000000e+01,2.431000000000e+20
8.574000000000e+01,2.502000000000e+20
8.752000000000e+01,2.581000000000e+20
8.932000000000e+01,2.660000000000e+20
9.117000000000e+01,2.747000000000e+20
9.305000000000e+01,2.842000000000e+20
9.497000000000e+01,2.942000000000e+20
9.693000000000e+01,3.052000000000e+20
9.892000000000e+01,3.171000000000e+20
1.009500000000e+02,3.299000000000e+20
1.030200000000e+02,3.439000000000e+20
1.051300000000e+02,3.592000000000e+20
1.116700000000e+02,4.142000000000e+20
1.139200000000e+02,4.361000000000e+20
1.162100000000e+02,4.608000000000e+20
1.185300000000e+02,4.861000000000e+20
1.208900000000e+02,5.148000000000e+20
1.256800000000e+02,5.796000000000e+20
1.281100000000e+02,6.165000000000e+20
1.305700000000e+02,6.561000000000e+20
1.330500000000e+02,6.980000000000e+20
1.355500000000e+02,7.425000000000e+20
1.456800000000e+02,9.430000000000e+20
1.482300000000e+02,9.931000000000e+20
2.951300000000e+02,3.370300000000e+21
3.001300000000e+02,3.477600000000e+21
3.848000000000e+02,4.613400000000e+21
3.931500000000e+02,4.741000000000e+21
4.018000000000e+02,4.882400000000e+21
4.107800000000e+02,5.020900000000e+21
4.200800000000e+02,5.136700000000e+21
4.297100000000e+02,5.270600000000e+21
4.396900000000e+02,5.415800000000e+21
4.500200000000e+02,5.562500000000e+21
4.607300000000e+02,5.709900000000e+21
4.718100000000e+02,5.866600000000e+21
4.832700000000e+02,6.012000000000e+21
4.951300000000e+02,6.176500000000e+21
5.073900000000e+02,6.342000000000e+21
5.331800000000e+02,6.708800000000e+21
5.467300000000e+02,6.869400000000e+21
5.607200000000e+02,7.060700000000e+21
5.751800000000e+02,7.254800000000e+21
6.214400000000e+02,7.883900000000e+21
6.548400000000e+02,8.346200000000e+21
6.903600000000e+02,8.839000000000e+21
7.089300000000e+02,9.095900000000e+21
7.280800000000e+02,9.373600000000e+21
7.478200000000e+02,9.652600000000e+21
7.681700000000e+02,9.927200000000e+21
7.891300000000e+02,1.024190000000e+22
8.106600000000e+02,1.056280000000e+22
8.328400000000e+02,1.087670000000e+22
8.557200000000e+02,1.120520000000e+22
8.793000000000e+02,1.156620000000e+22
9.034900000000e+02,1.192800000000e+22
9.283800000000e+02,1.231040000000e+22
9.539900000000e+02,1.267950000000e+22
1.035080000000e+03,1.408270000000e+22
