# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_2596d0c4e5e93ccfa252"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "72Ge^+(2P3/2)"
# neutral: "Kr"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 83.798, &alpha; = 2.4953."
# updated: "2022-01-20 22:07:58"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14064_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "36a477eccab955ac36433a5c56d27375047a2c63b8e01afbd51ac130a0ba4a7b"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,6.810000000000e+19
2.000000000000e-01,6.810000000000e+19
8.100000000000e-01,6.810000000000e+19
1.410000000000e+00,6.810000000000e+19
2.470000000000e+00,6.820000000000e+19
4.840000000000e+00,6.870000000000e+19
6.980000000000e+00,6.930000000000e+19
1.061000000000e+01,7.100000000000e+19
1.342000000000e+01,7.280000000000e+19
1.477000000000e+01,7.380000000000e+19
1.628000000000e+01,7.500000000000e+19
1.885000000000e+01,7.740000000000e+19
1.979000000000e+01,7.830000000000e+19
2.078000000000e+01,7.940000000000e+19
2.182000000000e+01,8.060000000000e+19
2.406000000000e+01,8.330000000000e+19
2.526000000000e+01,8.490000000000e+19
2.628000000000e+01,8.640000000000e+19
2.735000000000e+01,8.790000000000e+19
2.845000000000e+01,8.960000000000e+19
3.019000000000e+01,9.240000000000e+19
3.079000000000e+01,9.340000000000e+19
3.268000000000e+01,9.670000000000e+19
3.399000000000e+01,9.920000000000e+19
3.467000000000e+01,1.005000000000e+20
3.536000000000e+01,1.019000000000e+20
3.752000000000e+01,1.065000000000e+20
3.827000000000e+01,1.082000000000e+20
3.903000000000e+01,1.099000000000e+20
3.981000000000e+01,1.117000000000e+20
4.223000000000e+01,1.176000000000e+20
4.306000000000e+01,1.198000000000e+20
4.392000000000e+01,1.220000000000e+20
4.479000000000e+01,1.243000000000e+20
4.567000000000e+01,1.268000000000e+20
4.658000000000e+01,1.293000000000e+20
4.750000000000e+01,1.320000000000e+20
4.844000000000e+01,1.348000000000e+20
4.940000000000e+01,1.377000000000e+20
5.037000000000e+01,1.407000000000e+20
5.136000000000e+01,1.439000000000e+20
5.237000000000e+01,1.471000000000e+20
5.551000000000e+01,1.577000000000e+20
5.659000000000e+01,1.615000000000e+20
